[00:00] （車の走行音）
[00:05] （物を動かす音）
[33:41] 話者A: だと思います。多分ですけど、や、で、ちょっと今、これから、えっと、5月の、3週目の水曜日とかから始まる予定なんですけど。
[33:52] 話者B: あー。
[33:53] 話者A: あ、違う、嘘だ。5月、あれ？4月、ちょっと待ってくださいね。いつだったけ。こないだ決めたばっかり。ちょっと待ってください。
[34:00] 話者B: 高崎さんが思うとこに寄ると、やっぱ絶対、あの、AI類の中では、いい、いいと。
[34:07] 話者A: いいというかとんでもないです。
[34:09] 話者B: ダントツです。じゃあ私ラッキーですね、そこに出会えて。
[34:13] 話者A: ダントツというよりですね、クロードコードにしかできないことがまだ1個あるんですよ。
[34:18] 話者B: あー。
[34:19] 話者A: それがあるうちはクロードコードっていう感じ。
[34:23] 話者B: あー。
[34:24] 話者A: で、クロードコードにしかできないある1個って何って言う時に、様々なシステムやプログラミングのコードをたくさんを同時に束ねて統括する力です。
[34:40] 話者B: うーん。
[34:41] 話者A: なので、例えばなんかその、いろんなことをめちゃくちゃ自動化するっていう時。例えば、なんか僕はなんかYouTubeとかを一切何もせずに毎日投稿してるんですよ。
[34:56] 話者B: へー。
[34:58] 話者A: こ れって例えば毎日決められた時間にプログラムを動かすAIと、なんかネタを探して調べるAIと、それを内容としてまとめるAIと、その動画に使う画像を生成するAIと、動画の内容を考えるAIと、動画を編集するAIと、動画を投稿するAIと、SEOを上げるAIとってのがぶわっと10人ぐらいいるんです。
[35:23] 話者B: うーん。
[35:24] 話者A: それを組んで、ばーっと色々。10人ぐらいを一気に動かすには優れた脳みそが必要で。
[35:32] 話者B: うーん。
[35:33] 話者A: 優れた、マネージャーみたいな能力を持ってるのがクロードコードが今かなり能力が高いです。
[35:41] 話者B: なるほど。
[35:42] 話者A: だから巨大なシステムから最小の小さいシステムまで、でかいものから小さいものまで、なんでも作れるのがクロードコードで。こうやって聞くと、私は別にそんなでかい本格的なシステム作る必要ないんですって思うかもしんないけど、でもじゃあなんか例えばですけど、中小企業診断士とかをしてるんだったら、じゃあ例えば、ある人と相談をして、相談をした結果こうしましょう、こういう風にしたら売り上げが伸びるかもしれないっていうのを話をした、その瞬間にその売り上げを伸ばすホームページとかが同時にできてたら。
[36:24] 話者B: すごい。
[36:25] 話者A: でもそういうシステムが作れるんです。
[36:28] 話者B: へー。
[36:28] 話者A: 僕も仕事で普段コンサルとかもしますけど。
[36:32] 話者B: うーん。
[36:33] 話者A: 大体、僕は作るのとかも一緒にやるんで。大体その打ち合わせ終わって、あ、社長が今言ってた、作りたいのってこれっすかって言って、大体、話し合いが終わった瞬間にいつも見せます。完成品。そうすると、え、どうやって、え、もう作った、あ、はいってなりますけど。
[36:55] 話者B: へー。だけど高崎さんだからできるんで、私はちょっと。
[36:58] 話者A: じゃなくて、これ誰でもできるっていう風になってるのが。あ、誰で、ちなみにで言うと、こういう、えっと、講座では誰でもできるようにしたいじゃないですか。なので、こういうのも、多分講座もライブで。
[37:14] 話者B: あ、あの、なんかこう。
[37:15] 話者A: そうそう、あれ見てたらそう。
[37:16] 話者A: ていうの、今んとこ、ちょっと若干、企業秘密でまだ全然公開してないんですけど。
[37:28] 話者B: はい。
[37:29] 話者A: だから、ここに例えばですけど、毎日、YouTubeにショート動画を投稿し続けるワークフロー。
[37:47] 話者B: そうそう。ワークフローってすごく、大事だとも思うし。いいなとも思う。
[37:52] 話者A: 結局は、今作るもので最も優れてるものはワークフローです。
[37:58] 話者B: うーん。
[38:00] 話者A: ワークフローは、どういうことかっていうと、要はいろんな世の中に転がってるシステムを自在に全部つなげて1つのシステムとしてるもの。
[38:11] 話者B: そう。
[38:12] 話者A: で、もうYouTubeにショート動画毎日投稿したいとかって言ったら、言うだけで全部ブロック自動で今組んでくれるようになってて。
[38:19] 話者B: うーん。
[38:20] 話者A: で、このブロックが組めました。で、ここのプロンプト生成でこのプロンプトをやっ。えっと、これクロードコードにまで渡してます。
[38:28] 話者B: うーん。
[38:29] 話者A: ていうところまで僕は、誰でもできるように仕込んだんで。こういう感じで。
[38:36] 話者A: で、多分これでばーっと1回ワークフロー作ると、クロードコードの中にエラーが、クロードコードに渡して修正し。
[38:45] 話者B: 200。
[38:46] 話者A: やりたいって言ってたメールの方に。
[38:50] 話者A: このメールが。
[38:51] 話者A: なのでご。
[38:52] 話者B: 欲しい。
[38:53] 話者B: 欲しい。
[38:54] 話者B: 分かりました。
[38:54] 話者A: なるほど。
[38:55] 話者B: あの。
[38:56] 話者A: そうです。
[38:57] 話者A: なんか。
[38:58] 話者A: なるほど。
[38:59] 話者A: なんか、読み出し。
[39:01] 話者A: やりたいです。
[39:02] 話者A: どうぞしてください。
[39:03] 話者B: どう。
[39:04] 話者B: データ。
[39:05] 話者B: 記述するみたいな。だから。
[39:06] 話者B: クロードコードのAIが出たから、あの。使えるように。
[39:10] 話者A: フルAI。
[39:10] 話者B: なので、それが。
[39:11] 話者A: そう。
[39:11] 話者B: はい。
[39:12] 話者A: 芸術とか。
[39:14] 話者B: うん。
[39:15] 話者B: それと。
[39:15] 話者A: 芸術とか。
[39:16] 話者B: 芸術。
[39:16] 話者A: 芸術とか。
[39:17] 話者B: 芸術。
[39:17] 話者A: それをゲームで。
[39:18] 話者B: うん。
[39:19] 話者A: それを全部。
[39:21] 話者B: データ。
[39:22] 話者B: そう。
[39:22] 話者B: うん。
[39:23] 話者B: はい。
[39:24] 話者B: いつやるのと、いつやらないのかと。
[39:25] 話者A: はい。
[39:26] 話者B: それはそうですね。
[39:27] 話者B: 経営の数字。
[39:28] 話者B: はい。
[39:29] 話者B: 製造。
[39:30] 話者A: ああ、そうですね。
[39:31] 話者A: 経営者。
[39:31] 話者B: あ、私はそれを。
[39:32] 話者A: 毎日自分で。
[39:33] 話者B: ああ、そうそうそうそう。
[39:34] 話者B: です。
[39:34] 話者A: はい。
[39:35] 話者B: データベースにとにかく。
[39:36] 話者B: はい。
[39:37] 話者B: うん。
[39:37] 話者B: で。
[39:37] 話者B: あとは。
[39:38] 話者B: プログラミングやったらそれをそのまま覚えてくれてる。
[39:40] 話者B: それを。
[39:40] 話者A: プログラミング。
[39:41] 話者A: ノートPC。
[39:42] 話者A: を全部読み取ったことをそのまま。
[39:44] 話者A: うん。
[39:44] 話者A: です。
[39:45] 話者A: マイツール。
[39:46] 話者B: そうそうそうそう。
[39:47] 話者B: そうです。
[39:48] 話者A: はい。
[39:48] 話者A: 普通に使って。
[39:49] 話者A: とか必要な時に。
[39:50] 話者A: はい。
[39:50] 話者A: うん。
[39:51] 話者A: なので。
[39:52] 話者A: マイツールのところ。
[39:53] 話者A: うん。
[39:53] 話者A: なので。
[39:54] 話者B: いや。
[39:55] 話者A: そのちゃんと自分の。
[39:56] 話者A: うん。
[39:57] 話者B: はい。
[39:58] 話者B: うん。
[39:58] 話者A: うん。
[39:59] 話者B: やっぱ。
[40:00] 話者B: で。
[40:01] 話者B: 終了。
[40:02] 話者B: うん。
[40:03] 話者B: 作ってる。
[40:04] 話者B: うん。
[40:04] 話者B: ゴミ箱みたいな。
[40:05] 話者B: うん。
[40:06] 話者B: いつ使える。
[40:07] 話者B: で。
[40:08] 話者A: うん。
[40:09] 話者A: まず。
[40:10] 話者A: クロードコードがどれぐらいのことできるかと。
[40:12] 話者A: マイツールのサービス。
[40:15] 話者A: うん。
[40:16] 話者A: ページが残ってるかわかんないけど。
[40:18] 話者A: マイツール。
[40:19] 話者A: 仕様が書いてある紙みたいなの。
[40:22] 話者A: ああ。
[40:23] 話者A: これコピペしてクロードコードに渡すだけで。
[40:27] 話者A: うん。
[40:28] 話者A: 9割方マイツールができます。
[40:33] 話者B: うーん。
[40:35] 話者A: で、ここに、えっと、今度はクロードコードに細かいところで、ここの部分はこういう機能にしてとか、こういう仕様にしてとか、こういうデータとって。
[40:45] 話者A: どんどん自分の好みに寄せていける。
[40:48] 話者B: へー。
[40:49] 話者B: マイツールって。
[40:50] 話者B: 私が思うには、データ。
[40:52] 話者B: うん。
[40:54] 話者B: うん。
[40:55] 話者B: ですか？
[40:57] 話者A: はい。
[40:58] 話者B: あれのこう内部じゃないけど、あれが丸々。
[41:01] 話者A: その中でブラウザ検索ができると。
[41:06] 話者B: ああ、そうそうそう。
[41:07] 話者B: だから検索とショートと検索と、トンなんですけど。本当にそんなにコマンドが多いわけでもなんでもない。でもそれがちゃんとできるようにデータを持つってことがすごく大事。それがみんな全然できてない。あのシートで。使えない。ずっと使えないデータを。そこだけは、ま、やってこれてるかなっていう。
[41:30] 話者A: 使えないデータ？
[41:31] 話者B: 使えないデータというか。
[41:33] 話者A: いやいや。AIになったら。
[41:35] 話者B: Excelの。
[41:36] 話者A: Excelの。
[41:37] 話者A: なんかが使えない。
[41:39] 話者A: いまいちよく分からなかった。
[41:41] 話者B: あー。
[41:43] 話者A: 数式のエラーが出てる。
[41:45] 話者B: いやいや。
[41:46] 話者B: 要は数式ではもう持たない。全然。
[41:49] 話者A: はいはい。
[41:50] 話者B: データでしか。
[41:51] 話者A: だからあれですね。Excelの表みたいな。
