[00:16] おはようございます。
[43:45] じゃあ、次、佐久間さん行けますか？
[43:48] はい、佐久間です。
[43:49] はい。
[43:50] えっ、NGが「何でできないの？」です。
[43:52] いや、素晴らしい。
[43:52] またしても被りましたね。
[43:54] えっ、これを言う前にもう「辛かったね」とか「大変だったね」っていう共感の言葉を伝える。
[43:59] うん、素晴らしい。
[44:00] いや、これですね。
[44:01] まずはもう、何でできないの？の前に、ああ、そうなんだ、っていう、そこにいることとか、その状態をちゃんと受け止めてあげる。
[44:09] いや、もうこれ、まさに、さっきの無条件の肯定的関心。
[44:13] いいですね。
[44:14] ありがとうございます。
[44:15] じゃあ、最後、高崎さん。
[44:17] あ、はい。
[44:18] えっ、NGの言葉は、「何で謝らないの？」です。
[44:21] いや、これも、これもある。
[44:22] いや、これもある。
[44:23] 素晴らしい。
[44:24] で、言い換えの言葉が「何で謝らないのか、教えてくれる？」という言葉です。
[44:28] うん、素晴らしい。
[44:29] 何で謝らないの？って言うと、それこそ何でできないの？と全く同じパターンなので、そこに理由があるのか、聞いてあげる。
[44:37] いや、これ、全部、あの、そうですよね。
[44:39] 素晴らしい。
[44:40] ありがとうございます。
[44:40] いや、全部、ちょっと僕もはっとする学びになったのですごく良かったです。
[44:45] ありがとうございまーす。
[44:46] はい。
[44:47] ちょっと、では、えっと、そういった学びを、えっと、今後も生かしていければなというところで、本日は以上となります。
[45:00] どうもありがとうございました。
