[00:00:00] おはようございます。
[01:01:27] とこうかな それでCreateリポジトリ を押す そうすると ぐにゃぐにゃ
[01:01:38] といろいろ書かれたページが出て 一応 これでリポジトリができた
[01:01:44] リポジトリっていうのは Google Drive のホルダーのようなもので データ
[01:01:50] を保存する場所って覚えておいて ください
[01:02:20] どうかな リポジトリ
[01:02:46] できたかな リポジトリできてないよ っていう人いますか
[01:02:54] おだしょー 僕のやつ ちょっと これ どうやってるんですかね アカウント
[01:03:00] 作ったら 何かCreateリポジトリ みたいなのないですか 緑色のとこ
[01:03:06] で Newなんとかってない それそれそれそれあっていたっていう
[01:03:13] おだしょー これ そこに適当な 名前つけて
[01:03:14] りなたむ 下の名前つけて みたいなの 押せばいける
[01:03:17] おだしょー 何か名前 あ 日本語 だったら駄目で 英語にしないと
[01:03:22] 多分 なこといかない
[01:03:24] りなたむ Lineupとかでいいか さ っきのホルダーと同じ名前でいい
[01:03:29] と思う
[01:03:30] りなたむ Lineup で これだけでいいん ですかね
[01:03:39] りなたむ はい
[01:03:40] りなたむ これでいいですかね
[01:03:44] りなたむ あ なんかそこ 他の ところは何も入力しないで大丈夫
[01:03:49] で 緑のとこ押せば大丈夫 それで なんかできた感ないけどできてる
[01:03:55] から大丈夫
[01:03:56] りなたむ OKです
[01:03:58] りなたむ でですね せっかくなん で アンチグラビティにこのデータ
[01:04:15] を上げさせるってことも多分できるん で それもやってみましょうか
[01:04:28] この上のURL GitHub.com 自分の名前 アプリの名前っていうURLが多分
[01:04:36] リポジトリを作ったら出てると思う ので これをコピーして さっきの
[01:04:46] アンチグラビティさんにまた共有 こちらにURLを貼って こちらにリポジトリ
[01:05:00] を作ったのでプッシュしてなんて 言ってみるといいと思います
[01:05:08] りなたむ 自分のリポジトリ
[01:05:36] りなたむ うん 間違えた 変なの 起こった
[01:05:49] りなたむ 上まで全部ありましたね
[01:05:52] りなたむ はい あれ ちょっと待って これ消せるのか
[01:06:01] 消せねぇ というようなことを言うと プッシュ
[01:06:26] 完了しましたって言ってるの うまく いった みんなそれでうまく
[01:06:30] いく
[01:06:31] 大平 なんかユーザー名とメールアドレス
[01:06:36] を
[01:06:37] りなたむ そういうので いろいろ 聞かれたら GitHubの値などをどんどん
[01:06:47] 共有していってください
[01:06:49] 大平 多分 ユーザー名だけでいいん じゃないかな そうしたら勝手に
[01:06:55] 探索して勝手にやってくれる気が する
[01:06:57] りなたむ ちょっとその言ってきた 指示にちょっと従いつつ いろいろ
[01:07:09] とやってみてください 結構 そうする またこのAIがこうやってください
[01:07:17] やってくださいって言ってきた ことに対して 自分で設定していく
[01:07:21] ってことも結構大事だったりします ので
[01:07:51] りなたむ ピーシーにGitが入って ないとできない なるほど
[01:08:01] 大平 これあれですね Windowsの方が こうやります
[01:08:12] りなたむ なるほど
[01:08:13] 大平 Macならないんですよ これ 多分 その影響ですね
[01:08:16] りなたむ そうすると Windowsの 場合はGitが必要なのか
[01:08:21] 大平 前回 それやらなくてもできた ので
[01:08:26] りなたむ 多分 それでも最初にGit 入れてたんじゃないですか
[01:08:31] 大平 入れてましたかね いや 僕 びっくり それがこないだいらなかった
[01:08:38] のでいらないかなと思って 今回 入れてなかったんですけど 入れて
[01:08:42] たほうが無難っちゃ無難だった のですよね
[01:08:44] りなたむ ちょっと じゃあGitは
[01:08:46] 大平 マスタービルドでもらい ましょうか
[01:08:51] りなたむ そうだね Windowsの場合 はGitが必要になるかなってこと
[01:08:57] だね ありがとう ちなみに鈴木さん ももしよかったら これを機にGit
[01:09:09] を入れてみて アンチグラビティ がプッシュしてくれるっていう
[01:09:15] ふうになるのを目指すと めっちゃ いい気がします
[01:09:21] 鈴木 多分 楽ですね 単純に楽です
[01:09:27] りなたむ かなり それができる と だいぶ自動化っぽくなるんですよ
[01:09:32] 実は Windowsの場合はGit必要になる だから ここの
[01:10:00] 大平 前回作ったときでセッティング のページから何かURL作りません
[01:10:29] でしたっけ
[01:10:30] 大平 そう 多分 前回は手動でやったん
[01:10:34] ですよ プッシュを
[01:10:35] ちょまど なんだけど ちょっと後々のことを考える
[01:10:45] と AIにプッシュやってもらうよう になってたほうがいいかなって
[01:10:49] 思ったっていう感じですね
[01:10:50] ちょまど 分かりました
[01:10:53] 大平 多分 そうなので そこもあれ なんだろうな もしかしたら 初心者
[01:11:03] 向け講座ではGitでのプッシュを 手動でやって こっちの上級のほう
[01:11:09] に行くときにはプッシュをAIに やらせるみたいなふうに ちょっと
[01:11:15] 分けたほうがいいかもしれない ですね
[01:11:16] ちょまど 分かりました
[01:11:18] りなたむ ありがとうございます でも そっか 結構 いろんなハードル
[01:11:22] があるな
[01:11:23] ちょまど 多分 入れなきゃいけない 事前に入れなきゃいけないアプリ
[01:11:27] とアカウントと設定とWindowsとMac の差 多分
[01:11:34] りなたむ さらに それがクロード コードとかでやらせる講座だと
[01:11:39] クロードコードってツイッター と書けないといけなくなったり
[01:11:43] とかがあるのか
[01:11:44] ちょまど で そこでエラーが起きる とか
[01:11:45] りなたむ もう3万円も払ったのに 何なんですか
[01:11:49] ちょまど いや そういうところで 金銭トラブルとかは起きかねません
[01:11:56] からね ちょっと気をつけなきゃ いけないんですね
[01:11:58] りなたむ それはアンソロピック に行って下さいって
[01:12:00] りなたむ そう 結構 ここのGitとの 接続が一つのハードルなんですよ
[01:12:19] ね
[01:12:20] ちょまど っていうことを大事に 説明しておいたほうがいいかもし
[01:12:28] ないですね
[01:12:29] りなたむ じゃあ
[01:12:30] ちょまど 読んでおきます
[01:12:31] りなたむ 何て言うんだろう
[01:12:32] ちょまど 読んでおきます
[01:12:33] りなたむ 何て言うんだろう
[01:12:40] ちょまど 読んでおきます
[01:13:01] りなたむ ここはハードルになる と最初に言う ここ結構 最初に
[01:13:19] 来るつまづきポイントだもんね しかも 資料はこれ 手動でやる
[01:13:30] 形式になっている
[01:13:43] りなたむ 手動の場合はreadmeを追加 させないといけないんだ
[01:14:03] りなたむ どうでしょうか プッシュ されましたでしょうか AIに指示を
[01:14:11] ちがう挙動をすることが こういうことだと そうなんだよね
[01:14:18] はいはい 再起動が入り落ちていた
[01:14:21] ちがう挙動が入り落ちていた
[01:14:23] りなたむ あんちゃん そういった パターンもありますよね 本当に
[01:14:29] 設定変えて再起動しますみたいな こういう系だと
[01:14:35] りなたむ 結構 だから
[01:14:36] りなたむ なんかあれかもね
[01:14:40] りなたむ 全部の設定をして
[01:14:46] りなたむ 1回ちょっとアンチグラビティ
[01:14:51] りなたむ 動かしとくぐらいの前準備をして
[01:14:54] りなたむ おいてくれ
[01:14:55] りなたむ しておいて参加してもらいたい
[01:14:57] ね
[01:14:58] りなたむ そうですね
[01:14:59] りなたむ うん
[01:15:00] りなたむ 当日準備してるとまずい かもしれないですね
[01:15:04] りなたむ そうですね
[01:15:05] りなたむ やっぱり絶対詰まるんで
[01:15:06] りなたむ あと結構 この誰が設定してて
[01:15:11] 誰かは終わっててっていうなった 時間がだらつきやすくなるもんな
[01:15:16] なんか講座的に
[01:15:17] りなたむ はい
[01:15:18] りなたむ うん
[01:15:19] りなたむ あの丁寧に動画作っとくのが
[01:15:41] 一番安全かもしんないですね
[01:15:43] りなたむ うん
[01:15:45] りなたむ いや ここはスライドでいいと思うん
[01:15:51] だけどな スライドで実際の画面とかを入れて
[01:15:57] ここ設定 設定 設定みたいなマニュアル は作っといて それをやるみたいな
[01:16:04] 感じなんだろうな 実際の画面使わなきゃいけない
[01:16:22] 系はだるいんだよな
[01:16:23] りなたむ ギットハブでやったことを追加
[01:16:30] でやるの忘れてました ちなみに こちらのGitHub開いて 右の上ら辺
[01:16:39] にあるこのセッティングっていう ところをポチッと押して ここの
[01:16:47] 真ん中のPagesっていうところがあります んで これをポチッと押す ここの
[01:16:57] 真ん中のノーンってなってるところ をメインっていうのを選択して
[01:17:04] 押す そしてセーブする そうすると 5分ぐらいして何回か更新してる
[01:17:14] とこの上ら辺にURLが出ますんで そうするとあら不思議 もうこれだけで
[01:17:31] ページがなかなか出ないな ちょっと 待ってね しばらく待つか そうする
[01:17:54] とでもこれだけでページが公開 されるって感じになりますんで
[01:17:59] めっちゃ あ 出た 出た 出た なんて今 HTTPS ゲタバコ ギットハブ
[01:18:04] IoLineupテスト これをURLクリック すると もう実は僕が作ったLINE予約
[01:18:16] アプリができています いろんな 人にとかLINEのメニューからこういう
[01:18:23] URLが起動するような形にすれば もう大体 実はできてます 今 チャット
[01:18:32] で送ったようなアプリが開くと 普通にアプリで挙動になると できれば
[01:18:43] 皆さんもこのGitHubページでデプロイ までして そのURLをチャットに送って
[01:18:53] お披露目会なんかをできたらいい ななんて今 思っております お願い
[01:18:58] できたぞっていう人は ぜひ送って ください アプリ自体がまだまだ
[01:19:06] 全然完成はしてなくて大丈夫なので まずはこのURLで確認できる状態
[01:19:12] になってるってことが大事ですね どうかな ここまでできればかなり
[01:19:20] ご利用 ここまでが全部習得できれば とりあえず ある程度好きなアプリ
[01:19:34] とか好きなホームページとかを 自由に新しく作っていけると思います
[01:19:41] どうですか 大体なので
[01:20:00] お いいですねいいですね どんどん 来ますね
[01:20:06] お いいじゃない ゆんわくん スター アカデミー
[01:20:11] そう こうやってね ちょっとオンライン 授業的な予約ツールとかにすれば
[01:20:19] それこそオンラインの 我々のような オンライン教室をやってる授業
[01:20:24] とかが予約ツールとして買って くれたりするかもしれんし
[01:20:28] お いいですねいいですね お 綾野 さんは綾野さんでまたちょっと
[01:20:36] 見た目の雰囲気がカレンダー全面 出しな感じでいいです
[01:20:40] 竹見はもうあれかな ラインの設定 までしたもしかして
[01:20:57] 竹見 しました
[01:20:58] お そうだよね 竹見のだけスマホ で開き直さなきゃいけなくなってる
[01:21:05] 竹見 多分これみんなが読み込ん でもできるんじゃないですか
[01:21:12] 竹見 できると思う フォーザーアプリ いいじゃんいいじゃん いいねでも
[01:21:24] 結構いいペース いいですね
[01:21:51] 竹見 どうかな カズキとか大丈夫 そうか もし分かんなかったらとか
[01:22:16] 話したらまた後々とかにもいろいろ 教えたりとかもできるからね
[01:22:46] こういうアプリを作ってるときに ここにならこのアプリ売れんじゃ
[01:23:04] ねえみたいなことを考えながら 作るといいですね
[01:23:11] ちょっと出そろった感はあるので ちょっと次の段階にも進んでいこう
[01:23:17] と思います 一応こんなのやっていく よっていう説明をしますね 次は
[01:23:30] それにちょっと自分の予定とか カレンダーとかそういうところ
[01:23:38] との連携をして よりちゃんと予約 がかぶってないところに入れられる
[01:23:46] ようにしてダブルブッキングを 防ぐみたいなことをやれるといい
[01:23:49] かなと思ってます おそらくGoogle カレンダーとかそういう接続を
[01:23:58] 使うんで Google Apps Script 通称GAS の頭文字を取ってガスというもの
[01:24:10] があるんですけど こういうもの を使ってカレンダーと直接連携
[01:24:15] させたりとかそういうようなこと をやっていきます 一応ちょっと
[01:24:23] こういうふうにコードを作った りもしたんですけど せっかくだったら
[01:24:29] こういったところもアンチグラビティ にも作ってもらえると思います
[01:24:37] なので一回ちょっとこれでさらに ここに追加してやっていこうっていう
[01:24:44] ところで じゃあこのアプリを自分の グーカレン 連携させて 作りさせて
[01:25:12] いくということです
[01:25:42] このアプリを自分のGoogleカレンダー と連携させて自分の手が空いている
[01:25:52] ところの予約をスムーズにさせたい ガスなど使ってスムーズな予約
[01:25:56] を実現させてくださいみたいな ことをこちらにもチャットにも
[01:26:06] っていうのを正宗がすでに送って くれているすごい早い
[01:26:19] こんなようなことを打つとたぶん また新たに作ってくれるんじゃない
[01:26:23] かな行動みたいな ちょっとそれで しばらく待ってみましょう
[01:26:53] おだしょー これはそもそも何 やってるんだ
[01:27:23] よいしょ そしたらバーっといっぱい 出ましたね
[01:27:46] Googleカレンダーとの連携を利用 して予約の空き状況を確認し予約
[01:27:50] 同期する仕組みを構築しました ガスを開かないといけないと言って
[01:27:55] いますので なのでこのscript.google.comにアクセス
[01:28:21] で新しく何か作りましょうと ちょっとここ難しそうかな大丈夫
[01:28:40] かな開いたコード こちらを丸ごとコピー
[01:29:01] しますね コードの5行目付近にある
[01:29:24] ここを自分のメアドにして デプロイ ボタンを押して新しいデプロイ
[01:30:00] ウェブアプリにして
[01:30:09] ウェブアプリ全員を
[01:30:30] こんな風にしてデプロイっていうのをやります
[01:30:40] アクセスをしよう
[01:30:55] アドバンスルー
[01:30:58] GoTo無材のプロジェクト
[01:31:06] コンティニュー
[01:31:22] URLをコピー
[01:31:24] HTMLがURLを貼り付ける
[01:31:29] あ、なるほど
[01:31:31] それはめんどくさいから
[01:31:34] ウェブアプリのほうで
[01:31:42] こういうURLがGoogleのほうで設定すると最終的に出るので
[01:31:47] こいつを
[01:31:51] これがURLなので
[01:31:59] 反映させて
[01:32:10] これでできるか
[01:32:18] ちょっとなので
[01:32:26] アンチグラビティに連携させたいっていう思いをまず伝えて
[01:32:31] そうするとずらずらずらっともしかしたらやり方を
[01:32:35] 僕のように出してくるかなと思うので
[01:32:39] そういう手順でちょっと従ってください
[01:32:42] まあでも多分やることはおそらく一緒で
[01:32:45] Google Apps Scriptというところを開いて
[01:32:52] そこに出てきたコードをコピペして
[01:32:58] ちなみにコードはこの多分左の紙
[01:33:02] 紙が2枚あるアイコンのところの中に
[01:33:05] 作っているファイルがどんどんできてくるので
[01:33:09] そこにできてます
[01:33:19] もうできるってこと
[01:33:27] これAPIしかないでできるのかな
[01:33:31] 怪しいな
[01:33:57] 起き時間取得中
[01:34:01] 3月13日はそもそも
[01:34:12] 予定空いてんのかな
[01:34:24] 3月13日は何も予定がないから3月14日にすればいいか
[01:34:29] 3月14日にしたら
[01:34:35] あーそっか
[01:34:37] すごい終日で予定入れてるから
[01:34:40] この日は空きが出ないってなったな
[01:34:59] 終日予定を入れちゃうとダメだ
[01:35:10] 4月15日
[01:35:17] 予定はないから全部出る
[01:35:22] いいね
[01:35:26] 予約を確認すると
[01:35:35] すごい
[01:35:37] 今こっちでアプリを予約したら
[01:35:41] なんと
[01:35:44] こっちのスマホの方のカレンダーの4月25日にも
[01:35:48] 自動で反映されましたね
[01:35:52] という形で
[01:35:55] おそらく
[01:36:01] 皆さんも予約ができちゃうんじゃないかしら
[01:36:05] ぜひ
[01:36:34] 予約もうまくいったぞ
[01:36:37] URLを送っていただけると
[01:36:41] こんな風にしてGitHubにあげておくと
[01:36:44] URLを共有するだけで
[01:36:46] お互いの進捗とか
[01:36:49] そういうのを
[01:36:51] 簡単に共有できるってわけなんですね
[01:37:19] 結構ここは難しい応用編になってきてると思うので
[01:37:45] 不明点
[01:37:48] こんなとこでつまづいてるの信じられない
[01:37:51] というようなところもあると思いますが
[01:37:53] そんなのなんでもいいので
[01:37:56] 困ってるぞって人は聞いてね
[01:38:05] いつのまにか全然進まなくなったり
[01:38:07] わけわかんなくなったりするから
[01:38:09] 全然
[01:38:13] 逆にスイスイやれてるなら大したもんだ
[01:38:24] 一般向けにやるには難しいかな
[01:38:30] なんか君らには
[01:38:32] 人数に限りが出てきちゃいますね
[01:38:35] 君らにはなんかまだやらせられるイメージあるんだけど
[01:38:39] 逆になんか
[01:38:40] おじさんとか
[01:38:43] リテラシー低めなおじさんとかだと
[01:38:45] ちょっと厳しいかもしんないよね
[01:38:50] 認証で大丈夫ですかとか確認してくる人
[01:38:53] めっちゃいそうじゃないですか
[01:38:55] 無効な
[01:38:58] 学生やるときに
[01:39:00] アプリ
[01:39:03] 安全なアプリでありませんみたいな
[01:39:07] めっちゃ聞いてくるおじさん
[01:39:09] 本当に大丈夫ですかとか
[01:39:11] ここで止めちゃいました
[01:39:15] めっちゃいそう
[01:39:17] ちょっと振る舞いのリテラシーで
[01:39:20] ちょっとわかってる方が一番面倒
[01:39:24] そこで一番ビビって止めるパターンの人多くないですか
[01:39:36] マサムネに何か用事あったかな
[01:39:56] 予約してやろうかな
[01:40:00] 僕には予約はないんですか。
[01:40:02] リンク送って、さっきのでもうできるのか。
[01:40:05] あー。
[01:40:07] 今リンク送ってくれた順に。
[01:40:11] あ。
[01:40:15] できるの?
[01:40:23] お、いいね。
[01:40:25] 予約できた、まさむね。
[01:40:27] 3月27日。
[01:40:34] で、あれだよな。
[01:40:42] これで。
[01:41:03] はじめのカレンダー荒らされるね。
[01:41:08] 確かにめっちゃ登録しようと思えばめっちゃできちゃう。
[01:41:13] だからあれなんだよな。
[01:41:18] 本来は多分ビジネス用にカレンダーを作って、そこにどんどん入れていったりするんだな。
[01:41:34] まあ確かに荒らされるか。
[01:41:39] 移住世帯の110万円送信機。こんなもんないんだ。
[01:42:06] この予約アプリをですね、しっかり作り込んでですね。
[01:42:16] 例えばゆうまくんなんかはこれから仙台で一人暮らしとかをするわけで、
[01:42:22] なんかいろんな企業かなんかのコミュニティとかに行ったりとかをした方がいいわけで、
[01:42:28] そういう時に、
[01:42:31] じゃあ今度面談というかミーティングしましょうよ。
[01:42:38] じゃあこのアプリから予約でお願いしますみたいなのをピピってスマートに相手に伝えて、
[01:42:45] LINEで予約をさせると。
[01:42:48] こういうことをやってますって言うと案件につながりやすくなります。
[01:42:58] 覚えておいてください。
[01:43:03] そんな長いこと言ってたら嫌な予感がする。
[01:43:07] でもそういう意味で、さりげなく。
[01:43:12] 予約なんで自分の埋まってます。
[01:43:16] これってあれなの?
[01:43:19] ゆうまのやつだけどGitHubはまさむねなの?
[01:43:28] 自分のカレンダーに連携されるので。
[01:43:34] これ多分送信先が先生が送信しても、
[01:43:38] ゆうま先輩が送信しても自分のカレンダーに追加されますね。
[01:43:43] そうだよね。
[01:43:45] 先生とかがこのサイトをいっぱい連動するんだったら、
[01:43:51] どんどんGoogleカレンダーの通知がいっぱい溜まっていくっていう。
[01:43:55] 謎のくそ予定ばっかりの人間になる。
[01:43:59] あれですね。自分の送ってなかった。
[01:44:02] ああ、そういうことか。
[01:44:07] でもそういうので、自分の相談とか予定管理にもこれが使える。
[01:44:27] オールの取得入ってないな。
[01:44:57] ゆうまも7月6日とかに僕も登録してみたけどできたかな。
[01:45:24] 4月6日10時。
[01:45:25] 4月6日ですか。
[01:45:27] あ、ごめん。4月4日。
[01:45:31] 入ってた?
[01:45:34] 入ってないですね。ちょっと確認します。
[01:45:37] 自分4月14日にゆうま先輩にやってみたんですけど。
[01:45:41] 4月14日。入ってないな。ガスで止まってるかもしれないですね。
[01:45:49] そういうので、誰かに登録させたんだけど
[01:45:52] 登録されてないよっていうので。
[01:45:55] あれでもなんか、こっちの予約一覧には僕の登録は反映された。
[01:46:06] 繋がってないですね。自分の予約一覧。
[01:46:10] 多分だからあれだよね。
[01:46:13] 僕の登録とかとまさむの登録が同期されてない気がする。
[01:46:20] でもこんな感じで修正をしていくわけですよ。
[01:46:29] アンティグラビティにガスのURLそのまま載っけたらいけるとき
[01:46:33] よくないですかね。
[01:46:35] あ、いける。
[01:46:36] 勝手にいけるって聞かれてくれるみたいな。
[01:46:39] いけるいけるいける。
[01:46:42] デプロイのURLとかはアンティグラビティにペンって貼り付けて
[01:46:47] やっといてとか言えばいい。
[01:47:13] だいたいこの予約システムとかそのぐらいは
[01:47:16] 今の時代は自分で作ったほうが早いですからねーってどやりながら名刺交換。
[01:47:28] うぜえなそれ。間違ってないですけど何もね。
[01:47:35] 多分そういうふうにして、
[01:47:37] でもそうしたら自分のサービスとそういうのが結びついてるから、
[01:47:43] 君できるねーみたいにはなりやすいわな。
[01:47:46] なりやすいですね。
[01:48:11] なんかこんなん来たぞ。
[01:48:17] 見えにくいか。
[01:48:20] 来たしよ帰ろう。市長速決ピッチ2026。
[01:48:27] ん?いいじゃん。
[01:48:31] もう出るやつ決まってんのか。
[01:48:38] 観覧車募集かよ。使えねえ。ぶつぶつ。
[01:48:53] ああそうだ、そろそろ一旦全体的な流れ的にスライドは先に進めておくか。
[01:49:07] というところでちょっとそういうグーグルに聞きながら
[01:49:13] ガスとかを作ってカレンダー連携を実装しましたよーと。
[01:49:20] で、実はここからさらにもう一個LINEアプリでするために
[01:49:28] あれ?
[01:49:34] そうだよね。LINEアプリにするためにLINEの登録があるので
[01:49:40] ちょっとここを一応聞こうかな。
[01:49:53] いめのパー側で設定もいるよね。
[01:50:00] と確認
[01:50:30] でですねラインリベロッパー側でも設定いるよねなんてことをちょっとその予約とかがうまくいったときに聞いていただけると
[01:50:39] はいありますと
[01:50:43] でこうなっていて
[01:50:47] ラインリベロッパーズっていうのに今度ログインをしていただくとまたこのたぬき顔女子が出てくるので
[01:50:59] コンソールにログイン
[01:51:05] そしてLINEアカウントでログイン
[01:51:09] 僕は結構いっぱいちょっとバーっと作っちゃってるんであれなんですけど皆さんは新規で多分プロバイダーての作成ポチっと押すといいと思います
[01:51:22] でこのプロバイダーの
[01:51:25] えーと僕途中まで知らなくて毎回作っちゃってて今いっぱいになっちゃってるんですけどこれ一人で10個までしか作れないという制限があって
[01:51:35] でも逆に
[01:51:38] 1個こうやってプロバイダーを作ると中にその中にいっぱいチャンネルっていうのを作ってくっていう仕組みになっているので
[01:51:47] まあ1個プロバイダー作ってその中に毎回その都度新規チャンネルっていうのを作ってくっていう設定でいいと思います
[01:51:56] なので
[01:51:58] でおそらくこのプロバイダーを作ってさらに新規チャンネルっていうのを作りますこれポチっと押します
[01:52:08] そうすると
[01:52:11] でなんだこれはLINEログインかな
[01:52:17] えーっと
[01:52:22] 多分これはLINEログ
[01:52:26] あれ一応聞くか
[01:52:29] チャンネルの種類はどれ
[01:52:38] でこういうふうに設定とかで
[01:52:41] えーっと途中途中でこれどれ選ぶねんとかっていう時があるんでそういう時はこうやってスクショして
[01:52:51] チャンネルの種類どれとかって聞いたりとかすると教えてくれます
[01:52:59] まあこういうふうにして設定とかが出てきたら
[01:53:06] その都度設定を聞けばLINEミニアプリを選択してくださいとか教えてくれるので
[01:53:12] じゃあLINEミニアプリを選択します
[01:53:15] でまあ大体このあたりは
[01:53:19] 適当適当
[01:53:22] チャンネル名
[01:53:28] LINEアップ
[01:53:33] サンプル
[01:53:36] 予約するよとか適当
[01:53:41] メアド適当
[01:53:43] ここクール版
[01:53:45] 全部チェックつける
[01:53:47] 作成
[01:53:54] 予約後また使用できない文字が少ない
[01:53:56] そうなの
[01:53:58] LINEとか入れちゃうとダメなの
[01:54:01] アップ
[01:54:03] アップサンプル
[01:54:10] でこうやってやると色々設定ができますんで
[01:54:20] 作成したチャンネルのリフタブ
[01:54:24] ここに元のGitHubのURLを
[01:54:49] 何かありますか
[01:54:54] ガス
[01:54:56] ガスをガスガスする
[01:55:05] 今度リフの設定がない
[01:55:23] リフの設定をしてくださいなんて言ってるんだけど
[01:55:53] ウェブアプリ設定から見ます
[01:56:23] ちょっと一緒にトイレ行ってきます
[01:56:51] 落ちる
[01:57:21] 落ちる
[01:57:51] 落ちる
[01:58:03] 落ちる
[01:58:09] 落ちる
[01:58:21] FURN開発用、つまり
[01:58:35] まず予約システムのURLを引っ張っていきます
[01:59:05] FURN開発用のURLを引っ張っていきます
[01:59:28] そしたら、このURLをLINEの
[01:59:39] FURN開発用のURLを引っ張っていきます
[02:00:00] 変更っていう感じでエンドポイント URLをGitHubとかのURLに変更する
[02:00:13] LINEの設定はこれくらいかな
[02:00:21] 画面の上にあるGIF URL
[02:00:42] 一応これがLINE上でのアプリのURLになるので
[02:00:57] パソコンから開くとQRコードとかが出る感じになります
[02:01:04] 一応こういったLINEの設定みたいなところまでができると
[02:01:09] 正式にLINEアプリとしてリリースされているという形になりまして
[02:01:17] 無事LINEアプリがこういう手順を踏むとできるという流れになっています
[02:01:39] どうだろう
[02:01:47] まさむね氏がLINEアプリができたっぽい
[02:02:09] まさむね3月11日って予定ある なんか今ちゃんと予定が埋まってますって出たけど
[02:02:32] 3月11日
[02:02:40] 予定ある?
[02:02:44] じゃあちゃんと動いてるね
[02:02:52] 3月11日の12時半から1時半もともと入ってます
[02:03:00] 3月11日が全部予定ないって出ちゃってる
[02:03:05] 予定あるになっちゃってる
[02:03:10] もしかしたら1個予定が入ってるだけでその日全部ダメになるってなってないか
[02:03:24] そういう微妙なのはありそうだけど 予約とかはちゃんとできそう
[02:03:31] っていうのでその辺の細かいところをぜひ仕上げてってみてくださいって感じだね
[02:03:40] はい
[02:03:53] 先生この後普通に学校あるので
[02:03:57] いってらっしゃい
[02:04:00] すごいサクッと終わらせて時間通りに去っていくというめっちゃできる感じですね
[02:04:09] あいつも元々今日学校じゃなかったか
[02:04:13] 朝から学校じゃなかったか
[02:04:17] 朝から学校だって説あるよね
[02:04:21] 明日卒業式らしいんで
[02:04:29] やばい中学生が学校様とコンディネーションの事実が録画である
[02:04:39] イフ塾は不登校を肯定します
[02:04:54] 少なくとも今日の1,2時間目の授業よりは価値のある時間を提供できたでしょう
[02:05:10] ちょっとあれだね
[02:05:13] 時間が
[02:05:15] 時間が過ぎてる
[02:05:19] どうかな皆さんどう
[02:05:22] LINEの設定ぐらいまでやると多分全体像はつかめるかなというところで
[02:05:28] ぜひこの後とかもどんどん
[02:05:33] LINEの設定というところまでは終わらせるというのをゴールにはしてほしいんだけど
[02:05:40] ぜひここでこうしたいんだけどこうできないとか
[02:05:44] そういうのはどんどんLINEとかでも後々で聞いてくれてもいいのでね
[02:05:50] またこれLINEじゃなくても違うアプリでまたこういうのやったらいいかなと思います
[02:05:56] 定期的にこういう開発会みたいなのもしニーズあればやりますけど
[02:06:03] もしまたLINEでもいいし
[02:06:07] 違うやつでもいいし
[02:06:11] もし
[02:06:13] なんか単純に
[02:06:15] 多分やってみたいならやってみたい
[02:06:18] ちょっとわからないならわからないでいいので
[02:06:20] 言ってくれた方が次やるかやらないか決めやすいから
[02:06:25] 言ってくんないとやらない
[02:06:28] 言ってくれた方が多分やりやすいし
[02:06:33] なんか素直にここもうちょっとここ詰まってたからここ直してほしいとかっていう
[02:06:39] これ言ってほしいから
[02:06:42] 鈴木さんは素直にここ分かりにくかったですとか
[02:06:45] また正直ってやりたくないですまたやりたいですと言ってくれれば
[02:06:49] 助かります
[02:06:53] ぜひねちょっとそれででも積極的にこういうのをやって
[02:06:57] みんなで知識とかを共有したりスキルを上げていったりってことをすると
[02:07:02] 結果的には多分みんなが幸せになるんじゃないと思ってやってるので
[02:07:07] 僕ら楽しかったのでええんじゃないかと思いますけど
[02:07:10] みなさんがどうかじゃないか
[02:07:12] あれだと思うのでそれは教えてほしいです
[02:07:15] そうですねぜひ今チャットとかでもねなんかいいので
[02:07:20] 聞いていかがでしたか
[02:07:22] ありがと
[02:07:24] ありがとうございます
[02:07:25] ありがとうございます
[02:07:31] ありがとうございます
[02:07:35] 聞こえてる?
[02:07:38] OKです
[02:07:43] なんか逆にねこういうの作りたい数とかもどんどん欲しいですね
[02:07:52] なんか
[02:07:55] あとは
[02:07:58] やばいこういうの作れるって言ってうっかり仕事受けちゃったんですけど
[02:08:02] 作り方わかんないんで教えてくださいとか
[02:08:07] 自分ができなくても仕事って受けちゃっていいと僕は
[02:08:11] 僕の考え方では思ってて
[02:08:13] あやのさんもよろしくお願いします
[02:08:16] やっぱり大成君とかも来てほしいですね
[02:08:19] 大成君とかも来させたいもんねやっぱね
[02:08:21] 彼も別に予定が合えば来るでしょ
[02:08:24] うん来ます来ます
[02:08:26] 今日は予定合うなら
[02:08:28] この途中からの動画とかも共有しといてよ
[02:08:31] クリティスコレクションねぜひお願いします
[02:08:37] だね
[02:08:40] じゃあ一旦こんな感じかなでも区切る
[02:08:47] そうですね
[02:08:49] 僕らは反省会しません
[02:08:51] そうだねOK
[02:08:54] じゃあちょっと一旦これでこの会話
[02:08:57] 今日は区切りますが
[02:08:59] なんかおのおのちょっと不明点ですとか
[02:09:04] ご要望質問などなど
[02:09:08] ちょっとぜひ
[02:09:10] LINEやDiscordで一言
[02:09:12] 皆さんくれると助かります
[02:09:14] じゃあちょっとまた後で改めてちょっと
[02:09:17] 一言くださいみたいなご案内もすると思いますので
[02:09:20] またよろしくお願いします
[02:09:22] はい
