[00:01:45] あ、おはようございます。
[06:52:03] うん、うん、うん。
[06:53:32] なるほど。
[06:54:40] あ、じゃあそのセット数も欲しいですね。
[06:57:33] うん、うん。
[06:58:00] ええと、どこどこV、えっと、見る角度、えっと、見るポイントか。
[07:09:47] うん。
[07:09:88] なるほど、なるほど。
[07:11:15] そこは大丈夫です。
[07:12:87] 視点とポイント、うん。
[07:17:28] それがずらっと揃えば、なんか、
[07:21:99] 一旦仮組でなんかそれを全部繋げるものを作れるかどうかテストができるようになると思います。
[07:29:08] うん、うん。
[07:31:69] そこはじゃあそまさん、至急すぐできると思うので、この後で。
[07:36:20] うん。
[07:36:50] これができるだけで大革命ですよね。
[07:38:61] いや、大革命。
[07:39:79] いや、なんかすごいと思います。
[07:42:74] すごい分析力が湧いてきます。
[07:44:33] 自分自身で。
[07:44:98] すげえシステムだなって。
[07:47:39] 高崎さんずっとそれ欲しかったんですよ。
[07:49:04] もうまさにそういうイメージを何年も前から話してて。
[07:53:06] なるほど、なるほど。
[07:53:79] あ、よかった。
[07:54:57] でも、なんかじゃあ、かなりイメージともなんかずれてなさそうなのでよかった、安心しました。
[08:01:80] はい。
[08:02:44] あの、あちらでも発表会してもらっていいので研究成果として。
[08:06:58] もちろん。
[08:07:90] あの、自由にお使いいただいていいので。
[08:10:49] 結構でもあの、
[08:12:96] どんどん今あの、アシュラとかをやっててこの、あれ。
[08:19:92] あ、アシュラとかをやってこのすごい専門家の方たちが、それぞれの専門分野を持ってる人たちが集まってて、なんか僕多分どんな専門分野を投げられても多分システム化して打ち返すのが結構できそうなので、
[08:35:63] へえ。
[08:36:58] 自分自身だけだとこの美脚のなんかとか絶対やろうと思わないじゃないですか。
[08:42:77] ネタは豊富にあります。
[08:44:73] そうです。
[08:45:34] こうやってなんかいろんな人とコラボレートさせてもらえると、なんかどんどん、なんか発明品が世に出てくじゃないかなと。
[08:54:19] うん。
[08:54:95] だからどんどん色々作りたいんですよ、僕は本当に。
[08:57:43] ああ。
[08:59:49] ぜひご協力させていただけたらと思っております。
[09:02:00] ぜひ。
[09:02:72] へえ、でもすごい面白い。
[09:04:19] そまさん、あれですよね。
[09:04:95] 今分析、例えば、なんか講師の動画とかを取り込んで、
[09:11:03] で、あと、うちの、フレ、あの、評価のフレームワークがあってですね。
[09:14:62] 講師の。
[09:15:39] その辺りのこうインプット全部入れて、自動的にその量と質のこうなんか、スコアリングをするとかっていう作ってて。
[09:22:04] はい。
[09:23:44] なんか、そういう系のが結構いっぱい今分析で作ってんですけど、どうしても素人が作ってるんで、なんとなく生煮えで終わってる感じがしててですね。
[09:31:37] なんか、ちょっとその辺も。
[09:33:04] そのデータとかどんな感じになってるかとかもぜひ見せていただければ。
[09:38:64] はい、はい。
[09:40:57] はい、ありがとうございます。
[09:41:43] あ、今、今、今、もしあれだったら、見せますし。
[09:45:57] 今ね、あの、そこまでその動きそのものをチェックみたいなのはやってなくて、どちらかというとこう、声、誘導をちゃんとできてるとか、そういう分析してる感じですね。
[09:56:47] で、本当は、その講師の動きと、で、受講生さんが、まあ、ちょっとね、数が多いんであれですけど、まあズームでこういう感じでレッスンするんですけど、
[10:07:59] うん。
[10:07:91] 例えば10人とか来てたら、その講師の動きにたいして、全員動けてるか、みたいなのがオンタイムで動きのチェックができて、で、講師が、まあ、最初は講師がそれを見て、Aさん動けてないよとか、Bさん、もうちょっとこうだよとかっていうガイドができたりとか。
[10:25:27] なんだったらもう自分でそれがチェックできる？
[10:28:13] と、講師の動きにたいして私ここが甘いなとか。
[10:31:94] みたいなが、もうそのレッスンのなかで見えちゃったらめちゃくちゃいいなとか。
[10:37:78] ええっと、リアルタイムの動画解析をしたい。
[10:44:46] そう。
[10:44:83] はい。
[10:45:51] 簡単に言うと。
[10:46:75] 50人ぐらい並んでますよね。
[10:49:00] 50人ぐらいいるんですけど。
[10:51:24] なんかそれ、あの、えっと、録画したものを後で分析して出すなら。
[10:56:71] あ、そうなんだ。
[10:57:92] 多分。
[10:58:34] これでも全然大丈夫です。
[10:59:75] 多分これじゃないと思います。
[11:01:73] うん。
[11:02:30] それでも全然いいです。
[11:03:77] 恐らく、なんか、ちょっとその、
[11:08:52] えっと、
[11:11:32] で、そうすると多分、えっと、AIがその動画をフレームごとに把握するようになるから、えっと、そこのところででの細かいところでの比較を切り取って、ここここを比較してみたいなことをすごく言いやすくなると思います。
[11:27:66] うーん。
[11:28:90] で、ピンポイントでそこまでしていければ、静止画の比較みたいな話になってくるので、あの、AIの精度は上げ、上げやすくなると思います。
[11:37:37] ああ。
[11:37:92] うん、なるほど。
[11:38:81] ちょっと動画で流れてるものをダーって解析だと、やっぱり精度は落ちると思います。
[11:42:85] ああ。
[11:44:37] いいですね。
[11:45:00] だからそれに、あの、あれなんですよ、あの、えっと、スマートインソール、これこれからちょっとやるんで、どんなデータ取れるか分からないんですけど。
[11:52:84] うん。
[11:53:14] スマートインソール履いてもらいながら動画撮って、そうするとインソールのどこの踏んで。
[11:57:08] スマートインソール。
[11:57:84] というのは、まあ、あれですか、なんかデータを測定してくれる靴の中に入れるものという理解で合ってます。
[12:03:59] そう、そう、そう、そう、そう。
[12:04:15] ここにセンサーが8個ぐらい入ってて。
[12:06:40] へえ。
[12:06:84] それ踏んで壊れないんですか？
[12:09:07] あ、踏んで壊れない。
[12:09:95] あの、作って。
[12:11:64] なんかイメージ的にはその中に靴入れ、靴の中にいたら虫パキグリ。
[12:18:61] パキッて。
[12:21:49] 大丈夫です。
[12:22:23] はい。
[12:22:38] そういう、なんか、柔らかいんすか、なんかセンサー。
[12:26:22] センサー自体はね、ま、普通のセンサーで。
[12:28:20] で、で、インソールがあるので、ま、ある程度こう吸収してくれるみたいな感じで、うん、あの、ちょっと耐久性は確かにどれぐらいあるのかわかんないですけど。
[12:38:64] うん。
[12:38:90] うん。
[12:39:13] うん。
[12:39:46] うん。
[12:39:66] うん。
[12:39:87] で、ま、それを踏むとそこのセンサー、どこを踏んでて次どうきたっていう、その動きのところから、その姿勢もなんとなく想定できたりとかするんですよね。
[12:48:84] ええ。
[12:49:11] で、それを、その体重のかかり方みたいなのが結構。
[12:50:88] あ、そう、そう、そう、そう、そう。
[12:51:50] すごいな。
[12:53:36] 踵ばっかり使ってると後ろに行ってるから顎前でやすいですよねとか、ま、そういうのが、あの、体の作りと合わせて見れるので。
[13:01:73] で、それでこう分析も出せるんですけど。
[13:03:36] で、それとこの動きの動画と合わせて、実際にセンサーここ踏んだらこうなってるよみたいなのが、これが分かると、なんかむちゃくちゃさらに良くなるなと思って。
[13:12:46] めっちゃいいっすね。
[13:13:03] あ、ありがとう。
[13:14:64] ええと、スマートインソール。
[13:20:97] そう、これですね。
[13:21:56] これ、ちょっと、これも、これから、あの、独自開発を、ちょっとこの会社さんとやっていくんですけど。
[13:27:32] あ、そうなんすか？
[13:27:90] すごい。
[13:28:44] へえ。
[13:29:48] あ、なんか、こんな。
[13:31:39] こんな、あ、全体的に広がるんだ。
[13:36:27] ああ、なるほど。
[13:36:51] すごい、インソールです。
[13:37:37] そうです。
[13:37:94] ああ、そ、今見てまして。
[13:41:40] はあ、すごい。
[13:44:03] こりゃなんかすごそうだぞ。
[13:47:49] これ。
[13:48:07] いじりがいがあるっぽいですね。
[13:49:68] めっちゃ面白そうっすね。
[13:50:98] なんか。
[13:53:67] IoT的な感じが入って。
[13:56:49] うん。
[13:57:59] これ行けたら多分ね、この同人全員行ける。
[14:02:18] いけますね。
[14:03:39] はい。
[14:04:47] 多分やられてる側、全然、なんかいなんかやってる意識とかなくできますね。
[14:10:46] そう。
[14:10:97] はい。
[14:11:58] へえ、面白い。
[14:14:98] すごいな。
[14:15:94] はい。
[14:16:30] これをちょっと夏ぐらいまでにインソール自体は開発をしてって感じなんで、ちょっとこれは合わせてまたやりたいっていうちょっと。
[14:24:28] ああ、いいですね。
[14:24:74] なんか、ぜひそれで。
[14:25:95] 連携させれると思う。
[14:27:33] はい。
[14:28:77] はい。
[14:29:43] です、です。
[14:29:72] すごい。
[14:30:74] 面白いっす。
[14:31:47] すごい、いっぱいやってますね。
[14:32:55] いいっすね。
[14:33:38] 面白い。
[14:34:64] あの。
[14:35:45] 次ね、あの、薬膳とかもやるし。
[14:37:71] あ、そう、そう、そう。
[14:38:32] 食事系。
[14:38:81] なんかネタの方向なんで、お客さんもいっぱいいるし。
[14:42:64] あ、ちなみに僕結構一時ちょっと薬膳少し凝ってたりとかして、なんか白木くらげとかやたら買ってる。
[14:49:57] 白木くらげと松の実をやたら買って。
[14:53:57] 良さそうですね。
[14:54:99] はい。
[14:56:07] めっちゃ買ってましたね。
[14:59:75] で、でも。
[15:00:37] ああ、そうなんだ。
[15:00:99] はい。
[15:01:21] ま、今でも結構あの、キノコで出汁を丁寧にとったりとか、割と。
[15:05:40] へえ、そっちもできるんです。
[15:06:56] はい。
[15:07:37] あの、料理、料理凝るタイプ。
[15:09:44] へえ。
[15:11:15] いい感じです。
[15:12:47] あの家族のね、ご飯3食僕作ってますから。
[15:15:47] へえ。
[15:16:08] はい。
[15:16:47] 娘のお弁当とかも僕が作ってます。
[15:19:15] すご。
[15:19:93] はい。
[15:21:40] 作るのが好きなんですね、全般的に。
[15:23:44] あ、そうですね。
[15:24:20] クリエイターで痛いっていう。
[15:26:00] へえ。
[15:26:95] な感じ。
[15:27:54] はい。
[15:27:72] あとはね、あの、歯列矯正から来る小顔と足を組み合わせて、小顔の講座を作るとかね。
[15:37:25] なるほど。
[15:37:64] ほう、ほう、ほう。
[15:38:09] すご。
[15:39:69] そういうのも。
[15:40:41] 全部でもそういうのもな、あの、データの仕方とか解析の仕方全部一緒なので。
[15:46:27] そうですね。
[15:46:83] はい。
[15:47:18] ようはなんか比較するものをを動いしで、差をを見て、分析してフィードバックするというものなので、全部、あの、全部繋げられますよ。
[15:57:33] おお。
[15:58:14] はい、はい。
[16:01:14] これやばいっすね。
[16:01:45] 高崎さん、会社一緒に作りましょうか。
[16:04:10] 本当に。
[16:04:47] え、なん。
[16:04:95] 遊び場が増えますよ。
[16:07:65] すごい、なんか、僕、なんか、すごい、そして本当に、なんか、大活躍もできます。
[16:12:87] 楽しみながら大活躍できる気が。
[16:14:65] いける。
[16:15:21] なんか、それの方が早いんじゃないかと思って。
[16:19:35] そんな感じ。
[16:20:00] すごい。
[16:21:07] ああ、でも、え、じゃ、ちょっとでも、まずでも、えっと、先だってその動画からの解析システムみたいなのが。
[16:30:33] そうですね。
[16:30:80] ちょっとそっちをちょっと、取りかかってみますね。
[16:35:05] あ、ありがとうございます。
[16:36:58] ございます。
[16:37:46] なので、じゃあその17パターンのところを、なんかまず固めてもらえればってことですね。
[16:43:95] はい。
[16:44:66] はい。
[16:45:10] 分かりました。
[16:45:51] あとで、あの、スプレッドシート作って、ここに何か入力してくださいみたいなのを、なんか、
[16:51:00] 助かります。
[16:51:71] お願いします。
[16:52:95] よろしくお願いします。
[16:53:57] はい。
[16:54:49] ました。
[16:55:20] はい。
[16:56:56] 多分色々ビジョンはかなり広がるし、あの、広げていきたいなと僕も思ってるんですけれども、えっと、でも多分それを、もうその17パターンをまずしっかり固めて、解析、あれ。
[17:12:75] あれ？
[17:14:15] あれ？
[17:17:41] あ。
