[00:00:00] はいっ 動かそう
[00:00:07] この角度で撮ってもらえると?
[00:36:49] りなたむ そのPFとのかぶりなんですよ ね 気にしてるのが じゃあ ぶっちゃ
[00:36:55] けて話ですよ 多分 仕事取っちゃ うんですよ 高崎さんがPFの仕事
[00:37:01] を
[00:37:02] 高崎 僕は それは昔 学校とかで サポート員としていたときに言
[00:37:07] われました
[00:37:08] りなたむ そうなんすよ 本質的 じゃないことを 僕は理解はして
[00:37:13] いるんですけど でも そういうことが 必要なときがあって そこを加味
[00:37:19] すると そうなんすよね だから 僕がさっき提案したのはそういう
[00:37:23] 感じなんですよ AIのお悩み会はPM のメンテナリングとはまた別で
[00:37:27] 竹付けでやるみたいなところを やったほうがいいかなっていう
[00:37:33] りなたむ そうですね なので AIお悩み相談室みたいなの作って
[00:37:39] れば そこにお悩み言ってくれれば 気が向いたときに返しまわすみたいな
[00:37:48] ゆるっと相談ぐらいな感じがいい かもしれないですけど でも ちょっと
[00:37:53] なんていうんだろう 気軽に相談 できるみたいなのがあったほう
[00:37:59] が AIは使いやすいと思う
[00:38:00] りなたむ そうっすよね わかりました
[00:38:03] りなたむ AIに聞いてて解決できなかった
[00:38:06] ときに誰に言えばいいのかもし れんすよ
[00:38:10] りなたむ そうっすね いや そう なんですよ PMって経験値は高い
[00:38:14] し 修羅は超えてる人が結構多い ので そこの観点は話せるんですけど
[00:38:21] AIのことばっかり聞かれると多分 答えられない人も 仕方ないじゃない
[00:38:25] ですか
[00:38:26] りなたむ 僕は結構逆に言うと AIがフリーズして何回も同じこと
[00:38:31] ループするようになったような ときに 打破するやり方を伝授する
[00:38:34] のはうまい
[00:38:35] りなたむ そうっすよね
[00:38:36] りなたむ はい
[00:38:37] りなたむ そうっすね オッケー です じゃあ ちょっとメンター
[00:38:42] だな メンターですね ごめんなさい 高崎翔太をPMにしてくださいっていう
[00:38:48] 何かアンケート結果を見て それは キャッチアップしてるんですけど
[00:38:53] PMってプロジェクトマネージャー なんで
[00:38:55] りなたむ 違いましたっけ 伊藤さん みたいなのがいいです
[00:39:00] りなたむ そうっすね 伊藤さんも そうなんですけど 伊藤さんは伊藤
[00:39:04] さんで 結構 佐藤彩子さんのやつ とか 要は計算書とかにプレゼン
[00:39:08] とかしてるんですよ
[00:39:09] りなたむ へえ
[00:39:10] りなたむ なので 結構
[00:39:11] りなたむ そういう裏仕事というか そういうのがあるんですね
[00:39:15] りなたむ そう 結構そういうのが あって なので 一定のちょっと
[00:39:20] どうしても基準があって ただ メンター的な感じで入ってもらう
[00:39:26] のは全然いいですし どっちのほう がいいですか 衣服塾としてコンソーシアム
[00:39:33] に入るほうがイメージか もしくは 高崎さん個人として入ってもらう
[00:39:37] かっていう感じ
[00:39:38] りなたむ どっちがいいかな 衣服塾
[00:39:40] りなたむ 僕としては後者のほう がいいと思ってます 理由として
[00:39:43] は採択しにくくなるから 衣服塾 の作成を
[00:39:48] りなたむ ああ それは
[00:39:49] りなたむ そっか
[00:39:50] りなたむ えっと
[00:39:51] りなたむ その兼ね合いがあるんですよ
[00:39:52] りなたむ 衣服塾が並みだと入れ なくなりますか 今後それら
[00:39:55] りなたむ 入れなくなるというか R&Dなんじゃないかっていう
[00:40:00] とらえられかねないんで
[00:40:01] 岡田 ですね 何なら今回もでした もんね
[00:40:06] 三宅 そうなのでちょっと
[00:40:08] 岡田 そうですよね
[00:40:09] 三宅 そう高崎さんと
[00:40:10] 岡田 分かりました
[00:40:11] 三宅 一人でも全体としてはメリット なんですけど 学生がシオットに
[00:40:14] 参加するチャンスが減るかも
[00:40:16] 岡田 それは困りますので
[00:40:19] 三宅 そうっすね なのですいません 高崎翔太メンターという形でAIアドバイザー
[00:40:28] という形でよろしいですかね
[00:40:31] 高崎 はいお願いします
[00:40:32] 三宅 ありがとうございます ごめんなさい じゃあちょっとクロージング
[00:40:37] に入っていくんですけど ちょっと 足音に組み込むんだったらどういう
[00:40:43] 講座がいいのかっていう案をまず これをいただきたいです 金額の
[00:40:51] イメージ
[00:40:52] 三宅 何かね 本当は
[00:40:56] おだしょー 僕も一回受講したいっす
[00:41:01] 三宅 はい そうですよね
[00:41:04] おだしょー 何かどうしたらいいですか 高崎さんの授業を受けるためには
[00:41:08] 僕はどうしたらいいんですか
[00:41:09] 三宅 最近僕らイフ塾AI講座っていう のを始めまして
[00:41:15] おだしょー はいはいはい イフ塾に入塾しない
[00:41:18] といけないですか
[00:41:20] 三宅 単発の講座とかもちょっと やっておりますが もしよろしけ
[00:41:24] れば
[00:41:25] おだしょー ちょっとそこの辺の イメージをつけるために
[00:41:30] 三宅 でもクロードコードでやるん だったら クロードコードはちょっと
[00:41:35] 契約はしていただかないといけ なくなっちゃう
[00:41:38] おだしょー どういうことですか 講座のときですよね
[00:41:42] 三宅 はい マックスは欲しい 100ドルは欲しい
[00:41:49] おだしょー アンチグラビティー だったらどうですか
[00:41:53] 三宅 アンチグラビティー アンチグラビティーで作るイメージ
[00:42:03] が足音での ちょっと作って欲しい なっていうふうに感じるやつ
[00:42:12] だってなると思います なので そこからの発展系がちょっと
[00:42:19] 見せられないっていう形になります
[00:42:21] おだしょー 僕としては AIのこと 困ったときにお助けできるみたいな
[00:42:30] ものにアドバイザーで入ってもらう としたら クロードプロを使ってる
[00:42:36] 人は別にクロードプロプランの 質問をしたらいいんじゃないかな
[00:42:43] と思ってて
[00:42:44] 三宅 クロードコードが必須にした ほうがいいと思います
[00:42:50] おだしょー 必須のほうがいいですか
[00:42:52] 三宅 クロードコードの 例えば 僕がクロードコードのマックス
[00:43:02] プランを使います 別の人がアンチ グラビティーのみでいきます 絶対
[00:43:13] 負けないと思います 僕は
[00:43:14] おだしょー 難しいですね 今 ちょっとトレンドもあれあるので
[00:43:21] なんとなく
[00:43:22] 三宅 ちょっとそれがまた8月ぐらい になってて やっぱりジェミニが
[00:43:26] 最高でしたよみたいな話には 全然なりうります
[00:43:32] おだしょー 本当ですか 極力 例えばGoogleワークスペースを使っている
[00:43:43] 人とか 慣れ親しんだUIとか プログラム が終わっても 自分で必要であれば
[00:43:51] 触っていけるみたいな感じにして クロードプロマックスが その環境
[00:43:56] がないと何もできないっていう 状態になっちゃうと
[00:43:58] 三宅 そうなんですよね
[00:44:02] おだしょー そう そこはやっぱり クロードプロマックス
[00:44:05] 三宅 ただ依存だけさせて中毒に させましたみたいな感じになっちゃ
[00:44:11] うんですよね
[00:44:12] おだしょー そう そうなんですよ それはちょっとごめんなさい 避け
[00:44:15] たいなと思っていて
[00:44:17] 三宅 アンチグラビティーで限界突破 を目指す講座にする
[00:44:22] おだしょー クロードプロ 物足りない からクロードプロ使うわ 別に全然
[00:44:28] いいんですよ 多分そういう学生 もいると思うんで
[00:44:31] 三宅 じゃあ そこは自己判断で にしますか
[00:44:34] おだしょー そうですね
[00:44:35] 三宅 そしたらでも 自己判断での ところで AIの決済がしやすいように
[00:44:43] はなっててほしいって感じます どうせ毎月にするんで だと思います
[00:44:54] ね
[00:44:55] おだしょー なので もう分かんない ですけど 最悪のケースは提供できな
[00:45:04] かったとしても 20時間開発したら 4万だから それで処理してねっていう
[00:45:10] 感じにするしかないかなとは思 ってはいますけど AIの環境は
[00:45:14] 三宅 そうですね
[00:45:15] おだしょー そうですね あんま 言えないですけど そこはちゃんと
[00:45:20] やってもらいたいんですけど 20時間開発したってことにすれば
[00:45:23] AIの金額は賄えるでしょうという 感じですかね でも それだとそれ
[00:45:31] 以外が使えなくなるかもしんない から ちょっと考えますよ
[00:45:37] 三宅 そう なんなら ちなみに 今 普通にAIだけの話をしてました
[00:45:47] けど 結構 ちゃんとしたいいのを 作るぞ 規模でかいのを作るぞって
[00:45:54] なってきたときに 今度 APIが必要 になってきます
[00:45:57] おだしょー そうですよね
[00:45:58] 三宅 割とやっぱり動画とか画像 とか そういうのを組み合わせたい
[00:46:03] っていう子は 今の世代の子たち にはやっぱり多いんで 画像とか
[00:46:09] 動画になると 急にAPI代の値段 が上がるっていう
[00:46:13] おだしょー ですよね
[00:46:16] 三宅 僕は結構 それだけでも 今月月 3 4万いってます なので 結構 そこの
[00:46:29] 辺りとかで 意外とAI開発は 実は そういうところもデメリットとして
[00:46:37] はありますね
[00:46:38] おだしょー ありがとうございます そうなんすよね だから 必要っていう
[00:46:45] のは分かってるんだけども ちょっと プログラムの特定 どうしてもやっぱ
[00:46:49] 補助金期間なので それ終わった 後は もう終わったから 面倒見ない
[00:46:56] ようは 面倒は見ないんですけど とはいえ プログラム
[00:47:01] 三宅 何て言うんでしょうね 多分 それらのAIとかにかかるとかの
[00:47:09] 手数料みたいなのを 一括で何々 代っていうので出せるみたいな
[00:47:20] 最初に AIサポート開発費みたいな のを項目で定めちゃって その中
[00:47:27] で 月々のOpenAI ジェミニ アンソロピック などに属するAIや それらのAPI代
[00:47:38] および それに付随したAIサービス を全部含んだものを AI開発補助
[00:47:47] サービス代とするっていうふう にしといて 毎月の合計金額を
[00:47:53] ただAI開発金額費 5万円とかって 言うだけとかにすれば 多分 ちょっと
[00:48:05] 楽にはなる 使いやすくなる あと ドルで送ってもいいとかにする
[00:48:15] おだしょー うん
[00:48:16] 三宅 そこがちょっと多分 まとま っていれば 一応 毎月の申請になった
[00:48:27] としても あとあとでまとめて とかでもできるし
[00:48:31] 三宅 これめっちゃややこしい 話があって すみません 内部の話
[00:48:36] なんですけど 赤月って これ 実は 事業費って三分の二しか出てなくて
[00:48:40] おだしょー なるほど
[00:48:41] 三宅 僕ら 三分の一持ち出しで やってるんですよ
[00:48:44] おだしょー そうなんだ
[00:48:45] 三宅 そうなんですよ 開発支援金 は でも 十分の十 国から出るんですよ
[00:48:50] だから 三分の二のほうは商標 多少抜けてても たまに漏れるんですけ
[00:48:56] ど 十分の十のほうはめっちゃ厳しい から クリエイターの皆さんにそういう
[00:49:01] 領収書とかの ちばきの業務が非常 に増えるっていう
[00:49:05] 三宅 じゃあ AIとかの それは NTT側 で指定されたアカウントで登録
[00:49:20] しちゃうっていうのはどうですか
[00:49:22] おだしょー そう それを考えたん ですけど そうすると三分の二なんですよ
[00:49:26] 三宅 ああ そうか
[00:49:27] おだしょー そう だから 個人で 契約したやつだったら 十分の十
[00:49:33] なんですよ だから 経済合理性が 取れなくて ちょっと
[00:49:37] 三宅 まあ そうしたらあれかは でも
[00:49:41] おだしょー やっぱり だから 表向き上は立て替えたってことに
[00:49:44] しないといけなくて
[00:49:45] 三宅 はいはいはいはい そうか
[00:49:47] おだしょー そう だから あとは 業務日報の長尻を合わせてもらう
[00:49:53] って感じですね AIでかかってる 費用は
[00:49:55] 三宅 なんか
[00:49:57] おだしょー 開発時間
[00:49:59] 三宅 うん
[00:50:00] 機関として申告してねっていう よく 一応 よくはないんですけどね
[00:50:04] ちょっと工夫は必要なんですけど
[00:50:06] おだしょー なんかじゃあ 架空 AIエンジニアがいるとして 実際
[00:50:19] AIに作業させて作ってるから 架空 AIエンジニアはいるじゃないですか
[00:50:26] これへの人件費ってことにして AI財まとめて払うってのはどうですか
[00:50:34] なので 架空AIエンジニアを雇いました 今月も来月もみたいな
[00:50:47] かながちいけなくもないんじゃない ですか
[00:50:55] とりあえず補助金はDXパートナー から個人にお金を流さないといけ
[00:50:59] なくて 渡辺優月の口座に入れない といけないんですよ
[00:51:04] 入れまして
[00:51:05] そこから先はもう知らないという 感じなんですよね
[00:51:10] だからそこがクリアできないんですよ ね
[00:51:13] おだしょー じゃあ なので
[00:51:19] 大竹さん ごめんなさい もう申請 してもらいます だって 自分で
[00:51:28] 金額分かってないと今後自立でき なくないですか そもそも
[00:51:32] 大竹 それはそうですね 確かに そこサポートするのは違うのかも
[00:51:36] 意外と
[00:51:37] そうなんですよ
[00:51:38] お金のやりとりとかは むしろ そういうのも こういうプロジェクト
[00:51:43] では学ぶべきですからね すみません 甘やかしすぎました
[00:51:47] そうなんですよ 僕らもちわきから クレーム入ってて 勘弁してくれ
[00:51:56] と もう見たくないって言われて このOpenAIっていう文字を見たり
[00:52:01] 大竹 オープンAI まだおととしぐらい まで じゃあ 今年か 延表期になって
[00:52:10] そうなんですよ まだちょうどマシ になったんですけどね クロード
[00:52:16] のA社がやばいんですよ やっぱり A社が
[00:52:20] すみません でも とりあえず別に AI開発に責任を負わせる必要はない
[00:52:29] ので そもそも自分で作ってみよう ねっていうきっかけを 要は一歩
[00:52:35] 踏み出してほしいっていうような コンセプトでお願いしたいなと思
[00:52:39] ってるので 一旦 それで講義案 のイメージを作っていただきたい
[00:52:42] なと思ってます
[00:52:43] じゃあ 内容はクロードコードで いいですか
[00:52:46] クロードコードでもいいですし アンチグラビティでもいいですし
[00:52:48] ちょっとそこによってだいぶ変わる というか
[00:52:52] だいぶ変わる
[00:52:53] ゴール設定が大きく変わります アンチグラビティだったら ちょっと
[00:53:02] こんなのもできるんだな ふーん で終わる
[00:53:05] じゃあ クロードコードでいいです クロードコードでいいんですけど
[00:53:08] マックスのシャブ付けにならない ような
[00:53:10] はい なので そうですね プラス プランでとりあえず合わせるよ
[00:53:18] ぐらいなのかな でも ちょっと プラスプランがどれぐらいで終わる
[00:53:23] のかが分からないっていうのが あるんです
[00:53:27] そうですよね まあ ちょっと一旦 それで考えてみてください クロード
[00:53:32] コードで大丈夫です 一旦
[00:53:33] はい わかりました
[00:53:34] で あと 実績のところは どうい った事業でやってるかっていう
[00:53:41] のと あと 高崎さん 委託外注を するってなったら 高崎さんに依頼
[00:53:48] を 高崎さん 個人に委託します 衣服塾に委託します どっち
[00:53:54] あ なんかそれが 個人のほうが 都合が良ければ 個人のほうが
[00:53:59] いや どっちでも大丈夫です 要は 衣服塾にお金何円みたいな感じ
[00:54:04] で積むので イメージ だから 要は 高崎さんに借金で何円にするのか
[00:54:08] 衣服塾に委託で何円にするのか っていうので ちょっと科目が変
[00:54:12] わるんで 衣服塾が良いほう 法人 じゃないですもんね 個人事業
[00:54:17] の人ですもんね
[00:54:18] そうなんですよ もともと なので 衣服塾ってやるときに 改めて手続き
[00:54:23] を特にしてないんで 登録自体は 僕の個人事業の人なんです
[00:54:28] そうかそうか 失礼しました そうですね
[00:54:30] なので そんな感じで
[00:54:32] はい
[00:54:33] 了解です じゃあ ごめんなさい 高崎さんの実績というか 経歴を
[00:54:39] ちょっと教えてもらってもいい ですか 要は 講師のプロフィール
[00:54:44] みたいな
[00:54:45] はい 今 スラスラと言っちゃって 大丈夫ですか
[00:54:47] いやいや 資料でいただきたいんです
[00:54:49] 分かりました
[00:54:50] すいません 別にガチガチの提案書 じゃなくていいので
[00:54:56] なんか この間 ちょうど作った のがあった気がします
[00:55:01] 適当にAIで見つくろってもらって あんまり稼働をかけなくてもいい
[00:55:05] ので 必要なのは講義の案と金額 のイメージと講師プロフィール
[00:55:10] と講演実績
[00:55:12] ちょっと必要なこと ちょっとメモ ってもいいですか すいません
[00:55:16] もちろんです
[00:55:17] 講義の内容
[00:55:18] 講義の案 講義の内容 イメージ ですね
[00:55:25] 講義の案
[00:55:26] 足音のどのタイミングでやるか とかですね
[00:55:28] 対面でやる日でもいいんですけど
[00:55:30] 個人的には対面でやりたいですけどね
[00:55:34] そうですよね デイワンデイツー とかで多分1回 高崎さんの時間
[00:55:40] を作るっていうのと それ以降は スラックの高崎さんチャンネル
[00:55:46] があって そこに必要な文字でそう ゆるーくって感じですね
[00:55:54] 対面でやり その後は 最初の設計 っていうところで けっこうつまずき
[00:56:04] があるのと あとは ある程度1個の やつをAIで作り続けて 規模がでっか
[00:56:12] くなってきたときに 急に全部が 動かなくなるっていう デスエラー
[00:56:17] みたいなのがあるんで そういう ときに 大丈夫だよ パニクらない
[00:56:22] で 大丈夫だよって 言ってやる ことが必要です
[00:56:30] 対面でやって その後はスラック ですね あとは
[00:56:34] おだしょー あとは金額のイメージ ですね
[00:56:37] りなたむ はい 困りました こんなもんで大丈夫だな って
[00:56:44] いうとこですかね あと 僕の経歴
[00:56:49] おだしょー そうですね 経歴と 実績っていうのは あれですよね
[00:56:55] そういう
[00:56:56] りなたむ 秋田県なんとかでやりました とか 山形大学でやりましたとか
[00:57:01] です
[00:57:02] おだしょー 講義のってことでいいん ですよね
[00:57:03] りなたむ そうですね 講義のですね 高崎さんの経歴の中に 新しい功績
[00:57:10] は入れてもらって 全然大丈夫です
[00:57:12] りなたむ 分かりました 恥ずかしくない 程度に 書いてます
[00:57:18] おだしょー すいません こんな 感じで一応 暁修了生にいろいろ
[00:57:23] 任せようかなと思っていて トーク セッションとかも入れようかな
[00:57:26] と思ってるんですよね 長谷山くん とか呼んでるし
[00:57:29] りなたむ いいですね こうやって OBがどんどんつながってて シナ
[00:57:34] 人を産んでくるっていうのは いい ことかなと思います
[00:57:37] おだしょー そうですよね 大谷さんが 留学から帰ってくるっぽいんで
[00:57:41] りなたむ すごいね キラキラした 写真がよくインスタ上がってます
[00:57:48] よ 大谷さん 煌めいてるんだ あれ イタリアとか行ってますか どこ
[00:57:54] ですかね
[00:57:55] おだしょー そうです ヨーロッパ って言ってましたね
[00:57:57] りなたむ そんな感じですよね ローマの真実の口っぽいのとか
[00:58:02] やってた気がしますね
[00:58:04] おだしょー それが多分9月に帰って くると思うので トークセッション
[00:58:12] みたいなのを入れようかなと思 ってて 中間発表とかも見に来て
[00:58:18] もらったりとかして ピーエムとか 統括ピーエムからのありがたい
[00:58:23] お言葉だけじゃなくて 修了制から の意見みたいな
[00:58:27] りなたむ 確かに確かに
[00:58:28] おだしょー これだと年末死ぬよ とか 年末年始なくなるよ みたい
[00:58:35] な
[00:58:36] りなたむ これ間に合わないね みたいな
[00:58:37] おだしょー とかっていうのを 参加者の目線でちょっと話しよう
[00:58:41] かみたいなのが
[00:58:42] りなたむ 確かにね
[00:58:43] おだしょー そうっすよね いいかなと
[00:58:46] りなたむ ちょっと当日これじゃ 勝てないなみたいな
[00:58:48] おだしょー 別に赤月勝ち負けじゃない から 高崎さんは絶対に勝つっていう
[00:58:59] 強さですけども 別に優勝勝負 取らなくてもいいから別に
[00:59:04] りなたむ 未だもう40越えても大人気 なく勝ち負けにこだわり続けます
[00:59:09] から
[00:59:10] おだしょー でも重要ですよね そういうモチベーションはそもそも
[00:59:14] ないとね ありがとうございます じゃあちょっとそれをいただき
[00:59:18] たいんですけど いつごろいただけ そうですかね
[00:59:22] りなたむ そうですね 明日ぐらい
[00:59:25] おだしょー ありがとうございます すみません めちゃくちゃ申し訳ない
[00:59:29] ですが お忙しい
[00:59:30] りなたむ 全然大丈夫です 多分 もう大体できるデータは揃って
[00:59:38] いますんで
[00:59:39] おだしょー ありがとうございます 一応 上司にも高崎さんに相談する
[00:59:46] って話してて 概ねご意見いただ けてるんですけど やっぱりペルソナ
[00:59:50] が文系の大学生っていう 要は秋田 県立大学の学生でも自分のアイデア
[00:59:57] を多少形にできるよっていう 要は日本の
[01:00:00] うらくんみたいな。うらくんさんは 県立大の中でもちょっと特殊なん
[01:00:03] ですけどね。博士さんも出てるから。 なんですけどやっぱそういう子
[01:00:07] たちでもAIで開発する優位性とか 意義みたいなところを学べるような
[01:00:14] そんな階を入れたいなっていう のが我々の思いなので
[01:00:18] おだしょー 結構言語化がうまくて 思いが強い文系の学生とか社会人
[01:00:24] とかでもそうなんですけど文系の 人ほどAI使ったほうがいいと思
[01:00:31] ってまして結構特にこのAIの発展 によってプログラミングがやっぱり
[01:00:36] めっちゃやりやすくなったんです けどそれによってやっぱりプログラミング
[01:00:41] っていうのが文系の人に門戸が 開かれたっていうところが
[01:00:45] おだしょー 僕が結構多分AIが割と 得意だなってスッとうまく入って
[01:00:52] いったのはもともとが文系のプログラマー だからだと
[01:00:55] おだしょー なるほど確かにうちの 鈴木匠PMもそうなんですよ文系
[01:01:02] なんですけど特許とか取ってて 1年前とかもボルトでめっちゃやって
[01:01:10] ましたし今もだいぶトレンド変わ ってるんでもちろんあるんです
[01:01:13] けどそうっすよねいや高崎さん またそれとは別で僕もクロード
[01:01:19] プロでいよいよちょっと仕事を 仕事化しないといけない
[01:01:23] おだしょー そうすごいあれですよ AI秘書みたいなのを作って仕事
[01:01:28] を全部さばいてくれるようにする とかそういうことも可能です
[01:01:31] おだしょー そうなんすよいろいろ ちょっと独学で今いろいろ調べ
[01:01:36] てて割と準備はし始めてるんです けどつまずいたらまたあれいい
[01:01:44] ですかちょっと紹介しますか
[01:01:45] 鈴木 いいですよもちろんおすすめ はクロードコードで全部を自動化
[01:01:52] したエージェント部隊みたいな のを作ってそれをスマホから操作
[01:01:57] できるようにすることができます それを構築すると僕この間スキー
[01:02:04] しながら仕事しましたよそれが 幸せなのかどうかは分かんない
[01:02:10] ですけど
[01:02:11] おだしょー いや幸せでしょうね
[01:02:12] 鈴木 はい
[01:02:13] おだしょー ちょっと幸せだと思います
[01:02:14] 鈴木 スキーしてるときはスキー に集中したほうが幸せな気がします
[01:02:17] けれども
[01:02:18] おだしょー いやでもそうですよね 僕だって毎週羽田いるんで
[01:02:22] 鈴木 はい
[01:02:23] おだしょー 毎週羽田空港新千歳 空港なんでもういやずっとパソコン
[01:02:28] 開いて仕事してるんですけどもう ちょっとしんどくて
[01:02:31] 鈴木 そう
[01:02:32] おだしょー 結構でも
[01:02:33] おだしょー ちょっと相談して
[01:02:34] 鈴木 もちろん今僕スマホでちょこ ちょこしかほとんど仕事しない
[01:02:38] です
[01:02:39] おだしょー はい
[01:02:40] 鈴木 まあそうっすよね
[01:02:41] おだしょー それで解決します 全部 ただいろんなのを完全に構築
[01:02:47] したパソコンを家に置いとく必要 はあります
[01:02:50] 鈴木 だからMac miniですよね
[01:02:53] おだしょー そう今Mac miniが売れてる のは
[01:02:55] 鈴木 めっちゃ売れてますよね
[01:02:56] おだしょー そうそのためなんですよ ねMac mini置いとくとめっちゃいい
[01:03:00] です
[01:03:01] 鈴木 うちのうちスリープテック事業 をやってて普通にエンジニア抱えて
[01:03:06] るんですけど週末にMac mini買って きたみたいなの結構飛び越ってる
[01:03:10] んでで僕は非エンジニアなので 追いつけてないんですけどちょっと
[01:03:14] はい
[01:03:15] おだしょー Mac miniはMac miniかける クロードコードはマジでやばい
[01:03:21] です何個もファイル開いて同時に バーってやるだから10個ぐらいの
[01:03:28] もの同時に作ったりします
[01:03:29] 鈴木 なんでMac miniいるんですか 普通1個のパソコンだけじゃダメ
[01:03:33] なんです
[01:03:34] おだしょー えっと
[01:03:35] おだしょー すみません時間止め ちゃって
[01:03:36] 鈴木 安いからですリーズナブル で求める機能が全部揃ってるから
[01:03:42] です
[01:03:43] おだしょー そうですねメモリとか ね僕もプライベートでMac miniだった
[01:03:46] んですよ前回なんですけど常時だから 起動しとくんですね
[01:03:50] 鈴木 そうです
[01:03:51] おだしょー AIサーバーみたいなの 家に作ってくるわけだ
[01:03:53] 鈴木 はいなのでそれでクロード コードの環境を用意してクロード
[01:04:01] コードのフォルダーとかでフォルダー の中にいろんなサブエージェント
[01:04:07] 部隊みたいなのをぶわーって全部 の役割を作るんですよ一回実行
[01:04:17] したら全部何かを調べて何かの 資料を作って何かをまとめて何か
[01:04:21] 情報を発信してみたいな全部を 自動化するシステムを作っといて
[01:04:27] そいつらを全部スマホから操作 できるようにするんですよ
[01:04:32] おだしょー スマホで操作するのは どうやってスマホで何に繋がってる
[01:04:36] んですかGoogle
[01:04:37] 鈴木 クロードリモートコントロール っていうのがあってクロードの
[01:04:42] アプリから操作できますクロード のアプリと家のデスクトップが
[01:04:48] リモート接続される仕組みになって いてなのでめっちゃすげーです
[01:04:55] ただもう一歩踏み込んだところ にオープンクローっていうのが
[01:05:00] いるんですけど
[01:05:01] おだしょー そうですよね オープン クローね
[01:05:04] 鈴木 オープンクローは使った僕 使って全部の仕事を自動化したん
[01:05:09] ですけど辞めました
[01:05:11] おだしょー そうなんですね
[01:05:13] 鈴木 あれはちょっと危険です 今んところはお金が青天井で無限
[01:05:22] に吸い取られる仕組みになっちゃ って
[01:05:24] おだしょー なるほど
[01:05:25] 鈴木 しかも制限リミットがないん でやばいです
[01:05:29] おだしょー なるほど 変に手出す とやばいってことですね
[01:05:31] 鈴木 結構なので しかも元のAIを 接続するっていうので Google ジェミニ
[01:05:44] とかクロードとかのサブスクの マックスプランみたいなののアカウント
[01:05:50] をオープンクローの頭脳として 使うっていう設定ができるんですけど
[01:05:58] これをするとそのウルトラプラン とかの範囲内なんでめっちゃ大
[01:06:03] 量に量が使えるんですけど それを Google はお怒りになってそれをやった
[01:06:11] Googleアカウント全部永久バンにしました Googleアカウントバンですよやばい
[01:06:19] ですよこれは
[01:06:20] おだしょー やばいですね
[01:06:21] 鈴木 例えばその人がYouTubeとか やっててだからGmailとかも確認なし
[01:06:27] で全部消えたみたいですね
[01:06:28] おだしょー いやだって僕仕事 なんないですもんもう今全部
[01:06:31] だってノートブックLMとかも使え なくなりましたもんね
[01:06:34] 鈴木 あとカレンダーとかも全部 消えますあとGoogleドライブ全部
[01:06:40] 消えますしやばっていうそういう のでオープンAIだけが正式に契約
[01:06:46] してるんですよ
[01:06:47] おだしょー なるほど僕のやりたい ことなんてすごいしょぼいですよ
[01:06:52] なんかもうほんと出張行くじゃない ですかGoogleカレンダーに出張の
[01:06:56] 予定入れてそれを元にめっちゃ アナログなんですよねExcelで旅費
[01:07:01] 申請をするんですよ一泊二日だ ったら
[01:07:04] 鈴木 そのExcelはフォーマットが 決まってるんですか
[01:07:07] おだしょー 決まってます決まってます
[01:07:08] 鈴木 会社の決まってるやつがあって ってことですか
[01:07:10] おだしょー そうそう
[01:07:11] 鈴木 でもそれ全部操作自動化できます
[01:07:14] おだしょー ですよねそういうのをちょっと
[01:07:16] 簡単なところだったらまずそこ からやっていこうかなって
[01:07:21] 鈴木 全然なんか飽きた遊びに来る ときとかあったら全然教えます
[01:07:26] し
[01:07:27] おだしょー そうですかちなみに来週 秋田行きます
[01:07:29] 鈴木 ああですか何日ですか
[01:07:31] おだしょー 来週3月11日に行きます
[01:07:34] 鈴木 3月11日
[01:07:35] おだしょー はい秋田県周りなんですけど
[01:07:39] おだしょー あれ、僕のスマホどこやった
[01:07:44] おだしょー スマホが
[01:07:47] おだしょー あれスマホどこやった
[01:07:52] おだしょー 3月11日
[01:08:09] おだしょー 割と空いてそうなんだけど
[01:08:13] 鈴木 あほんとですか
[01:08:14] おだしょー なんかちょろっとなんか多分対面
[01:08:17] でこれとこれはこうでこうでつなげ ますよとかっていうのを割と言え
[01:08:20] ます
[01:08:21] 鈴木 いや嬉しいな何時から空いて ますなんか僕今まだちょっとアップ
[01:08:27] を調整中で大学とか高専とかちょっと 県庁とか回る日が11日の午前中
[01:08:33] なんすよ
[01:08:34] おだしょー ああなるほど
[01:08:35] おだしょー 全泊する予定でちょっとまだ何
[01:08:38] 時前の日名古屋にいるかもしんな くて
[01:08:40] 鈴木 はいはいはいはい
[01:08:41] おだしょー ちょっとまだ分かんないん
[01:08:43] ですけど高崎さんがなんか今空いてる 時間とかってもしあったら教えて
[01:08:46] ください
[01:08:47] 鈴木 全泊する予定ならなんか軽く飲み
[01:08:54] ながら飲みながらとかやりますか
[01:08:56] おだしょー 全然あの
[01:08:57] 鈴木 僕飲みながら全然あの開発とか
[01:09:00] できるタイプというか飲みながら やるタイプな
[01:09:03] 鈴木 全然大丈夫ですよ
[01:09:04] おだしょー えじゃあ逆に
[01:09:05] 鈴木 じゃあそれいいですか一旦仮で
[01:09:07] あの確定は金曜日にはできます 金曜日には確定できるんで
[01:09:11] おだしょー わかりましたじゃあ3月の11日の
[01:09:14] 6時ぐらいとかでいいですかなんとなく
[01:09:17] 鈴木 あ全泊なんで10日っすね全泊する
[01:09:20] から
[01:09:21] おだしょー あなるほどなるほどはい
[01:09:22] 鈴木 はい
[01:09:23] おだしょー オッケーです10日も
[01:09:24] 鈴木 あ10日も大丈夫です
[01:09:25] 鈴木 あありがとうございますちょっと
