[00:00:00] (無音)
[00:00:32] (着信音)
[00:00:35] (着信音)
[00:32:13] 話者B: えっ、家にあるパソコンを。使ってるんですけど、あの、5年、くらい、もっと前のものかもしれないです。それで。
[00:32:26] 話者A: なんとかというよりは、そもそものスペックが。
[00:32:30] 話者B: それで。
[00:32:31] 話者A: 多分でもあれですよね。えっと。多分そんなにスペックが高くないタイプのパソコンでグラフィックボードとかも入ってないと思いますよ、多分。
[00:32:42] 話者B: ああ、そうですね。
[00:32:43] 話者A: はい。なのでね、ま、ちょっとそう、そうなるとなあ。そうなるとな。でもマイクラができなくなるんだ。
[00:32:51] 話者B: ああ。
[00:32:53] 話者A: うんうん。まあ、な、どうしようかな。
[00:32:57] 話者B: 一応あの、やっぱり今現在教室に通うのが難しくなってるので。ま、パソコンを買い替えて、こう、オンライン授業を受けれるように。できればなという思いはあります。ただ。あの、新しいものを用意するにも。どういったものをを用意すればいいか。
[00:33:22] 話者A: あ、これはですね、えっと、うちの塾長、塾長のたくみくんっていう子がしまして。
[00:33:29] 話者B: はい。
[00:33:29] 話者A: あの、たくみくんが全てを賄ってくれます。
[00:33:34] 話者B: ああ。
[00:33:34] 話者A: あ、用意する。
[00:33:36] 話者B: あ、用意する。
[00:33:37] 話者A: どんなパソコンがいいですか？予算は、予算、予算に合わせてバッ、いいものを、あの、考えてくれます。
[00:33:45] 話者B: あ、そうなんですね。
[00:33:46] 話者A: はい。
[00:33:47] 話者B: あ、じゃ、そこはお世話になりたいと思います。
[00:33:51] 話者A: なのでなんか。そうなん、でもあの。それこそお子さんに何かスキルを身につけさせたいと本当に思うんだったら。パソコンは買った方がいいです。
[00:34:07] 話者B: はい。
[00:34:08] 話者A: で。逆に言うとスマホとタブレットは買わなくていいです。
[00:34:13] 話者B: あ、そうなんですか。
[00:34:14] 話者A: はい。僕これ世の中の親御さんたちに口を酸っぱくしてもう、酸っぱくしすぎて口の中が本当に酸っぱいんですけど。
[00:34:25] 話者B: ああ。
[00:34:26] 話者A: あの、常々言ってるのは、お子さんに与えるデジタルデバイスの順番。
[00:34:33] 話者B: はい。
[00:34:34] 話者A: これ。多くの人がスマホを先に与えるんですよ。
[00:34:39] 話者B: はい。
[00:34:40] 話者A: あの、それの理由は自分のスマホが古くなって買い換えた時に前のスマホをWi-Fi繋いで、えっと、子供に渡すとYouTubeをずっと見させておける子供黙らせマシンになるから。
[00:34:54] 話者B: はい。
[00:34:55] 話者A: なんですけど。で、その理由でスマホを先に渡しちゃうことが多くて。
[00:35:01] 話者B: はい。
[00:35:02] 話者A: で、そうするとでもスマホが、スマホとかで、なんて言うんでしょうね？その発想が、なんて言うんでしょうね？コンテンツを、コンテンツを見る側の人間になっちゃうんですよね。
[00:35:15] 話者B: うん。
[00:35:16] 話者B: そうですね。なんかこう、今プログラミングの教室でも。こう、作るより。やる方が今は楽しいんだって。
[00:35:28] 話者A: ロブロックス。
[00:35:29] 話者B: やってるんです。
[00:35:30] 話者A: あ、そうなんですね。ロブロックス。
[00:35:31] 話者B: はい。
[00:35:32] 話者A: ロブロックス、あの、僕らもやってます。
[00:35:34] 話者B: あ、そうなんですね。
[00:35:36] 話者A: はい。ま、ただ。僕らも。
[00:35:38] 話者B: やる方が今楽しいんだって。
[00:35:43] 話者A: うん。じゃあロブロックスででお金を稼ぎましょうか。
[00:35:46] 話者B: あ、はい。
[00:35:48] 話者A: はい。で、ただロブロックスの開発環境を整えるのにやっぱりパソコンが必要だと思います。
[00:35:55] 話者B: はい。
[00:35:56] 話者A: はい。でもロブロックスは。あの、えっと、課金の仕組みをいくらでも作れるので。
[00:36:05] 話者B: はい。
[00:36:06] 話者A: あれがすごいあの、ビジネス感覚を子供たちに養わせるのにめちゃくちゃいいんですよ。
[00:36:12] 話者B: あ、そうなんですね。
[00:36:13] 話者A: はい。で、例えばですけど、だってロブロックスで自分が作ったゲームがあって、そこに、えっと、毎月月、まあ、かなり難しいけど、ま、じゃあ毎月20万円分ぐらい課金されて振り込まれるっていう風になったら別に。お子さん働かなくていいですもんね。
[00:36:32] 話者B: そうですね。はい。
[00:36:34] 話者A: そういうようなこととかを色々とうちは探ってくっていうイメージです。
[00:36:38] 話者B: はい。
[00:36:39] 話者A: で、例えばロブロックスとか、すでにスクラッチとかちょっとやってたりロブロックスとかをやるみたいな感覚があるんだったら、あ、ロブロックスでじゃあこっ、これ、今、口で言う、あ、僕もうロブロックスを口で言うだけでどんどん勝手にゲームができるっていうところまでシステム化してるんですよ、実は。
[00:36:57] 話者B: ああ。
[00:36:58] 話者A: まあ、あんまピンとこないと思います。
[00:37:00] 話者B: はい。
[00:37:01] 話者A: あ、はい。えっと。AIを元のシステムとガチッと繋ぐってことが今できるんですね。
[00:37:13] 話者B: はい。
[00:37:13] 話者A: そうすると、えっと、AIがそもそも、あの、ロブロックスを開いて、AIが僕みたいにロブロックスを操作してロブロックスの中にゲームを作っちゃうんですよ。
[00:37:25] 話者B: あ、AIが作っちゃう。
[00:37:27] 話者A: はいはいはい。で、そのシステムを途中まで作ってその本人に渡して、本人はその自分が使いやすいような、いいようにまたそのシステムを直して使うんですよ。そんな風にすれば、えっと、レベルの高いもの作りが誰でもできるっていう状態になって。
[00:37:48] 話者B: はい。
[00:37:49] 話者A: で、そういうことでどんどんどんどん、えっと、お金を生み出してくっていうのが今のAI時代の考え方なんですて。で、そういうようなこととかも子供たちに教えてるっていう感じです。
[00:38:01] 話者B: はい。
[00:38:02] 話者A: だから結構。イフ塾の生徒たちはなんか普通に、もう、あの、AI使ってなんかビジネスプランとか作ったりとかそういう感じでやってます。
[00:38:14] 話者B: すごいですね。
[00:38:15] 話者A: はい。なので、あの。毎年何かしらの補助金とかそういう、あの、補助金の書類とかも今AI使うと全部作れるんで。
[00:38:26] 話者B: はい。
[00:38:27] 話者A: そういうので、あの、生徒に補助金の書類作らせて。あの、補助金とか秋田県とか、あの、若者頑張ってくれって言ってるんで、お金めっちゃ出やすいんすよ。
[00:38:39] 話者B: あ、はい。
[00:38:41] 話者A: だからそういうのでいい感じの書類をAIに作って省庁とか出したら、割とそれで採択されれば100万円もらったとかになるんで。
[00:38:52] 話者B: そうですね。
[00:38:53] 話者A: はい。ちなみにそれで実際に、もう、あの、毎年やってるんで、合計で多分、今いくらまで行ったかな？多分600万円ぐらいは取ってると思います。
[00:39:02] 話者B: すごいですね。
[00:39:03] 話者A: はい。元々このイフ塾もそれで、あの、じゃあ補助金取るところからやるぞって言って、あの、補助金取るとこから始めたんで。
[00:39:11] 話者B: はい。
[00:39:12] 話者A: みんななんかマインドまず。あ、じゃあ、まずビジネス始めるのはまず補助金っすねって言うような感覚でやってますね。
[00:39:20] 話者B: はい。
[00:39:22] 話者A: でもそうやってなんか。でなんかお互いにそれぞれが結構仕事するみたいな感じになってったら、そこを手伝うみたいなこともできますし。例えば自分が。自分がなんかメインになってやるのはちょっと怖いぞっていう場合には誰かのそれを手伝うとかそういうこともできて。そういうのでどんどんコラボレーションしながら子供たちが勝手に成長してったらいいなって思ってこの塾をやってます。
[00:39:53] 話者B: すいません、その月曜日と水曜日。えっと、午後5時から。えっと、ごレッスんってことですね。
[00:40:08] 話者A: はい。
[00:40:08] 話者A: ことですね。はい。えっと、これ、他の塾生の方々もこの時間に。
[00:40:15] 話者A: ああ、そうですね。はい。
[00:40:16] 話者B: はい。
[00:40:16] 話者A: で、でもオンライン、オンラインでみんなそれぞれ通信は繋がってるけどあんまりみんな喋ん、喋んないんで。
[00:40:24] 話者B: ああ、そうなんですか。
[00:40:27] 話者A: あの。結構みんな似たような子です、あ、そういうちょっとその。いろんな。いっぱい人がいる場面はちょっと苦手な子たちがで構成されているので。あの、そんな感じ、逆に言いやすいとは思います。
[00:40:43] 話者B: はい。
[00:40:44] 話者A: はい。えっと、じゃあ、あの、体験レッスン。
[00:40:48] 話者B: 体験レッスン。
[00:40:49] 話者A: そうですね。まず1度ちょっと。無料体験ってのやってますんで。それを月曜日どっかの月曜日に起こしいただければと思いますけど。
[00:40:59] 話者B: うん。
[00:41:01] 話者B: と、ちなみに次の17日とかでも。
[00:41:06] 話者A: あ、はい、えっと、大丈夫だと思い、思いますね。ちょっと待っててくださいね。えっと。あ、そっか、聞き取れなかった。はい、じゃ、17日になんて言えばいいのかな？普段でもちょっ、あ。え、その家のパソコンってマインクラフトって動きますか？
[00:41:56] 話者B: あ、ちょっと待ってくださ。すいません。
[00:41:59] 話者A: あ、なんか、もしよければ。なんか、あの、ロブロックスの方はアカウント取ってるって言ってました。
[00:42:10] 話者B: あ、そうなんですか。
[00:42:11] 話者A: オッケーですか？えーっと。
[00:42:12] 話者A: あ、いけました。そしたらどうしようかな。鼻からロブロックスやる、とかでもいいかな。なんか。
[00:42:18] 話者B: ですか？
[00:42:19] 話者B: なんか、あの、えっと、今行ってる方の。
[00:42:25] 話者A: あ、うんうん。
[00:42:25] 話者B: 体験。
[00:42:26] 話者A: はい。体験は、どうしましょうかね？まあ、別日で個別でもいいですけど。不安感ありそうなら個別からスタート、と、個別で1回体験で様子見るの方がいいですか？それか。
[00:42:39] 話者A: みんな入るか。どっちでもできます。
[00:42:42] 話者B: あ。
[00:42:43] 話者B: じゃ、初めは個別でお願いです。
[00:42:46] 話者A: 1回個別、ま、良さそうだったら。ま、まあ、そうですね。ちょっと、なんか不安感強そうなのと。あと、パソコンの相談を合わせてしながら。だ、じゃあ、なんか1回あれですかね？お子さん込みでこっちもあの、たくみくんを。たくみくんを召喚するんで、ついでにパソコンの話とかもしながら。
[00:43:11] 話者B: はい。
[00:43:12] 話者A: とかっていう感じでやれたら。
[00:43:14] 話者B: はい。
[00:43:15] 話者A: かな。
[00:43:17] 話者A: し、そうしますか？
[00:43:20] 話者B: あ、お願いします。
[00:43:22] 話者A: じゃあいつでもいいですけど、なんか都合のいい曜日ってありますか？
[00:43:27] 話者B: えっと。
[00:43:36] 話者B: 土日とかはでは無いですよ。私か。水木金の。放課後に当たる時間に仕事してて。
[00:43:50] 話者A: はいはいはい。
[00:43:51] 話者B: 日は空いてるんですけど。
[00:43:54] 話者A: うん。そしたら。
[00:44:03] 話者A: 逆にあり。
[00:44:04] 話者A: ああ、でもそう。
[00:44:05] 話者A: ちょっと待って。えっと。あ、そっか、吉井で言って。
[00:44:17] 話者A: ああ、ちょっと。一週ずれちゃうんすけど、24日とかにして。
[00:44:23] 話者B: はい。
[00:44:24] 話者A: それで。えっと、5時から普段授業なんですよ。
[00:44:30] 話者B: はい。
[00:44:31] 話者A: なんで。なんかちょっと4時半ぐらいから。あ、4時、4時、4時、まあ。4時、4時にしようかな。4時、4時とかから。
[00:44:43] 話者B: はい。
[00:44:44] 話者A: その。お子さんと。たくみくんと僕と。まあ、よければお母さんもって感じで、お話をして。それでなんか、そのままの流れで5時、あ、授業行ってみるみたいな感じで参加する方がいいんじゃないですかね。
[00:45:02] 話者B: あ、じゃあそれでお願いします。
[00:45:04] 話者A: 多分なんか。あの、関係性作った後で教室に、ま、教室に入るっていうかオンラインなんで入るっていう概念ないんですけど。ま。えっと。そう。その、それで、行ってみる。ああ、じゃ、行ってみるってすっと行けた方がなんか、多分今後参加しやすくなるかなと思ったんすけど。
[00:45:25] 話者B: わかりました。ちなみに57日はそれが難しいてこと。
[00:45:29] 話者A: あ、そ、ちょっと、えっと、17日が、あの、4時から、よ、えっと、ちょっとギリギリまでちょっと僕が別件が入ってまして。
[00:45:38] 話者B: ああ、そうなんですね。わかりました。
[00:45:55] 話者A: え、で、じゃあ。はい。じゃあ。はい。じゃあ、たくみくんを招待しとこうかな。あ、じゃあ、たくみくんを招待しとこうかな。え。そう。でも結構こうやって高校生とか中学生とか若い内から。
[00:46:17] 話者B: はい。
[00:46:18] 話者A: 事業とかをやると、結構そういうので。あの、それを願書とかに書くと大学とかに割と受かるんで。
[00:46:27] 話者B: あ、そうなんですね。
[00:46:28] 話者A: はい。実際たくみくんとかも。
[00:46:30] 話者B: はい。
[00:46:31] 話者A: たくみくんなんかもう。なかなかハードでしたね。えっと、小学校は。高学年から同じように支援級で。中学校3年間まるっと支援級で。なんか。うん。で、クラーク来てっていうので、で、なんか、でもそこから。いろいろやってるうちに。なんか、そのまま大学に進学して。
[00:46:58] 話者B: 素晴らしいですね。
[00:47:00] 話者A: でも確かに。あの。結構今、あの、学校推薦とか、そういう推薦とかも結構いろいろあって。普通に学力使わないで、もう、自分の活動だけで、あの、進路とかは全然勝ち取れるので。
[00:47:17] 話者B: はい。
[00:47:18] 話者A: なんか、元々秋田クラークとかは結構サポート系の学校だったんで、なんかあんま国公立に進学する子とかいなかったんですけど。僕、僕がなんとなく。あの、やること、明確に決まってないなら大学に行け派なんで。
[00:47:35] 話者B: あ、そうなんですね。
[00:47:36] 話者A: はい。行けるなら行った方がいいじゃないですか、大学って。
[00:47:40] 話者B: あ、そうですね。はい。
[00:47:41] 話者A: だったら、行けるようにしようぜってっていう風に思ってるんで。
[00:47:45] 話者B: はい。
[00:47:46] 話者A: 結構でも、うん。そういう。でもね、自分のやりたいことをまとめてそれで大学に行くと、また大学でもまたそのやりたいことを学ぶためにやるっていう風に意識がちゃんと強まるんで、すごくいいと思いますね。
[00:48:04] 話者B: はい。
[00:48:04] 話者A: だからぜひぜひ、僕はそうやってなんかAIとかうまく使ってなんか自分にあったいいスキルをなんか身につけてそういう事業をうまく始めて自分の楽しいように生きる、それをぜひみんな子供たちには目指してほしいなと思ってます。
[00:48:23] 話者B: ね。
[00:48:24] 話者A: はい。
[00:48:24] 話者A: そこまでやんなくても普通に働ければいいんですって言うのはよく言われるんですけど、なんかやっぱ面白く、面白くないとこっちがやる気になんないんでね。
[00:48:33] 話者B: ああ。
[00:48:34] 話者A: はい。
[00:48:34] 話者B: ね、やっぱりそう。
[00:48:35] 話者A: はあ。
[00:48:35] 話者B: 息子の不器用なところ見てると。この子には何ができるんだろうっていうのが。すごく不安に思うので。ま、パソコン。うーん、ちょっと今滞ってますけど。ま、そう、そういう細かい動きよりは。あってんじゃないか。
[00:49:02] 話者A: あと、あの、パソコンのいいところはやり直しがいくらでも聞くところです。これが、えっと、発達障害の子たちにとめっちゃ相性がいいですね。で、僕自身もまあ。ま、ゴリゴリの発達障害なんですけど。
[00:49:17] 話者B: あ、そうなんですね。
[00:49:18] 話者A: はい。ま、僕も、僕も結構あれですね。あの。幼少期の、幼少期の話、エピソードを全部話した多分引くと思います。
[00:49:26] 話者B: あ、そうですね。
[00:49:28] 話者A: 大丈夫この人って。ほんと。
[00:49:29] 話者B: ああ。
[00:49:30] 話者A: 思われるんで言わないです。
[00:49:33] 話者B: ああ。
[00:49:34] 話者A: 多分、あ、やめようってなるから。やめようってなっちゃうから言わないんですけど。
[00:49:38] 話者B: ああ。
[00:49:39] 話者A: はいはい。で、でも、僕自身もね、やっぱり自分自身で結構生きづらさっていうのはやっぱり感じていって。ま、でも、感じていたけど、今、今、あんまり感じてなくて。
[00:49:57] 話者B: うん。
[00:49:58] 話者A: なんとなくでもその感じて、なんか、今、あんまり感じてないのはやっぱりでもITとかで仕事とかを結構うまく、自由にやれてるし。っていうところがあって、あとそういうところから社会が認めてくれたっていうところもあって。
[00:50:15] 話者B: うん。
[00:50:16] 話者A: そういう経験があれば、じゃあ生きていけるんだってなれば。じゃあ、それを下の世代にも伝えてくのがじゃあ僕の役割なんじゃないかしらって感じは思ってますね。
[00:50:27] 話者B: ありがたいですね。
[00:50:28] 話者A: ないですけど。まあ。
[00:50:30] 話者B: はい。
[00:50:30] 話者A: て言ってなんか、でも、全然はまんないんだたらごめんなさい。
[00:50:33] 話者B: ああ。
[00:50:34] 話者A: ま、まあ、こんな感じで思ってやってます。
[00:50:36] 話者B: はい。
[00:50:38] 話者B: えっと、じゃあ、その24日の。
[00:50:40] 話者A: はい。
[00:50:40] 話者B: 日なんですけど、えっと、家、家の方のパソコンからどういう風に入っていったらいいです。
[00:50:48] 話者A: あ、そうそう。そうだ。それでですね。一応、ま、一旦ちょっとこの、またこういうGoogle Meetでとりあえず話すとかでいいかなと思うんですけど。
[00:50:57] 話者B: あ、当日ですか。
[00:50:58] 話者A: はい。
[00:50:58] 話者B: はい。
[00:50:59] 話者A: で、そこで、あの。えっと、子供、あ、生徒。お子さん同士とかのコミュニケーションは僕たちはあのDiscordを使ってやってまして。
[00:51:09] 話者B: はい。
[00:51:10] 話者A: Discordって分かりますか？
[00:51:11] 話者B: 分かり。
[00:51:12] 話者A: はい。
[00:51:12] 話者A: えっと。ま、LINEみたいにそういうチャットができるツールなんですけど。あの、結構ゲーム時、ゲームとかの。ゲームとかをやりながら話すのに一番いいのがDiscordで。
[00:51:29] 話者B: はい。
[00:51:30] 話者A: ま、メッセージアプリとして一番優秀なのが実はDiscordなんですけど。まあ、そうなん、ね。で。それでDiscordを使いますね。
[00:51:39] 話者B: はい。
[00:51:39] 話者A: それを、あの、ダウンロードして。
[00:51:42] 話者A: あ、でもそう、ダウンロード、あの、をとかを。しといてよってのを話しながら当日話そうかなって思ってます。
[00:51:49] 話者B: あ、分かりました。
[00:51:50] 話者A: はい。
[00:51:51] 話者B: はい。
[00:51:51] 話者A: なんかそうやってなんか話しながら、あ、じゃあ、ちょっとそっちでダウンロードしてよってやって作業してもらうとか、そういう、それが結構大事だったりするんで。
[00:51:59] 話者B: わかりました。
[00:52:00] 話者A: うん。
[00:52:00] 話者B: じゃあ、そこ。
[00:52:02] 話者A: そこで。こっちかな、こうやってよとか、今困ってることあったらちょっと画面見せてよとかって言って。それで画面共有してもらったりとかするんですけど。そういうような一連の操作をできるにしてくれると、あの、非常に楽になります。こっちが。
[00:52:18] 話者B: 今の時点でそれが分からなくても。
[00:52:22] 話者A: うん。
[00:52:23] 話者A: 大丈夫。
[00:52:23] 話者B: ですか。
[00:52:24] 話者A: です。
[00:52:25] 話者B: わかりました。
[00:52:26] 話者A: ま、とりあえずは、あの、同じようにGoogle Meetの、あ、URLを踏んでいただければ大丈夫です。
[00:52:32] 話者B: はい。えっと、レッスン前にもまた。
[00:52:34] 話者A: はい。送ります。
[00:52:36] 話者B: 送ります。
[00:52:37] 話者A: てか、なんなら今作って送りますんで。
[00:52:38] 話者B: あ、ありがとうございます。
[00:52:41] 話者B: じゃあ、こちらでできることは、まずパソコンを立ち上げておく。
[00:52:46] 話者A: はい、あ、そうですね。あ、その立ち上げ、今ってこれは何で通話してるんですか？
[00:52:51] 話者B: それが、えっと、スマホです。
[00:52:53] 話者A: あ、スマホ。そうですね。なので、えっと、次回は。この、パソコン越しでこの通話ができたらいいかも。
[00:53:02] 話者B: はい。
[00:53:02] 話者A: パソコンから、この、あの、リンクを開いて踏むということをやってくれれば大丈夫です。
[00:53:09] 話者B: はい。
[00:53:11] 話者A: はい。あ、ちょっ、今多分、あの、メールの方に招待送ったので。
[00:53:36] 話者B: はい。
[00:53:36] 話者A: そのリンクを踏んでください。
[00:53:38] 話者B: えっ、24日に。
[00:53:41] 話者A: あ、そうですね。
[00:53:42] 話者B: はい。
[00:53:42] 話者A: はい、分かりました。はい。はい。えっと。
[00:53:50] 話者A: よいしょ。
[00:53:55] 話者A: ね、で、じゃあ。はい。
[00:53:56] 話者B: 重い。
[00:53:57] 話者A: あ、重そう。だ。バイリン。
[00:54:03] 話者B: Windows。
[00:54:04] 話者A: えいと。
[00:54:14] 話者A: あ、そうなんですね。あ、Windows 8って書いてあるってことはパソコン自体は。いつのだってぐらいですもんね。
[00:54:25] 話者B: あ、そうですね。
[00:54:26] 話者A: 結構よく動いてんなレベル。
[00:54:33] 話者B: はい。
[00:54:34] 話者A: 逆に物持ちの良さは素晴らしい。
[00:54:43] 話者B: 私の仕事の書類を造り程度です使ってはないので。
[00:54:55] 話者A: うん。
[00:54:55] 話者A: まあね、ちょっとゲームとか作る、とか色々やっぱりITの作る系が入ってくるとやっぱりちょっと物理的にスペックが必要にはなってくると思うので。ちょっとそこなるべく、まあ、最近パソコンの値段がね、上がってるんですよね、すごく。
[00:55:18] 話者B: ああ、そうなんですね。
[00:55:20] 話者A: 安くて15万、高くて25万って感じです。
[00:55:34] 話者B: わかりました。
[00:55:37] 話者B: はい。
[00:55:38] 話者A: 15から25万の間だけど。はい。なんかある程度いいものを買ってちゃんと、なんかどうなんだろうな。でもな。そこのところでね、モチベーションセットもちょっと大事ですね、最初ので。
[00:55:58] 話者B: うん。はい。
[00:56:00] 話者A: 買う、買うし、いや、買うからにはやるぞみたいなテンションはちょっと、でもね、なんかそこで。買ったからにはやんなきゃいけないよみたいなプレッシャーかけるとそれはそれで子供にとってはノイズになるんで、難しいとこなんですけどね。
[00:56:16] 話者B: そうですよね。
[00:56:17] 話者A: まあ。
[00:56:17] 話者A: いや、やっぱしてはプレッシャーかけたいけどね。
[00:56:20] 話者B: そう。
[00:56:21] 話者B: ね、やっぱりそう。
[00:56:22] 話者A: はい。
[00:56:22] 話者A: ま、子供も前はこうプログラミング一生懸命やってる時は欲しいって言ってたんですけど。
[00:56:33] 話者A: はい。
[00:56:33] 話者B: うん、最近あんまり言わなくなりました。それよりはスマホが欲しいっていう感じに変わってきました。
[00:56:41] 話者A: そう。
[00:56:41] 話者A: 消費者、消費しちゃうから、それは。
[00:56:44] 話者B: はい。
[00:56:45] 話者A: あ、読売ジャイアンツだ。あ。でもあれですね。えっと、あ。さすがにWindows 8ではないから大丈夫そうだけど。あ、じゃあ、一番。えっとね、なんだっけ？ま、い、ま、いっか。まいっか。あ、オッケーです。なんとなく。でも。えいと。多分。えいとではなってます。はい。了解です。はい。はい。えっと。よろしくお願いします。
[00:59:18] 話者A: はい。はい。
[00:59:19] 話者A: よいしょ。じゃあちょっとまた28日に、えっと、ちょっとひあいちゃいますけどよろしくお願いします。
[00:59:24] 話者B: 24日。
[00:59:25] 話者A: あ、24日でしたっけ？すいません。あ、24日ですね。すいません。24日。
[00:59:29] 話者B: はい。
[00:59:30] 話者A: はい。よろしくお願いします。
[00:59:34] 話者B: します。
[00:59:35] 話者A: なんかあと不明点とか、ま、不明点、ま、不明点しかないとは思うんですけど、なんかその上で不明点質問、要望なんかありますか？
[00:59:49] 話者B: とりあえず24日は今の状態でこうスマホの方も繋げてっていうことであれば大丈夫。
[00:59:58] 話者A: そうですね。はい。
[00:59:59] 話者B: はい。
[01:00:00] 話者A: じゃあ、大丈夫。
[01:00:01] 話者B: じゃあ大丈夫。
[01:00:02] 話者A: そうですね。スマホ、あ、スマホは繋げな、ま、いっか。一応スマホも用意した。あ、スマホは繋げな、ま、いっか。一応スマホも用意しと。あ、パソコンの方で繋げるんです。
[01:00:09] 話者A: はい。
[01:01:09] 話者A: パソコン、多分、あの、Gmailとかを開いていただけると僕からの招待が言ってると思いますので。
[01:01:17] 話者B: ああ、わかりました。
[01:01:19] 話者A: はい。よろしくお願いします。
[01:01:22] 話者B: お願いします。
[01:01:22] 話者A: はい。
