[00:02:59] よろしくお願いします。
[26:02:00] すごいな。
[26:03:00] うーん。
[26:05:00] 神和弓でした。
[26:07:00] ミュートス、グアスカ。
[26:09:00] FABLE5はやりだす、そういえば。
[26:11:00] うん？
[26:12:00] あ、やんないうちに、なんかプロンプトがプンプンしてました。
[26:16:00] うん。
[26:17:00] 僕FABLEしましたよ。
[26:19:00] FABLE良かったけどな、めちゃくちゃ。
[26:20:00] ああ、安定、動作が安定しましたよね。なんか。
[26:22:00] そう。
[26:23:00] 全然ミスらないっていうか。
[26:24:00] なんかイライラしないっていう、見えないはずやから。
[26:27:00] やりきる、やりきる。
[26:28:00] うん。
[26:30:00] 標準でスラッシュゴールが入ってる。
[26:32:00] なんかでもあれ、えっと、今あれっすよね。えっと、ミトスとか、受付開始してますよね。
[26:39:00] あ、そうなんすか。
[26:40:00] なんか僕さっき。
[26:42:00] なんか多分ちょっと調子悪くてエラー出てて、なんでエラー回避よと思って、なんかAPIエラーなんちゃらって出てて。あれ、もししかしてもう料金体系変わってなんかでなったのかなと思って、なんかリンク出てたんでポチって押したらなんか、受付てます、みたいなの出て。
[26:43:00] うんうん。
[27:02:00] え、なんか、いや。
[27:04:00] いや、ないんじゃないですか。
[27:06:00] え、多分あれ、あの、アメリカ人以外も使わせる流れになってるっぽいよ。
[27:07:00] はい。
[27:14:00] あ、そうなんすか。
[27:15:00] なんか、えっとね、またねアメリカ政府になんか別のとこから提言があったんだよね。
[27:23:00] おお。
[27:23:00] うん。
[27:24:00] ほう。
[27:25:00] うん。
[27:27:00] うん。
[27:28:00] ね、イランの戦争も終わ、終わりそうだし。
[27:30:00] ああ、確かに。
[27:32:00] うんうん。
[27:33:00] 関係ないんじゃない？でもやっぱ。
[27:34:00] なんか、合体、フュージョンって出てましたよね。なんだっけ。オーパス4.8とGPT5点、あのコーデックス5.5とジェミニ3.1を合体させて使うという技。
[27:38:00] うん。
[27:49:00] があって。そうするとFABLE5のスコア超えるんすけど。13倍遅くて7倍高くなるって書いてありましたね。
[27:54:00] うん。
[27:56:00] 合体って何？
[27:58:00] なんか組み合わせして。
[28:00:00] その。
[28:00:00] あの、その間、間であの中で呼び出すとか、そういう話とはまた違う話ですか？
[28:05:00] 分かんない。
[28:06:00] うん。
[28:06:00] あのオープンルーターでなんか出てましたね。
[28:09:00] うん？
[28:10:00] え、どういうことですか？
[28:11:00] え、だから合体。
[28:13:00] え、え、えと何を合体させるんですか？
[28:15:00] LLM同士。でも、多分、会議させてやるだけだと思うんですけどね。それでと、それの方がなんかスコアが高いみたいな。
[28:22:00] ああ、だからその。
[28:23:00] それぞれのAIで壁打ちさせるみたいな話ですか？
[28:26:00] うん、そうそう。
[28:27:00] うん。
[28:29:00] そのフュージョンが使える。まだ高いし、遅いし。
[28:33:00] 結局実用度低いって言ってましたけど。
[28:35:00] なるほど。
[28:36:00] うん。
[28:36:00] FABLE5級の賢さ欲しい人はなんか、それでもやるといい、みたいな。
[28:40:00] うん。
[28:42:00] 記事があった、記事があった。これ一応送っときますね。
[28:46:00] 合ってるか知らねえっすけど。
[28:48:00] なんかでもな。
[28:50:00] うん。
[28:51:00] もう今の時点で、あんまり思い通りになってないことがないんだよなって感覚は。
[28:57:00] ああ。
[28:59:00] ないですけど、なんか、いや、あの最終的はなるんですが、そのなんか、途中で変な方向に走り出す時があるので、それがなくなる感じですね。FABLEは。
[29:07:00] うんうん。
[29:09:00] なるほどね。
[29:10:00] その印象です。
[29:11:00] うん。
[29:12:00] 変な方向に行かないっていう。
[29:14:00] ああ、だからシステムのメンテナンスとか。今んの環境、環境改善とかやらせるとすっごいウルトラコードでやると超整う感じしますね。なんか。
[29:16:00] うん。
[29:22:00] うんうん。
[29:24:00] そうな。
[29:24:00] いや、僕結構AIへの言い方がきついのか、AIがあんまり変な方向に行かないんすよね。
[29:25:00] うん。
[29:31:00] ああ、もう高崎さんの調教と会話がうまいから。
[29:34:00] うん。
[29:36:00] すごく働きにくい環境で働いてると思う。
[29:39:00] うんうん。
[29:40:00] うん。
[29:41:00] うん。
[29:43:00] 余計な、勝手なアドリブすんな。
[29:46:00] うんうん。
[29:46:00] アドは信用してない。
[29:49:00] うんうんうん。
[29:51:00] うん。
[29:52:00] それを勝手にしてくれるか。
[29:53:00] うん。
[29:54:00] 言わないとダメかって違いがありますね。
[29:56:00] うんうん。
[29:58:00] なるほどね。
[30:00:00] そう。じゃあそんな感じで今日は。
[30:01:00] はい。
[30:02:00] うん。
[30:02:00] なんかいけそう。
[30:03:00] 10時半では。
[30:04:00] うん。
[30:05:00] うん。
[30:05:00] そんな感じで。
[30:06:00] はい。
[30:06:00] そのライブスタイルが結構やっぱ。
[30:08:00] うんうん。
[30:09:00] どうしてもやりやすいは。
[30:11:00] うん。
[30:12:00] で、多分見てる方も講義が始まってもそんなね、なんか付いてこない感じもすると思うんで。やっぱコミュニケーションとりながら。
[30:14:00] うん。
[30:19:00] うん。
[30:19:00] スライドだとやっぱりね、なんかオンラインでスライドで喋ってるのってなんか。
[30:23:00] うんうん。
[30:24:00] なんか1人で喋ってるみたいでなんか。
[30:27:00] うんうん。
[30:28:00] なんか不安になるんですよね。
[30:30:00] うんうん。
[30:31:00] みんなのね、クローズドコード動かしつつ、対話しつつ。自分もやりつつが一番やりやすいっすよね。
[30:33:00] うん。
[30:36:00] うん。
[30:37:00] うん。
[30:38:00] じゃあ、その方向でちょっと案内を。
[30:40:00] よろしくお願いします。
[30:41:00] はい。
[30:41:00] あ、すいません。
[30:42:00] Zoom作るんでメールだけ送ってもらってもいいですか。一応グループの方にも貼っときますけど。
[30:46:00] はい。
[30:47:00] はい。
[30:47:00] 分かりました。
[30:48:00] じゃあ後ほど送ります。
[30:50:00] はい、よろしくお願いします。
[30:51:00] じゃあ、また10時半ですね。
[30:52:00] はい。
[30:53:00] よろしくお願いします。
[30:54:00] 了解っす。
[30:54:00] はい。
[30:55:00] はい。
[30:56:00] で、また。
[30:56:00] お疲れ様でした。
[30:57:00] はい。
[30:58:00] はい。
[30:59:00] はい。
[00:00:00] はい。
