[00:03:02] そういう話になって。うん。
[31:03:68] えーと、Amazonウェブサービスか。で、ここに、えーと、ちょっと今コメントで送るんですけど。あの、Amazon経由で、えーと、AIを使えるっていう仕組み、APIっていう。ま、そのAmazon経由で使える仕組みがあって。これとやるとあの、もちろんAmazonのデータセンターには、えーと、情報飛んじゃうんですけども。飛んじゃうって言か、えーと、そこで動作をするんですが、えーと、日本の国内に絞るっていう設定ができるんですね。まずその2つあって、えーと、そもそもデータは絶対に保存してないっていう設定と、日本国内でだけ絶対動くよっていう設定と2つできるんですよ。
[31:47:35] はい。
[31:48:19] そうすると、えーと
[31:51:65] まずそのなんかゼロデータ保持みたい。ま、データ保存しないよっていう設定と、えーと、日本国内で動くとなると、まず、まあ、日本国内から情報は、まあ、出ないよって。ま、何がとったとしても、えーと、日本国内からは、えーと、出ないよっていう設定がまずできます。
[32:10:49] うんうんうん。
[32:11:97] で、まあ、モデルにもよるんですけど、ま、あの、これを使っていただくか、えーと、それでも出したくないっていう場合はなんかローカルLLMといって、自分のパソコンでAIを動かすっていう。
[32:24:20] うんうん。
[32:25:27] ただこちらのデメリトトしては、パソコンにパワーがすごく必要になるので。あと、すごい高性能な、えーと、構成、高性能なAはちょっと使えないっていうのが弱点。
[32:37:58] これでもあれじゃないかな。あの
[32:41:69] 病院。
[32:43:18] だ、結局これをなんかうまくやるには病院側にそういう風な導入をしてもらわないといけないって感じになりますよ。
[32:51:71] そうです。
[32:53:18] あー。
[32:53:57] いや、違う。
[32:53:93] そうだ、工藤さんって多分あれっすよね。あの、個人的にその普段の業務の中でちょっとそういうのシートとかを作るのができたらいいなあみたいなのを望んでる。
[33:06:58] あ、いや、えーと、プロジェクトに参加してるので、なんか複数上にそのプロジェクトが6つぐらいあるんですよ。例えば会計とか。
[33:14:64] うんうん。
[33:16:04] システムエンジニアさんが入って、えーと、ま、会計から受付とか。ま、皆さんその数字のところは、えーと、専門の人たちがやってるんですけど。私のところって人の動きだったりとか、言葉とか、やってる動作をそのアズイズシートっていうのに反映したくて。それは個人ってよりは成果物を提出したいと思っていて。
[33:40:24] はあはあはあはあ。
[33:41:43] だからそれをAIに入れていいとは言われてないんですよね。
[33:46:82] ああ、なるほどね。
[33:48:47] 内容的には別に、例えば他の人が見たとしても個人情報が入ってたりとかはしないんで。
[33:55:76] うんうん。
[33:56:06] なんかそういうようなデータっていうことであれば
[34:01:45] なんか逆に問題ないんじゃないかなって感じはしたんですけど。
[34:07:37] あー、えーと、
[34:08:70] ま、そこのちょっと情報のね、やっぱり内容によるっていうところはかなりあります。
[34:13:62] うん。
[34:14:49] なのでその現場にある資料を看護師さんとかいろんな方にいただいて、多分5、60枚になったんですね。で、それって皆さんの個人メモだったり、やり方だったりするの で、多分それってあんま出しちゃいけないんじゃないかなあというなんか私のなんて言うんですかね。
[34:34:10] ああ、なんかそれだったら、でも、どうなんだろうなあ。えーと、ちょっと
[34:39:56] あ、先生、全、言ってないといけないかなと。
[34:41:88] うん。で、なんかあの、ちゃんと、あ、でも多分そのなんか結構多いようなメモ、まあ、結構多分割と雑なメモだと思うんですけど。そういったものを、えーと、一気に解析するとかちゃんとや るっていうのにはAIが便利なのでっていうのをちゃんと説明して、その上で読み込ませていいっすかっていう許可はでも取った方がいいですよね。
[35:07:65] わかりました。
[35:08:58] なんか、うん。なのでAIどうするっていう許可を取るって話になってきますね。
[35:12:87] うんうん。
[35:13:41] あ、でもそのデータの、なんか、日本から出ないっていうやり方はいくつかある。
[35:18:29] うん。
[35:18:59] で、そういう保持をするならAWSだったりローカルだったりってとこかな。
[35:23:79] で、一概に外国でデータが飛ぶからダメだっていわれた場合そう言う手がうて。
[35:28:38] あ、すいません。なんか私、あの、相談の丸1と丸2が多分一緒になってしまってて。
[35:34:64] ああ、なるほど。
[35:35:55] あの、アズイズシートは私の個人のもので。
[35:37:37] はい、そうっすね。
[35:38:29] あと丸2の方は。
[35:39:18] また別のとこから。
[35:41:31] で、で、じゃあ丸2のライフサイエンス全般で多岐にわたる研究計画書の内容をAIに入れて1連として評価まで出して もらいたい。はい。
[35:52:16] それをどこまで、どこまでやって大丈夫か知りたい。えーと、いくらでもやっていただいてというところで。
[35:59:71] これも。
[35:59:84] 許可っすよね。
[36:00:81] まあ、えーと、ライフ、ライフサイエンスって何ですか、ちなみに。
[36:06:55] うーん、科学的なものなので
[36:11:47] どう、なんだろう。その方は心臓の研究してる方なんですけども。
[36:16:11] ああ、なるほど。えーと、じゃあ体に関わる体とか生活とかに関わる科学的な、根拠、エビデンス的な話ですか？
[36:26:50] 体ですね。
[36:27:32] 大学の研究してるので、体。医療系のかた。
[36:32:00] ああ、なるほど。で、そういう研究の計画、研究計画書っていうのはその人のやつなのかな。それを。
[36:40:71] うん。
[36:41:51] ああ、はいはい。
[36:42:50] え、全然あの、
[36:45:62] それは、えーと、書類の評価をただAIにさせるっていう話なので、えーと、そこで。これもでもあれっすね。そのAIに何か計画書を渡すってときに、えーと、その個人定期に、えーと、なんだろう。その研究の中でめっちゃ秘密な部分があって、えーと、外部に漏らしたくないよみたいなのがめちゃくちゃ強くある場合にはそこだけは載せない方がいいと思います。
[37:14:73] うんうん。
[37:15:37] まあ、僕はちなみにそういう場合にも載せちゃいます。僕はね。
[37:20:11] うんうんうんうん。
[37:21:40] あの、そうですね。僕のAIは僕の事全て知ってます。
[37:29:43] けど僕がなんかそれでいいかなと思ってるけど、ま、それはそれと人それぞれですね。まあ、でもそういうとこで読ませ、研究計画書を読ませて普通に評価どうなのっていうのは、これ自体は全然よくやることだと思うのでね。あんまりなんかどこまでやっていいってのは、割とどこまででもやっていいんじゃないかなって思います。
[37:53:57] ま、会社から何言われてるかですね。
[37:55:40] あ、そう。
[37:55:92] あと組織から何言われてるか。
[37:57:38] なんかこう研究だからそれをなんかAI使ってちょっとかなんか考えをまた深めたっていうのがなんか変な風に突っ込まれそうとかそういう話ですか？
[38:07:22] あ、いや、あの、審査をするみたいなの で、その審査を頼まれてるのが月に3件審査を判断しなきゃいけない。
[38:14:60] はいはい。
[38:15:06] ああ、そんなのバンバンAIにやらせた方が良いと思います。
[38:18:27] うんうん。
[38:19:40] 人からもらったその、人の評価の内容のものだから基本的にはその読ませない、えーと、オフラインとかでできるのかなっていうお話をされてて。読ませたく なさそうでした、その。
[38:35:69] ああ、その、えーと。
[38:37:05] そのものだから。
[38:37:67] ああ、そう、なるほど。
[38:38:86] うんうん。
[38:39:61] 読ませればいいのに。
[38:42:47] えーと、プロジェクト的なんか言われてるんだったら問題ない。
[38:46:48] うん。
[38:46:87] えーと、その人からのやつで、そうなんか課題みたいなことですか、それ？
[38:51:71] うん。
[38:52:12] それともすごいガチ研究ですか？
[38:54:55] ガチ研究ですね。
[38:55:62] ガチ研究で。
[38:56:49] この人が判断して他の審査員と判断その研究者が何百万円とか国からもらえてさらに、えーと、次の就職の時とかに役に立つ。
[39:09:44] ああ、じゃあキャリアに繋がるようなタイプの種類のやつで。
[39:12:79] はい。
[39:13:00] ああ、ま、それの審査か。
[39:14:98] はい。
[39:16:32] ま、それ、僕はなんかそしたらあれかな、まあ、なんかそのAIに読ませるけど、AIが出してきたものをそのままは審査としては伝えないで、自分でもう1回確認したものを出します。
[39:34:39] あ、そうそう。あの確認するのはマストなんですけど。
[39:38:34] その、まあ、どこまで読ませるかってさっきおっしゃってた、ま、全部じゃないっていうのがあったんで。
[39:45:49] だっ、だって部分部分を読ませるときって部分部分だけを切り出さないといけない、切り出すって作業が出るじゃないですか。
[39:53:73] うんうん。
[39:54:39] 僕はその作業したくないんで、あの、PDFとかになってんだったら一気に5、60個ぐらい全部選択してドラックドロップでぼーんって投げる。ぶん投げる。
[40:04:47] それ投げる先はどこですか？
[40:07:27] えーと、僕は基本的にはクロードコードです。
[40:10:98] うん。
[40:11:47] なんか、あ、大量処理を一気にできるのはクロードコードがやっぱり強いです。
[40:16:79] うんうんうんうん。
[40:18:49] なんでここが
[40:19:44] うん。
[40:20:25] なので、例えば、えーと、僕だったら、まあ、今どうやるか、なんか大体のやるそう、操作的なのをちょっとイメージしてもらうために、なんとなく、じゃあやりますと。
[40:37:37] よいしょ。ま、これデスクトップ、まあ、汚ないです、ね。ちょっと待ってくださいね。よいしょ。汚ない、汚ない。汚ないし、良くないファイルもありそう。よし。で、まあ、なんか作業したい時、こうやって新規フォルダでなんだろう？
[40:57:43] 審査
[41:06:56] 審査
[41:07:37] みたいにして
[41:10:30] で
[41:13:30] ここの中に、ま、じゃあPDF、えーと、書類PDFだとして。じゃあ適当に。このPDFたちを、ま、こっ、だとして。このフォルダーの中に入れますと。
[41:26:99] で、このフォルダーの中には、えーと、PDFたちが、まあ、バーっと入ってると思ってください。
[41:33:51] で、こいつを、えーと、じゃあクロードコードで開く。ま、僕の場合はMacなんで開きたいフォルダーをAIのところに持って行くと勝手に開きます。
[41:51:79] うわ。
[41:55:54] 今のはターミナルのアイコンみたいなとこに投げたんですか？
[41:59:47] あ、そうっす。そうっす。そうっす。
[42:01:80] アプリでも問題ない。
[42:03:00] アプリでも問題ないです。なんか例えば、えーと、デスクトップとかにコーデックスのアプリだったりとかクロードコードのアプリとかがあったりすれば、そこにポンってやればできたりします。あとはアプリを開いて開くっていうのをやればできます。
[42:19:28] うんうん。
[42:20:64] ま、とにかく全部一緒です。何がやりたい人も、今そのAIでその僕が言ってる事ができてないよって言ってる人は全部一緒です。このフォルダーを作ってアプリで開く以上です。
[42:35:05] で、フォルダーを開い て、あ、フォルダーでアプリ、フォルダーをアプリで開けたら、このコマンド、えーと、AIを実行するコマンド。僕の場合はクロードデンジャラスリイースキップパーミッション。
[42:47:64] はい。
[42:49:54] ま、普通はクロードとか打ったりコーデックスって打ったりします。
[42:54:99] あれ、なんか起動しないな。
[42:58:97] 色々起動しすぎたのかもしれない。
[43:01:89] あ、起動した。
[43:03:68] で、で、えーと、今起動したので、例えばこのフォルダーの中には、えーと、研究論文がたくさ、たくさん入っています。えーと、なんだろう、評価基準は、えーと、よくわかんないけどちゃんと丁寧に書けているかですとか。
[43:37:89] はい。
[43:39:46] ここは、もちろん自分の合う感じの評価基準とかを書いて、うまく書いてください。
[43:44:88] その上で、えーと、なんだろう？えーと、その、ま、普通にその上で評価をしてくださいみたいなことを言うとバババっと何か出てくると思います。
[44:00:66] うんうんうんうん。
[44:01:66] わかりました。ちょっとそれで伝えてみます。
[44:05:43] はい。
[44:05:92] で、こうすると、で、こういう、この手のこと、こうやってなんかその、こういうような感じでやると大体何でもやりたいことできます。
[44:16:51] うんうんうん。
[44:17:34] ただその中のデータはもう普通にAIとしても読まれちゃうっていうか。
[44:23:43] はい、読まれます。
[44:24:62] はい。
[44:25:29] まあ、ちゃんと
[44:28:44] してる。
[44:30:17] えー、まあ、なんか、まあ、でも一応読んだ研究は忘れて。
[44:43:28] ま、でもデータセンターに送られちゃうんでね、これ、忘れてっても。
[44:49:54] うんうん。
[44:50:38] 記録、記録。
[44:51:75] 記録。
[44:51:98] そこれたら例えば誰かが何かに検索したらそれがヒットするとかそういうこと。
[44:56:63] それはない。
[44:57:12] それはない。
[44:57:48] ないです。あの、ま、単、単に海外のどこかのに、そのデータセンターっていうか建物っていうかのが、えーと、ま、なんか、で、動動かされちゃうよっていう。
[45:10:97] うんうん。
[45:11:51] なので、そこ、データがどうしても仕組み上転送されるっていう風になるので、送ったところと送られた先それぞれにデータが残る形になっちゃうんすよね。
[45:21:49] で、そのデータをどう、どう使われてるかっていう風になったところは、えーと、まあ、そこまで使われてはなさそうだなあっていう感じはします。
[45:32:86] ああ、基本そんな中の人が見ることも多分ないとは思うんです。ま、一番まずいのはそこが万が一攻撃受けた時に出ちゃうとかっていうことですよね。
[45:40:53] うーん。
[45:41:69] まあ、唯一考えるとしたら。
[45:42:91] まあ、でも。
[45:43:77] 真偽が分かる。
[45:44:31] この人がこう言う質問しました。
[45:46:27] あ、それは多分残るんじゃな。多分ゼロデータ保持
[45:52:05] 一応でも暗号化してる とか言ってるけどね。
[45:55:76] そこはなんか見えない世界。
[45:57:47] まあ、嘘ですね。
[45:57:78] 暗号化してる とか嘘です、大体ね。
[46:04:80] まあ、なのでそれが不安だとその日本に留めるか、パソコン中に留めるかとかっていう、そういう話をして。あと信頼とかですね、その辺は。
[46:13:58] まあ、でもね、そうだね。あとは。
[46:17:80] ま、心配であればAWS、さっきのAmazonサービスの方。ま、あの、サブスクはないので、あの、お金はちょっと高額になりやすいんですけど、どうしても。使えば使うだけ課金が去るならそっちは。ただその企業とかでも、あの、日本の企業とかでもそういう制約にしてください。だからあのデータをそこでAWS、Amazon経由でデータをゼロにして日本に閉じて開発してくださいとかってそういう契約もあるらしいんですよね、今どうやら。
[46:46:42] うんうんうんうん。
[46:47:64] まあ、でもそれはだから法人の話になっちゃうからさ。
[46:52:13] はい。
[46:52:72] まあ、一応そういうので、ま、そのなんか留めるっていうそういう話です。
[46:57:24] うん。
[46:58:97] ありがとございました。
[47:01:80] はい。
[47:02:40] まあ、でも割と読ませた方が楽しっすね。
[47:07:34] まあ、楽し、楽しいっていうか、なんか
[47:09:88] なんかあの
[47:11:66] そう、だんだんやっぱりAI使ってくる と、なんか「ああ、もう、ああ、これ、もうもう面倒くさい。共有しちゃお」ってどんどん上がってきちゃうのが良くも悪くも割り算。
[47:24:88] うんうんうん。
[47:25:34] 僕のAIはでももうストライプのIDとかも全部把握してるんで何でもできます。
[47:33:43] ストライプのIDって何ですか？
[47:34:67] ストライープってあの決済のシステムとかです。
[47:38:64] なので決済のシステムの僕の情報とかも全部AIが知ってる状態なので、えーと、色々暴れられたら困るかもしれないとかはありますね。
[47:50:87] なるほど。
[47:51:71] はい。
[47:52:25] あの請求を全部止める とかできたりすると思うんで。
[47:57:67] あはは。
[47:58:98] ふりこ。
[48:00:46] はい。
[48:00:84] はい。
[48:02:40] そこはここで言うちゃダメなんじゃないですか？
[48:04:81] いや、別にでもそれを、あの、把握を他がされていなければ大丈夫だから。
[48:12:49] ああ、ま、そうですね。
[48:14:48] うん。
[48:14:98] チャット、チャット、なん、このズームから、チャットに戻れるのがね、もったいないな、難しいな。
[48:21:28] そのうちみんな普通にAIエージェントに買い物頼むってのが勝手に買い物してきて、勝手にAmazonで届いてる。注文してない届くってのありえるよね。
[48:30:08] うんうん。
[48:30:80] うん。
[48:32:44] でもそう。
[48:33:14] やってましたよね、なんか。
[48:34:47] 面白そうな自分の興味ありそうな本があったら勝手に注文しといて、AIが勝手に注文し
[48:39:27] ああ、でもいいっすね、それ。
[48:40:71] そうそうそう。
[48:41:35] だからブックオフ。
[48:43:97] 高崎さんのブックオフと一緒ですね。
[48:45:62] うんうんうんうん。
[48:46:59] そう。僕は最近あの、あえてAmazonとかキンドルで買わないっていう。あの、行く先々の古本屋でしか買わないっていう謎の制限プレイをしてます。
[49:00:47] うんうん。
[49:00:80] そうすると、なんかあの、本との間に、出会いの物語が生まれて。なんか本の内容が入ってきやすくなったり、自分に溶け込みやすくなるっていう。
[49:15:39] はあ。
[49:15:70] って。
[49:17:28] ははは。
[49:19:64] で、そういうなんかAIでなんかどんどん作業があの、爆速化していったり、効率化してくから変な風にちょっと時間かけたり、手間かけたりする のがあえてするっていうのが多分これから必要になってくるんすよ。
[49:40:02] 気まずくなっちゃうからね。
[49:40:78] はい。
[49:42:36] なので、なんかその本とかの出会いとかもなんか、で、なんかすごくなんかNetflixとかにとかキンドルとかに本がぶわっ、本とかタイトルがぶわって並んでるとかなんか選べなくて見れ、何も見ないで終わるとかに結構僕なるんすよね、いつも。
[50:00:99] うん。
[50:02:16] なんかだからあんまりなんか良くないなって感じるんすよね、そういうのがね。
[50:07:69] よくわかんないけど。
[50:11:42] はい、では次、続きまして。あ、で、AIカンパニーはまだ入れれてなかったんですね。はい。
[50:18:62] うんうんうんうん。
[50:19:15] で、その続きのね、えーと、山崎さんにえ、お願いする。高崎さんのことですかね？作っていただいたものが、作っていただいたものがありますって言うなんか、え。
[50:30:04] すいません。間違えました。
[50:32:61] うんうんうん。
[50:32:82] 高崎、高崎間違えました。
[50:35:56] えーと、えー、あ、じゃ
[50:37:68] と
[50:40:41] はい。あ、えーと、あ、ちょっと顔出させて、あ、初めまして。
[50:44:03] ああ、どうも。
[50:44:81] はい、ありがとうございます。
[50:45:90] よろしくお願いします。
[50:47:33] えっと、AIカンパニー自分でなんかあの、スクショをもとに、あの、なんかFacebookで上がってきて、「これ面白そう」と思ってやってみたんですけど。
[50:58:39] 自分で作ったんですけど、このスクショ下みたいに動かないんですね。机に座ったまま。
[01:06:50] おや？
[01:07:05] じゃあ、ちょっと待って。
[01:07:95] デザインは気に入ってるんですけど。
[01:11:82] なんか高崎さんが作ってくれたのとミックスとかできるんですか？
[01:17:09] あ、できますよ。なんか、なんだったら僕のやつをまず、あ、じゃあ、ちょっとその、その手順をちょっと覚えていただきたいので、ちょっと今画面操作しながら、あの、色々説明していきますね。
[01:32:78] ま、とりあえずですね、ここの
[01:35:36] はい、ありがとうございます。
[01:36:23] 奥義のところのですね、どんどんどんどん。
[01:41:69] なかなか多くなりすぎて探せなくなっちゃった。これ探しにくいな。
[01:50:87] あ、で、このAIカンパニーをですね
[01:54:99] ああ。
[01:55:76] これダウンロードします。
[02:00:23] ポチ。
[02:02:22] ま、デスクトップにダウンロードしましたね。
[02:07:22] うん。
[02:12:35] で、デスクトップの、どこだろう。
[02:18:96] ちょんちょんっと。
[02:20:94] これジップを解凍いたします。
[02:29:43] はい、これ解凍できました。
[02:31:86] あ、で、ついでに何か
[02:36:06] うわあ、チャットがまた、チャット、チャットどこだ。
[02:47:89] か。
[02:50:90] チャットで、えーと。
[02:53:23] これ送れるかな？
[02:56:06] あ、ジップはさすがに無理、あ、あ、いける？
[03:00:30] あ、チャットの方にもジップのファイル送っときましたんで、そちらダウンロードお願いします。
[03:08:52] それでですね、まあ、今普段ってクロードコードとか使われてますか？
[03:15:69] ない。
[03:16:32] アプリですか？
[03:18:97] え、アプリ？
[03:20:49] えーと、ターミナルからクロードコードを読んでるパターンかデスクトップアプリかみたいな。
[03:27:82] あ、デスクトップアプリです。
[03:29:33] アプリですね。
[03:30:13] じゃあ、えーと、あったかな。クロードのアプリ入ってたかな？
[03:37:37] ちょっとちょっとちょっと。
[03:41:88] あれ？
[03:42:31] これにこうできる？
[03:53:79] これにこうできる？
[03:57:42] これにこうで開ける？
[04:00:13] ちょっと分かんない。
[04:02:08] 違う。
[04:03:70] うん。
[04:03:70] 普通にあれか、これを立ち上げてクロードコードを開いて、その状態でフォルダを開くがわかりやすいよね、きっと。
[04:17:85] あ、いけそう。
[04:22:96] あれ？
[04:24:26] あれ？
[04:25:74] あ、多分ログインし直さないと。始めれで恐らくログインし直さないといけないんで多分画面共有閉じないと多分。
[04:34:73] 一瞬閉じます。
[04:36:99] 見えちゃう。
[04:37:65] んん。
[04:39:69] なんかパソコン重いな。重いっていうかあれか。走らせすぎ？
[04:46:17] あれ？
[04:47:57] ああ。
[04:52:19] あれ？
[04:53:14] このアシラの日誌だけで毎回アップデートが追いつかないぐらいですね。
[04:57:84] ちょっとあれですね。
[04:58:85] あの。
[04:59:75] どんどんためしてみます。
[05:01:45] うん。
[05:03:84] 僕は結構でもいつもこうなっちゃうんすよね。なんかもうダダダダダってなんか出し続けて、ただ垂れ流し続けるマンになっちゃうんすんで。
[05:15:37] だからね、なんか。
[05:18:50] ちょっと整理をして。
[05:20:25] 高崎さんはもうそのままどんどん作っていってもらって、あとは多分僕とかたくみくんがそれを試して実際にこうやって使うとこうなるよっていうのをやっぱ皆さんにレクチャーしていくっていうのが多分一番いいなと思って。
[05:33:05] あれなんかクロードのアプリの調子悪い。
[05:36:99] お。
[05:37:25] 使わないから。ちょっと待ってくださいね。使わなすぎた。
[05:42:74] い。
[05:42:99] いか。
[05:43:53] あれ。
[05:44:60] フリー。
[05:45:99] ないな。
[05:46:61] うんうんうん。
[05:47:57] 皆さんデスクトップが一番多いんですかね使ってる方って。
[05:50:80] うんうん。
[05:51:30] うん。
[05:51:75] うん。
[05:52:05] うん。
[05:52:43] うんうんうんうん。
[05:52:95] うんうん。
[05:54:19] ああ。
[05:54:39] デスクトップ。
[05:54:69] うんうんうんうん。
[05:54:99] うん。
[05:55:18] うん。
[05:55:38] 高宮派がだいぶ減ったというか。デスクトップが結構優秀になっちゃったんで。
[06:00:84] うん。
[06:01:84] うん。
[06:04:18] うんうんうんうん。
[06:05:45] あれなんか起動し、起動しない。
[06:07:37] ぜひチャット欄とかでもね、気づいたこととか質問とか相談があったらどんどんチャットに入れてといていただいたり、あとね、なんか感想とか、なんか面白いとかすごいとか、なんか垂れ流しといていただいても全然大丈夫なんで。
[06:19:69] クロードがクロードが起動しないね。
[06:23:44] うんうん。
[06:23:66] うんうん。
[06:24:99] うんうんうん。
[06:25:28] うんうん。
[06:26:08] じゃあチャット欄にぜひ今クロードコート何でやってるか、クロードデスクトップアプリ。ターミナルとか、なんかチャットに入れてといていただいたら。皆さんの何、みんなデスクトップだったらデスクトップのやり方で皆さんにお伝えした方が分かりやすいなと思うんですけど。うん。
[06:49:57] あれ。
[06:50:82] あ、デスクトップ。
[06:52:84] うん。
[06:54:33] あれ？
[06:55:20] あれ？
[06:55:36] ちょっと待ってくださいね。
[06:56:56] はい。
[06:56:88] はい。
[06:57:02] あれ？
[06:57:33] あれ？
[06:57:82] あれ？
[06:58:08] あれ？
[06:58:39] あれ？
[06:58:62] あ、多分ログインし直さないと。始めるで恐らくログインし直さないと多分画面今日閉じないと多分。
[07:05:22] 一瞬閉じます。
[07:06:52] 見えちゃう。
[07:07:30] ん。
[07:08:14] ん。
[07:08:34] ん。
[07:08:62] うん。
[07:08:78] ん。
[07:08:95] うんうんうんうん。
[07:09:27] うん。
[07:09:43] うん。
[07:11:03] ああ。
[07:11:15] ああ。
[07:11:32] ああ。
[07:11:59] ああ。
[07:12:08] うんうんうんうん。
[07:12:28] うん。
[07:12:56] ああ。
[07:12:96] うん。
[07:13:21] うんうんうんうん。
[07:13:58] うん。
[07:13:95] うんうんうんうん。
[07:14:15] うん。
[07:14:28] うん。
[07:14:62] うんうんうんうん。
[07:15:33] うん。
[07:15:69] うんうんうんうん。
[07:16:11] うん。
[07:16:32] うんうんうんうん。
[07:16:62] うん。
[07:17:15] うんうんうんうん。
[07:17:41] うん。
[07:17:91] うんうんうんうん。
[07:18:13] うん。
[07:18:32] うんうんうんうん。
[07:18:60] うん。
[07:18:78] うんうんうんうん。
[07:19:07] うん。
[07:19:15] うん。
[07:19:26] うん。
[07:19:51] うん。
[07:19:64] うんうんうんうん。
[07:19:96] うん。
[07:20:13] うん。
[07:20:30] うんうんうんうん。
[07:20:56] うん。
[07:20:80] うん。
[07:20:86] うんうんうんうん。
[07:21:05] うん。
[07:21:28] うんうんうんうん。
[07:21:65] うん。
[07:21:84] うん。
[07:22:04] うんうんうんうん。
[07:22:20] うん。
[07:22:50] うんうんうんうん。
[07:22:68] うん。
[07:22:85] うんうんうんうん。
[07:23:17] うん。
[07:23:44] うん。
[07:23:69] うんうんうんうん。
