[00:00:00] こんばんは。お疲れ様です。
[01:01:57] 更新したらアプデされるよね。
[01:01:57] されないって言われた。
[01:01:58] 多分完全に別形式になるんじゃないですかね。
[01:01:58] Intel Macのインストーラー。
[01:01:59] Intel Macが。
[01:01:59] 作。
[01:02:00] すでに今現状使えないすか？
[01:02:00] 多分、多分弾かれると思いますよ途中で。
[01:02:00] 多分。
[01:02:01] これはこの。
[01:02:01] だから多分この、対応してないんすね、あれね。
[01:02:02] 更新したらアプデされるよね。
[01:02:02] されないって言われた。
[01:02:03] 多分完全に別形式になるんじゃないですかね。
[01:02:03] Intel Macのインストーラー。
[01:02:04] Intel Macが。
[01:02:04] 作。
[01:02:04] すでに今現状使えないすか？
[01:02:05] 多分、多分弾かれると思いますよ途中で。
[01:02:05] 多分。
[01:02:06] これはこの。
[01:02:06] だから多分この、対応してないんすね、あれね。
[01:02:07] 更新したらアプデされるよね。
[01:02:07] されないって言われた。
[01:02:08] 多分完全に別形式になるんじゃないですかね。
[01:02:08] Intel Macのインストーラー。
[01:02:09] Intel Macが。
[01:02:09] 作。
[01:02:09] すでに今現状使えないすか？
[01:02:10] 多分、多分弾かれると思いますよ途中で。
[01:02:10] 多分。
[01:02:11] これはこの。
[01:02:11] だから多分この、対応してないんすね、あれね。
[01:02:12] 更新したらアプデされるよね。
[01:02:12] されないって言われた。
[01:02:13] 多分完全に別形式になるんじゃないですかね。
[01:02:13] Intel Macのインストーラー。
[01:02:14] Intel Macが。
[01:02:14] 作。
[01:02:15] すでに今現状使えないすか？
[01:02:15] 多分、多分弾かれると思いますよ途中で。
[01:02:16] 多分。
[01:02:16] これはこの。
[01:02:16] だから多分この、対応してないんすね、あれね。
[01:02:17] 更新したらアプデされるよね。
[01:02:17] されないって言われた。
[01:02:18] 多分完全に別形式になるんじゃないですかね。
[01:02:18] Intel Macのインストーラー。
[01:02:19] Intel Macが。
[01:02:19] 作。
[01:02:20] すでに今現状使えないすか？
[01:02:20] 多分、多分弾かれると思いますよ途中で。
[01:02:21] 多分。
[01:02:21] これはこの。
[01:02:21] だから多分この、対応してないんすね、あれね。
[0m59s] 更新したらアプデされるよね。
[1m0s] されないって言われた。
[1m0s] 多分完全に別形式になるんじゃないですかね。
[1m0s] Intel Macのインストーラー。
[1m1s] Intel Macが。
[1m1s] 作。
[1m2s] すでに今現状使えないすか？
[1m2s] 多分、多分弾かれると思いますよ途中で。
[1m2s] 多分。
[1m3s] これはこの。
[1m3s] だから多分この、対応してないんすね、あれね。
[1m4s] 更新したらアプデされるよね。
[1m4s] されないって言われた。
[1m4s] 多分完全に別形式になるんじゃないですかね。
[1m5s] Intel Macのインストーラー。
[1m5s] Intel Macが。
[1m6s] すでに今現状使えないすか？
[1m6s] 多分、多分弾かれると思いますよ途中で。
[1m7s] 多分。
[1m7s] これはこの。
[1m7s] だから多分この、対応してないんすね、あれね。
[1m8s] 更新したらアプデされるよね。
[1m8s] されないって言われた。
[1m9s] 多分完全に別形式になるんじゃないですかね。
[1m9s] Intel Macのインストーラー。
[1m9s] Intel Macが。
[1m10s] すでに今現状使えないすか？
[1m10s] 多分、多分弾かれると思いますよ途中で。
[1m11s] 多分。
[1m11s] これはこの。
[1m11s] だから多分この、対応してないんすね、あれね。
[1m12s] 更新したらアプデされるよね。
[1m12s] されないって言われた。
[1m13s] 多分完全に別形式になるんじゃないですかね。
[1m13s] Intel Macのインストーラー。
[1m14s] Intel Macが。
[1m14s] すでに今現状使えないすか？
[1m15s] 多分、多分弾かれると思いますよ途中で。
[1m15s] 多分。
[1m16s] これはこの。
[1m16s] だから多分この、対応してないんすね、あれね。
[1m17s] 更新したらアプデされるよね。
[1m17s] されないって言われた。
[1m18s] 多分完全に別形式になるんじゃないですかね。
[1m18s] Intel Macのインストーラー。
[1m19s] Intel Macが。
[1m19s] すでに今現状使えないすか？
[1m20s] 多分、多分弾かれると思いますよ途中で。
[1m20s] 多分。
[1m21s] これはこの。
[1m21s] だから多分この、対応してないんすね、あれね。
[1m22s] 更新したらアプデされるよね。
[1m22s] されないって言われた。
[1m23s] 多分完全に別形式になるんじゃないですかね。
[1m23s] Intel Macのインストーラー。
[1m24s] Intel Macが。
[1m24s] すでに今現状使えないすか？
[1m25s] 多分、多分弾かれると思いますよ途中で。
[1m25s] 多分。
[1m26s] これはこの。
[1m26s] だから多分この、対応してないんすね、あれね。
[1m27s] 更新したらアプデされるよね。
[1m27s] されないって言われた。
[1m28s] 多分完全に別形式になるんじゃないですかね。
[1m28s] Intel Macのインストーラー。
[1m29s] Intel Macが。
[1m29s] すでに今現状使えないすか？
[1m30s] 多分、多分弾かれると思いますよ途中で。
[1m30s] 多分。
[1m31s] これはこの。
[1m31s] だから多分この、対応してないんすね、あれね。
[1m32s] 更新したらアプデされるよね。
[1m32s] されないって言われた。
[1m33s] 多分完全に別形式になるんじゃないですかね。
[1m33s] Intel Macのインストーラー。
[1m34s] Intel Macが。
[1m34s] すでに今現状使えないすか？
[1m35s] 多分、多分弾かれると思いますよ途中で。
[1m35s] 多分。
[1m36s] これはこの。
[1m36s] だから多分この、対応してないんすね、あれね。
[1m37s] 更新したらアプデされるよね。
[1m37s] されないって言われた。
[1m38s] 多分完全に別形式になるんじゃないですかね。
[1m38s] Intel Macのインストーラー。
[1m39s] Intel Macが。
[1m39s] すでに今現状使えないすか？
[1m40s] 多分、多分弾かれると思いますよ途中で。
[1m40s] 多分。
[1m41s] これはこの。
[1m41s] だから多分この、対応してないんすね、あれね。
[1m42s] 更新したらアプデされるよね。
[1m42s] されないって言われた。
[1m43s] 多分完全に別形式になるんじゃないですかね。
[1m43s] Intel Macのインストーラー。
[1m44s] Intel Macが。
[1m44s] すでに今現状使えないすか？
[1m45s] 多分、多分弾かれると思いますよ途中で。
[1m45s] 多分。
[1m46s] これはこの。
[1m46s] だから多分この、対応してないんすね、あれね。
[1m47s] 更新したらアプデされるよね。
[1m47s] されないって言われた。
[1m48s] 多分完全に別形式になるんじゃないですかね。
[1m48s] Intel Macのインストーラー。
[1m49s] Intel Macが。
[1m49s] すでに今現状使えないすか？
[1m50s] 多分、多分弾かれると思いますよ途中で。
[1m50s] 多分。
[1m51s] これはこの。
[1m51s] だから多分この、対応してないんすね、あれね。
[1m52s] 更新したらアプデされるよね。
[1m52s] されないって言われた。
[1m53s] 多分完全に別形式になるんじゃないですかね。
[1m53s] Intel Macのインストーラー。
[1m54s] Intel Macが。
[1m54s] すでに今現状使えないすか？
[1m55s] 多分、多分弾かれると思いますよ途中で。
[1m55s] 多分。
[1m56s] これはこの。
[1m56s] だから多分この、対応してないんすね、あれね。
[1m57s] 更新したらアプデされるよね。
[1m57s] されないって言われた。
[1m58s] 多分完全に別形式になるんじゃないですかね。
[1m58s] Intel Macのインストーラー。
[1m59s] Intel Macが。
[1m59s] すでに今現状使えないすか？
[2m0s] 多分、多分弾かれると思いますよ途中で。
[2m0s] 多分。
[2m1s] これはこの。
[2m1s] だから多分この、対応してないんすね、あれね。
[2m2s] 更新したらアプデされるよね。
[2m2s] されないって言われた。
[2m3s] 多分完全に別形式になるんじゃないですかね。
[2m3s] Intel Macのインストーラー。
[2m4s] Intel Macが。
[2m4s] すでに今現状使えないすか？
[2m5s] 多分、多分弾かれると思いますよ途中で。
[2m5s] 多分。
[2m6s] これはこの。
[2m6s] だから多分この、対応してないんすね、あれね。
[2m7s] 更新したらアプデされるよね。
[2m7s] されないって言われた。
[2m8s] 多分完全に別形式になるんじゃないですかね。
[2m8s] Intel Macのインストーラー。
[2m9s] Intel Macが。
[2m9s] すでに今現状使えないすか？
[2m10s] 多分、多分弾かれると思いますよ途中で。
[2m10s] 多分。
[2m11s] これはこの。
[2m11s] だから多分この、対応してないんすね、あれね。
[2m12s] 更新したらアプデされるよね。
[2m12s] されないって言われた。
[2m13s] 多分完全に別形式になるんじゃないですかね。
[2m13s] Intel Macのインストーラー。
[2m14s] Intel Macが。
[2m14s] すでに今現状使えないすか？
[2m15s] 多分、多分弾かれると思いますよ途中で。
[2m15s] 多分。
[2m16s] これはこの。
[2m16s] だから多分この、対応してないんすね、あれね。
[2m17s] 更新したらアプデされるよね。
[2m17s] されないって言われた。
[2m18s] 多分完全に別形式になるんじゃないですかね。
[2m18s] Intel Macのインストーラー。
[2m19s] Intel Macが。
[2m19s] すでに今現状使えないすか？
[2m20s] 多分、多分弾かれると思いますよ途中で。
[2m20s] 多分。
[2m21s] これはこの。
[2m21s] だから多分この、対応してないんすね、あれね。
[2m22s] 更新したらアプデされるよね。
[2m22s] されないって言われた。
[2m23s] 多分完全に別形式になるんじゃないですかね。
[2m23s] Intel Macのインストーラー。
[2m24s] Intel Macが。
[2m24s] すでに今現状使えないすか？
[2m25s] 多分、多分弾かれると思いますよ途中で。
[2m25s] 多分。
[2m26s] これはこの。
[2m26s] だから多分この、対応してないんすね、あれね。
[2m27s] 更新したらアプデされるよね。
[2m27s] されないって言われた。
[2m28s] 多分完全に別形式になるんじゃないですかね。
[2m28s] Intel Macのインストーラー。
[2m29s] Intel Macが。
[2m29s] すでに今現状使えないすか？
[2m30s] 多分、多分弾かれると思いますよ途中で。
[2m30s] 多分。
[2m31s] これはこの。
[2m31s] だから多分この、対応してないんすね、あれね。
[2m32s] 更新したらアプデされるよね。
[2m32s] されないって言われた。
[2m33s] 多分完全に別形式になるんじゃないですかね。
[2m33s] Intel Macのインストーラー。
[2m34s] Intel Macが。
[2m34s] すでに今現状使えないすか？
[2m35s] 多分、多分弾かれると思いますよ途中で。
[2m35s] 多分。
[2m36s] これはこの。
[2m36s] だから多分この、対応してないんすね、あれね。
[2m37s] 更新したらアプデされるよね。
[2m37s] されないって言われた。
[2m38s] 多分完全に別形式になるんじゃないですかね。
[2m38s] Intel Macのインストーラー。
[2m39s] Intel Macが。
[2m39s] すでに今現状使えないすか？
[2m40s] 多分、多分弾かれると思いますよ途中で。
[2m40s] 多分。
[2m41s] これはこの。
[2m41s] だから多分この、対応してないんすね、あれね。
[2m42s] 更新したらアプデされるよね。
[2m42s] されないって言われた。
[2m43s] 多分完全に別形式になるんじゃないですかね。
[2m43s] Intel Macのインストーラー。
[2m44s] Intel Macが。
[2m44s] すでに今現状使えないすか？
[2m45s] 多分、多分弾かれると思いますよ途中で。
[2m45s] 多分。
[2m46s] これはこの。
[2m46s] だから多分この、対応してないんすね、あれね。
[2m47s] 更新したらアプデされるよね。
[2m47s] されないって言われた。
[2m48s] 多分完全に別形式になるんじゃないですかね。
[2m48s] Intel Macのインストーラー。
[2m49s] Intel Macが。
[2m49s] すでに今現状使えないすか？
[2m50s] 多分、多分弾かれると思いますよ途中で。
[2m50s] 多分。
[2m51s] これはこの。
[2m51s] だから多分この、対応してないんすね、あれね。
[2m52s] 更新したらアプデされるよね。
[2m52s] されないって言われた。
[2m53s] 多分完全に別形式になるんじゃないですかね。
[2m53s] Intel Macのインストーラー。
[2m54s] Intel Macが。
[2m54s] すでに今現状使えないすか？
[2m55s] 多分、多分弾かれると思いますよ途中で。
[2m55s] 多分。
[2m56s] これはこの。
[2m56s] だから多分この、対応してないんすね、あれね。
[2m57s] 更新したらアプデされるよね。
[2m57s] されないって言われた。
[2m58s] 多分完全に別形式になるんじゃないですかね。
[2m58s] Intel Macのインストーラー。
[2m59s] Intel Macが。
[2m59s] すでに今現状使えないすか？
[3m0s] 多分、多分弾かれると思いますよ途中で。
[3m0s] 多分。
[3m1s] これはこの。
[3m1s] だから多分この、対応してないんすね、あれね。
[3m2s] 更新したらアプデされるよね。
[3m2s] されないって言われた。
[3m3s] 多分完全に別形式になるんじゃないですかね。
[3m3s] Intel Macのインストーラー。
[3m4s] Intel Macが。
[3m4s] すでに今現状使えないすか？
[3m5s] 多分、多分弾かれると思いますよ途中で。
[3m5s] 多分。
[3m6s] これはこの。
[3m6s] だから多分この、対応してないんすね、あれね。
[3m7s] 更新したらアプデされるよね。
[3m7s] されないって言われた。
[3m8s] 多分完全に別形式になるんじゃないですかね。
[3m8s] Intel Macのインストーラー。
[3m9s] Intel Macが。
[3m9s] すでに今現状使えないすか？
[3m10s] 多分、多分弾かれると思いますよ途中で。
[3m10s] 多分。
[3m11s] これはこの。
[3m11s] だから多分この、対応してないんすね、あれね。
[3m12s] 更新したらアプデされるよね。
[3m12s] されないって言われた。
[3m13s] 多分完全に別形式になるんじゃないですかね。
[3m13s] Intel Macのインストーラー。
[3m14s] Intel Macが。
[3m14s] すでに今現状使えないすか？
[3m15s] 多分、多分弾かれると思いますよ途中で。
[3m15s] 多分。
[3m16s] これはこの。
[3m16s] だから多分この、対応してないんすね、あれね。
[3m17s] 更新したらアプデされるよね。
[3m17s] されないって言われた。
[3m18s] 多分完全に別形式になるんじゃないですかね。
[3m18s] Intel Macのインストーラー。
[3m19s] Intel Macが。
[3m19s] すでに今現状使えないすか？
[3m20s] 多分、多分弾かれると思いますよ途中で。
[3m20s] 多分。
[3m21s] これはこの。
[3m21s] だから多分この、対応してないんすね、あれね。
[3m22s] 更新したらアプデされるよね。
[3m22s] されないって言われた。
[3m23s] 多分完全に別形式になるんじゃないですかね。
[3m23s] Intel Macのインストーラー。
[3m24s] Intel Macが。
[3m24s] すでに今現状使えないすか？
[3m25s] 多分、多分弾かれると思いますよ途中で。
[3m25s] 多分。
[3m26s] これはこの。
[3m26s] だから多分この、対応してないんすね、あれね。
[3m27s] 更新したらアプデされるよね。
[3m27s] されないって言われた。
[3m28s] 多分完全に別形式になるんじゃないですかね。
[3m28s] Intel Macのインストーラー。
[3m29s] Intel Macが。
[3m29s] すでに今現状使えないすか？
[3m30s] 多分、多分弾かれると思いますよ途中で。
[3m30s] 多分。
[3m31s] これはこの。
[3m31s] だから多分この、対応してないんすね、あれね。
[3m32s] 更新したらアプデされるよね。
[3m32s] されないって言われた。
[3m33s] 多分完全に別形式になるんじゃないですかね。
[3m33s] Intel Macのインストーラー。
[3m34s] Intel Macが。
[3m34s] すでに今現状使えないすか？
[3m35s] 多分、多分弾かれると思いますよ途中で。
[3m35s] 多分。
[3m36s] これはこの。
[3m36s] だから多分この、対応してないんすね、あれね。
[3m37s] 更新したらアプデされるよね。
[3m37s] されないって言われた。
[3m38s] 多分完全に別形式になるんじゃないですかね。
[3m38s] Intel Macのインストーラー。
[3m39s] Intel Macが。
[3m39s] すでに今現状使えないすか？
[3m40s] 多分、多分弾かれると思いますよ途中で。
[3m40s] 多分。
[3m41s] これはこの。
[3m41s] だから多分この、対応してないんすね、あれね。
[3m42s] 更新したらアプデされるよね。
[3m42s] されないって言われた。
[3m43s] 多分完全に別形式になるんじゃないですかね。
[3m43s] Intel Macのインストーラー。
[3m44s] Intel Macが。
[3m44s] すでに今現状使えないすか？
[3m45s] 多分、多分弾かれると思いますよ途中で。
[3m45s] 多分。
[3m46s] これはこの。
[3m46s] だから多分この、対応してないんすね、あれね。
[3m47s] 更新したらアプデされるよね。
[3m47s] されないって言われた。
[3m48s] 多分完全に別形式になるんじゃないですかね。
[3m48s] Intel Macのインストーラー。
[3m49s] Intel Macが。
[3m49s] すでに今現状使えないすか？
[3m50s] 多分、多分弾かれると思いますよ途中で。
[3m50s] 多分。
[3m51s] これはこの。
[3m51s] だから多分この、対応してないんすね、あれね。
[3m52s] 更新したらアプデされるよね。
[3m52s] されないって言われた。
[3m53s] 多分完全に別形式になるんじゃないですかね。
[3m53s] Intel Macのインストーラー。
[3m54s] Intel Macが。
[3m54s] すでに今現状使えないすか？
[3m55s] 多分、多分弾かれると思いますよ途中で。
[3m55s] 多分。
[3m56s] これはこの。
[3m56s] だから多分この、対応してないんすね、あれね。
[3m57s] 更新したらアプデされるよね。
[3m57s] されないって言われた。
[3m58s] 多分完全に別形式になるんじゃないですかね。
[3m58s] Intel Macのインストーラー。
[3m59s] Intel Macが。
[3m59s] すでに今現状使えないすか？
[4m0s] 多分、多分弾かれると思いますよ途中で。
[4m0s] 多分。
[4m1s] これはこの。
[4m1s] だから多分この、対応してないんすね、あれね。
[4m2s] 更新したらアプデされるよね。
[4m2s] されないって言われた。
[4m3s] 多分完全に別形式になるんじゃないですかね。
[4m3s] Intel Macのインストーラー。
[4m4s] Intel Macが。
[4m4s] すでに今現状使えないすか？
[4m5s] 多分、多分弾かれると思いますよ途中で。
[4m5s] 多分。
[4m6s] これはこの。
[4m6s] だから多分この、対応してないんすね、あれね。
[4m7s] 更新したらアプデされるよね。
[4m7s] されないって言われた。
[4m8s] 多分完全に別形式になるんじゃないですかね。
[4m8s] Intel Macのインストーラー。
[4m9s] Intel Macが。
[4m9s] すでに今現状使えないすか？
[4m10s] 多分、多分弾かれると思いますよ途中で。
[4m10s] 多分。
[4m11s] これはこの。
[4m11s] だから多分この、対応してないんすね、あれね。
[4m12s] 更新したらアプデされるよね。
[4m12s] されないって言われた。
[4m13s] 多分完全に別形式になるんじゃないですかね。
[4m13s] Intel Macのインストーラー。
[4m14s] Intel Macが。
[4m14s] すでに今現状使えないすか？
[4m15s] 多分、多分弾かれると思いますよ途中で。
[4m15s] 多分。
[4m16s] これはこの。
[4m16s] だから多分この、対応してないんすね、あれね。
[4m17s] 更新したらアプデされるよね。
[4m17s] されないって言われた。
[4m18s] 多分完全に別形式になるんじゃないですかね。
[4m18s] Intel Macのインストーラー。
[4m19s] Intel Macが。
[4m19s] すでに今現状使えないすか？
[4m20s] 多分、多分弾かれると思いますよ途中で。
[4m20s] 多分。
[4m21s] これはこの。
[4m21s] だから多分この、対応してないんすね、あれね。
[4m22s] 更新したらアプデされるよね。
[4m22s] されないって言われた。
[4m23s] 多分完全に別形式になるんじゃないですかね。
[4m23s] Intel Macのインストーラー。
[4m24s] Intel Macが。
[4m24s] すでに今現状使えないすか？
[4m25s] 多分、多分弾かれると思いますよ途中で。
[4m25s] 多分。
[4m26s] これはこの。
[4m26s] だから多分この、対応してないんすね、あれね。
[4m27s] 更新したらアプデされるよね。
[4m27s] されないって言われた。
[4m28s] 多分完全に別形式になるんじゃないですかね。
[4m28s] Intel Macのインストーラー。
[4m29s] Intel Macが。
[4m29s] すでに今現状使えないすか？
[4m30s] 多分、多分弾かれると思いますよ途中で。
[4m30s] 多分。
[4m31s] これはこの。
[4m31s] だから多分この、対応してないんすね、あれね。
[4m32s] 更新したらアプデされるよね。
[4m32s] されないって言われた。
[4m33s] 多分完全に別形式になるんじゃないですかね。
[4m33s] Intel Macのインストーラー。
[4m34s] Intel Macが。
[4m34s] すでに今現状使えないすか？
[4m35s] 多分、多分弾かれると思いますよ途中で。
[4m35s] 多分。
[4m36s] これはこの。
[4m36s] だから多分この、対応してないんすね、あれね。
[4m37s] 更新したらアプデされるよね。
[4m37s] されないって言われた。
[4m38s] 多分完全に別形式になるんじゃないですかね。
[4m38s] Intel Macのインストーラー。
[4m39s] Intel Macが。
[4m39s] すでに今現状使えないすか？
[4m40s] 多分、多分弾かれると思いますよ途中で。
[4m40s] 多分。
[4m41s] これはこの。
[4m41s] だから多分この、対応してないんすね、あれね。
[4m42s] 更新したらアプデされるよね。
[4m42s] されないって言われた。
[4m43s] 多分完全に別形式になるんじゃないですかね。
[4m43s] Intel Macのインストーラー。
[4m44s] Intel Macが。
[4m44s] すでに今現状使えないすか？
[4m45s] 多分、多分弾かれると思いますよ途中で。
[4m45s] 多分。
[4m46s] これはこの。
[4m46s] だから多分この、対応してないんすね、あれね。
[4m47s] 更新したらアプデされるよね。
[4m47s] されないって言われた。
[4m48s] 多分完全に別形式になるんじゃないですかね。
[4m48s] Intel Macのインストーラー。
[4m49s] Intel Macが。
[4m49s] すでに今現状使えないすか？
[4m50s] 多分、多分弾かれると思いますよ途中で。
[4m50s] 多分。
[4m51s] これはこの。
[4m51s] だから多分この、対応してないんすね、あれね。
[4m52s] 更新したらアプデされるよね。
[4m52s] されないって言われた。
[4m53s] 多分完全に別形式になるんじゃないですかね。
[4m53s] Intel Macのインストーラー。
[4m54s] Intel Macが。
[4m54s] すでに今現状使えないすか？
[4m55s] 多分、多分弾かれると思いますよ途中で。
[4m55s] 多分。
[4m56s] これはこの。
[4m56s] だから多分この、対応してないんすね、あれね。
[4m57s] 更新したらアプデされるよね。
[4m57s] されないって言われた。
[4m58s] 多分完全に別形式になるんじゃないですかね。
[4m58s] Intel Macのインストーラー。
[4m59s] Intel Macが。
[4m59s] すでに今現状使えないすか？
[5m0s] 多分、多分弾かれると思いますよ途中で。
[5m0s] 多分。
[5m1s] これはこの。
[5m1s] だから多分この、対応してないんすね、あれね。
[5m2s] 更新したらアプデされるよね。
[5m2s] されないって言われた。
[5m3s] 多分完全に別形式になるんじゃないですかね。
[5m3s] Intel Macのインストーラー。
[5m4s] Intel Macが。
[5m4s] すでに今現状使えないすか？
[5m5s] 多分、多分弾かれると思いますよ途中で。
[5m5s] 多分。
[5m6s] これはこの。
[5m6s] だから多分この、対応してないんすね、あれね。
[5m7s] 更新したらアプデされるよね。
[5m7s] されないって言われた。
[5m8s] 多分完全に別形式になるんじゃないですかね。
[5m8s] Intel Macのインストーラー。
[5m9s] Intel Macが。
[5m9s] すでに今現状使えないすか？
[5m10s] 多分、多分弾かれると思いますよ途中で。
[5m10s] 多分。
[5m11s] これはこの。
[5m11s] だから多分この、対応してないんすね、あれね。
[5m12s] 更新したらアプデされるよね。
[5m12s] されないって言われた。
[5m13s] 多分完全に別形式になるんじゃないですかね。
[5m13s] Intel Macのインストーラー。
[5m14s] Intel Macが。
[5m14s] すでに今現状使えないすか？
[5m15s] 多分、多分弾かれると思いますよ途中で。
[5m15s] 多分。
[5m16s] これはこの。
[5m16s] だから多分この、対応してないんすね、あれね。
[5m17s] 更新したらアプデされるよね。
[5m17s] されないって言われた。
[5m18s] 多分完全に別形式になるんじゃないですかね。
[5m18s] Intel Macのインストーラー。
[5m19s] Intel Macが。
[5m19s] すでに今現状使えないすか？
[5m20s] 多分、多分弾かれると思いますよ途中で。
[5m20s] 多分。
[5m21s] これはこの。
[5m21s] だから多分この、対応してないんすね、あれね。
[5m22s] 更新したらアプデされるよね。
[5m22s] されないって言われた。
[5m23s] 多分完全に別形式になるんじゃないですかね。
[5m23s] Intel Macのインストーラー。
[5m24s] Intel Macが。
[5m24s] すでに今現状使えないすか？
[5m25s] 多分、多分弾かれると思いますよ途中で。
[5m25s] 多分。
[5m26s] これはこの。
[5m26s] だから多分この、対応してないんすね、あれね。
[5m27s] 更新したらアプデされるよね。
[5m27s] されないって言われた。
[5m28s] 多分完全に別形式になるんじゃないですかね。
[5m28s] Intel Macのインストーラー。
[5m29s] Intel Macが。
[5m29s] すでに今現状使えないすか？
[5m30s] 多分、多分弾かれると思いますよ途中で。
[5m30s] 多分。
[5m31s] これはこの。
[5m31s] だから多分この、対応してないんすね、あれね。
[5m32s] 更新したらアプデされるよね。
[5m32s] されないって言われた。
[5m33s] 多分完全に別形式になるんじゃないですかね。
[5m33s] Intel Macのインストーラー。
[5m34s] Intel Macが。
[5m34s] すでに今現状使えないすか？
[5m35s] 多分、多分弾かれると思いますよ途中で。
[5m35s] 多分。
[5m36s] これはこの。
[5m36s] だから多分この、対応してないんすね、あれね。
[5m37s] 更新したらアプデされるよね。
[5m37s] されないって言われた。
[5m38s] 多分完全に別形式になるんじゃないですかね。
[5m38s] Intel Macのインストーラー。
[5m39s] Intel Macが。
[5m39s] すでに今現状使えないすか？
[5m40s] 多分、多分弾かれると思いますよ途中で。
[5m40s] 多分。
[5m41s] これはこの。
[5m41s] だから多分この、対応してないんすね、あれね。
[5m42s] 更新したらアプデされるよね。
[5m42s] されないって言われた。
[5m43s] 多分完全に別形式になるんじゃないですかね。
[5m43s] Intel Macのインストーラー。
[5m44s] Intel Macが。
[5m44s] すでに今現状使えないすか？
[5m45s] 多分、多分弾かれると思いますよ途中で。
[5m45s] 多分。
[5m46s] これはこの。
[5m46s] だから多分この、対応してないんすね、あれね。
[5m47s] 更新したらアプデされるよね。
[5m47s] されないって言われた。
[5m48s] 多分完全に別形式になるんじゃないですかね。
[5m48s] Intel Macのインストーラー。
[5m49s] Intel Macが。
[5m49s] すでに今現状使えないすか？
[5m50s] 多分、多分弾かれると思いますよ途中で。
[5m50s] 多分。
[5m51s] これはこの。
[5m51s] だから多分この、対応してないんすね、あれね。
[5m52s] 更新したらアプデされるよね。
[5m52s] されないって言われた。
[5m53s] 多分完全に別形式になるんじゃないですかね。
[5m53s] Intel Macのインストーラー。
[5m54s] Intel Macが。
[5m54s] すでに今現状使えないすか？
[5m55s] 多分、多分弾かれると思いますよ途中で。
[5m55s] 多分。
[5m56s] これはこの。
[5m56s] だから多分この、対応してないんすね、あれね。
[5m57s] 更新したらアプデされるよね。
[5m57s] されないって言われた。
[5m58s] 多分完全に別形式になるんじゃないですかね。
[5m58s] Intel Macのインストーラー。
[5m59s] Intel Macが。
[5m59s] すでに今現状使えないすか？
[6m0s] 多分、多分弾かれると思いますよ途中で。
[6m0s] 多分。
[6m1s] これはこの。
[6m1s] だから多分この、対応してないんすね、あれね。
[6m2s] 更新したらアプデされるよね。
[6m2s] されないって言われた。
[6m3s] 多分完全に別形式になるんじゃないですかね。
[6m3s] Intel Macのインストーラー。
[6m4s] Intel Macが。
[6m4s] すでに今現状使えないすか？
[6m5s] 多分、多分弾かれると思いますよ途中で。
[6m5s] 多分。
[6m6s] これはこの。
[6m6s] だから多分この、対応してないんすね、あれね。
[6m7s] 更新したらアプデされるよね。
[6m7s] されないって言われた。
[6m8s] 多分完全に別形式になるんじゃないですかね。
[6m8s] Intel Macのインストーラー。
[6m9s] Intel Macが。
[6m9s] すでに今現状使えないすか？
[6m10s] 多分、多分弾かれると思いますよ途中で。
[6m10s] 多分。
[6m11s] これはこの。
[6m11s] だから多分この、対応してないんすね、あれね。
[6m12s] 更新したらアプデされるよね。
[6m12s] されないって言われた。
[6m13s] 多分完全に別形式になるんじゃないですかね。
[6m13s] Intel Macのインストーラー。
[6m14s] Intel Macが。
[6m14s] すでに今現状使えないすか？
[6m15s] 多分、多分弾かれると思いますよ途中で。
[6m15s] 多分。
[6m16s] これはこの。
[6m16s] だから多分この、対応してないんすね、あれね。
[6m17s] 更新したらアプデされるよね。
[6m17s] されないって言われた。
[6m18s] 多分完全に別形式になるんじゃないですかね。
[6m18s] Intel Macのインストーラー。
[6m19s] Intel Macが。
[6m19s] すでに今現状使えないすか？
[6m20s] 多分、多分弾かれると思いますよ途中で。
[6m20s] 多分。
[6m21s] これはこの。
[6m21s] だから多分この、対応してないんすね、あれね。
[6m22s] 更新したらアプデされるよね。
[6m22s] されないって言われた。
[6m23s] 多分完全に別形式になるんじゃないですかね。
[6m23s] Intel Macのインストーラー。
[6m24s] Intel Macが。
[6m24s] すでに今現状使えないすか？
[6m25s] 多分、多分弾かれると思いますよ途中で。
[6m25s] 多分。
[6m26s] これはこの。
[6m26s] だから多分この、対応してないんすね、あれね。
[6m27s] 更新したらアプデされるよね。
[6m27s] されないって言われた。
[6m28s] 多分完全に別形式になるんじゃないですかね。
[6m28s] Intel Macのインストーラー。
[6m29s] Intel Macが。
[6m29s] すでに今現状使えないすか？
[6m30s] 多分、多分弾かれると思いますよ途中で。
[6m30s] 多分。
[6m31s] これはこの。
[6m31s] だから多分この、対応してないんすね、あれね。
[6m32s] 更新したらアプデされるよね。
[6m32s] されないって言われた。
[6m33s] 多分完全に別形式になるんじゃないですかね。
[6m33s] Intel Macのインストーラー。
[6m34s] Intel Macが。
[6m34s] すでに今現状使えないすか？
[6m35s] 多分、多分弾かれると思いますよ途中で。
[6m35s] 多分。
[6m36s] これはこの。
[6m36s] だから多分この、対応してないんすね、あれね。
[6m37s] 更新したらアプデされるよね。
[6m37s] されないって言われた。
[6m38s] 多分完全に別形式になるんじゃないですかね。
[6m38s] Intel Macのインストーラー。
[6m39s] Intel Macが。
[6m39s] すでに今現状使えないすか？
