はい、ありがとうございます。
[00:05:52] あ、そうか。もしかしたら予定、予定入ってなかったかな？
[26:53:07] たくさん紹介してくれたらたくさん相談できるし、ね、あの、タクミ君パソコン相談できますよつったら、意外と普通に来るかもしれない。
[27:01:13] ああ、はいはいはいはいはい。
[27:03:13] で、それがまたコンテンツとなるじゃないですか。それこそ録画して議事録作ってブログにしとけば、あ、こういう風な、え、業種業態の人にはこういうパソコンのこういうスペックがおすすめですよみたいなコンテンツができる。
[27:14:55] ああ、なるほど。
[27:15:68] うんうん。
[27:16:21] 無駄が1個もないね、これ。
[27:17:96] 2番だしかできちゃう。
[27:20:96] 2番だ。
[27:21:49] しかも。
[27:25:56] なるほどね。
[27:26:09] 議事録で動画ブログ。
[27:27:85] うんうん。
[27:28:49] あ、もう、あ、で、サービス自体だからめちゃくちゃシンプルになるので、毎週水曜日のライブで、ま、その最新情報とかいろんなマニアックな話ををしつつ、もう初月無料だから試してねでどんどん入ってくる。で、月2回のセミナープラスグルコンをやってくと、なんかワイワイガヤガヤと皆さんコミュニケーションを取りながらやってくうちに、まあ、初回の人も、あ、楽しいから残ろう。嫌だから辞めようって感じで分岐してって、残った人だけどんどんワイワイと増えてくる。で、友達ぜひ紹介してくださいって言って、1人紹介ごとに個別相談、あの、お好きな人を選んでてきできますよみたいなね。で、やってったら、もうそれだけでネタが無限に溜まるし、え、どんどん広がってくるから、ま、増えすぎた時が問題なぐらいで、うん、一応キャップを決めといて、ね、なんか、100人までですとか、始めの時はやっててもいいかもしれないですけどね。うん。
[27:32:04] うんうんうんうんうん。
[27:54:32] うんうんうん。
[28:13:59] うんうんうんうん。
[28:21:55] ああ。
[28:23:44] ええ、あ、でもあれですね。
[28:24:29] 1回の講座でのなんか大体のその上限ってどれぐらいあったすか？
[28:32:79] うんうんうん。
[28:33:14] 1回上限って。
[28:33:65] あ、あの、えーと、1回の、そのセミナーとか開く時の、えーっと、その、なんだろ、大体抱えきれる人数っていうか。
[28:41:92] あ、でもそこはなんだろうコミュニティとかそのやり方次第で、例えば僕これ入ってるYCSってコミュニティは600人いるんですね、所属してるのが。でも、そのいったグルコンとか入ってくるのは数10人しかいないんですよ。で、セミナーで来るのは2、300人入ってきたりとか来るんですけど、でもそこで大体顔出ししない人が半分以上だし。で、大体アクティブにコメントとかチャットしてくるのはやっぱ数10人なんですよ。だから意外と2、300人いても本当に毎日、何か顔出す人は1割ぐらい。あ、あとはなんか、え、アーカイブでて見たりとか必要な時だけ出てくるとか、え、ま、見てて自習して自分で手を動かしてる。あとはYCSでうまいなと思ったのは、えーっと、MMGってのをやってて、マスターマインドグルー プってそのグループを割り振ってグループ内で、お互いに学びあうってことをやってるのね。だから人数増えてきたらそういうMMG方式にすると、え、お互いにコンサルしあみたいな、その要はえ、参加者同士のグループで、え、会を、あの、グループを作って、そのグループで、え、1ヶ月間とかなんかそういうテーマとか決めてやってもらうみたいななんかそういうのをやってるとこもありますね。ま、ただ始めはいらないと思うんでシンプルに1対1で提供してくれれば十分かなって感じで。
[28:50:52] うんうんうんうんうん。
[29:02:64] うんうんうんうん。
[29:07:37] うんうんうんうん。
[29:14:68] うんうんうんうん。
[29:22:74] うんうんうんうん。
[29:26:38] うんうんうんうん。
[29:34:61] うんうんうんうん。
[29:53:77] うんうんうんうん。
[29:58:24] なるほどね。
[30:00:81] で、それでちょっと足りない人は、だって月1万5000円なんだから、もう、あの、追加費用を払って個別コンサル聞いてねっていうので全然いいし。
[30:08:44] なるほどね。
[30:12:12] 分かりました。
[30:12:71] なんかかなり。えーっと、じゃあ、そしたら5月、ゴールデンウィークはさすがに開けたと、5月後半ぐらいなのかな？
[30:23:66] うんうん。
[30:24:20] うんうんうんうん。
[30:24:59] 後半ぐらいかな。うんうん。
[30:27:16] ま、それぐらいまでに、で、ちょっと作り込んで、え、きながら告知も、あ、だからあれですね、先行エントリーで、え、ウェイティングリスト集めて。
[30:31:81] うんうんうんうん。
[30:35:88] なるほど。
[30:37:37] じゃあ、ウェイティングリスト的なのの発表が、えっと、次回のライブですね。
[30:42:73] 次回のライブで。うん。
[30:45:15] で、ウェイティングリストガンガン集めといて、ま、できたら1000人ぐらい集めといて、初回、初回メンバー、初期メンバー100人限定ですみたいにしたら、一気に埋まると思うんで。
[30:54:95] うんうんうんうん。
[30:55:65] しかも無料、1ヶ月無料だからねって話だったら。うん。
[31:00:09] で、入れない方もごめんなさいみたいな感じで。うんうん。
[31:03:13] シェアしたら、あの、入れますとか。
[31:05:81] うんうんうんうんうん。
[31:06:51] ずるいずるい作戦でやっていこうかなと。
[31:10:48] あとあ、うん。えっと、なので、えっと、ツール、1ヶ月ってのは、ツール使える期間が、まず1ヶ月。うんうん。と、えーっと、その講座は2回ってことですね。
[31:14:15] うんうんうんうん。
[31:22:36] そうだね。
[31:23:25] だから無料だけどカード情報はいれてねの方が多分いいと思いますね。
[31:27:64] うんうんうんうんうん。
[31:28:07] 冷やかしがいなくなるんで。
[31:29:45] うーん。
[31:30:16] ああ。
[31:30:84] だから自動で2ヶ月目になったら掛かるようと。ダメな人はこの、あの、マイページからなんか決済停止してねみたいな。ま、よくあるパターン。うん。
[31:33:63] うんうんうんうん。
[31:42:20] うん。そうですね。
[31:43:24] あと、あ、そっか、分配をどうするか。これの、なんだろ、高崎さんところで多分決済すると思うんで。
[31:46:16] うんうんうんうん。
[31:49:98] で、なんかジムとか手数料とかそういう決済手数料とかかかると思うんで、そこを引いて、あの、残りを分配してくみたいな感じ。
[31:57:43] うんうんうんうん。
[31:58:49] で、代理店とかも作ったら、その代理店の手数料とかも引いて上で残った分を、ま、この分配してくみたいな感じ。
[32:05:68] うんうんうんうん。
[32:06:33] で、その割合も大体いつもこれ言ってるのはもう均等割りにしちゃってるんですけど、どういう風にしたらいいすか？
[32:11:47] うんうんうんうん。
[32:11:66] うんと、これでみんな均等になるように働こうでいいと思います、僕は。
[32:15:68] ね。
[32:16:03] それが一番いいですね。
[32:16:76] 多分勝手に得意分野あると思うんで、勝手にやるはずなんで。
[32:21:40] うんうんうんうん。
[32:21:77] 揉めないのが一番ですからね。
[32:23:45] やはり。
[32:24:45] うん。
[32:24:60] めんどくさいんでね。
[32:25:75] うん。
[32:26:47] そうですね。
[32:26:80] 気持ちよくやりましょう。
[32:28:13] なんかこうやって言ったらもうちょっと割合変わるかなとかってあれ、ああいうの嫌なんだ。
[32:33:04] 嫌ですね。
[32:34:10] もうすっきりしちゃった方が。
[32:35:48] うん。
[32:35:71] そうしましょう。
[32:36:03] 僕そういうの、そういうの考え出すとそればっかり考えるようになるんで。
[32:40:48] いや、もうリソースそこに、使いたくない。人間関係とかね、うざいんでね。
[32:44:98] うんうんうんうん。
[32:45:71] あ、よかった。じゃあそうしましょう。
[32:46:68] 割り勘ですよ、やっぱり。
[32:48:65] うん。
[32:48:86] じゃあ、あ、じゃあ、ウェイティングリストのフォームみたいなのもじゃあ用意しといていただいて。
[32:53:08] うんうんうんうん。
[32:53:67] えーっと、次回からアシュラのウェイティングリストが始まるって感じ。
[32:57:34] あ、アシュラ、いいすよね。
[32:58:34] うんうんうんうん。
[32:58:70] これでいいすよね。
[32:59:75] Googleフォームに名前とメアドと電話番号ぐらいを回収して。
[33:05:81] うんうんうんうん。
[33:06:64] すぐ、えーっと、ご連絡、えーっと、開始したらご連絡差し上げますみたいな感じ。
[33:12:44] はいはいはい。
[33:13:58] ま、プラスアンケートとか例えば今どんな悩んでますかとか。
[33:16:03] うんうんうんうん。
[33:18:96] わかりました。
[33:20:01] はい。
[33:21:04] そんな感じで。
[33:22:20] やってけばいいかなと。
[33:23:59] いや、なんかちょっと楽しみになってきたな、これ。できちゃった。
[33:27:54] すごい、すごいしかも人集まりそう。
[33:31:07] 集まりそう。
[33:32:82] なんか、ここまでなんか、どうせだったらなんかね、100人、200人、300人ぐらいいったら結構ね、月4、500万入ってきたら、まあまあ、まあまあいいすよね。
[33:42:36] いや、素晴らしいつって。
[33:43:40] タクミ君なんかどうすんの？何買うの？
[33:46:42] MacBook Air 5台ぐらい買ってもしょうがないんだよな。
[33:50:24] ああ、確かに、なつって。
[33:51:65] Nvidiaも買えちゃうかもしれないね。
[33:53:77] グラボありか？つって。
[33:54:62] それ思って大学のむかつく女子たちに。
[33:58:43] バーンバーンつって。
[34:00:83] ああ。
[34:01:46] 黒い。
[34:02:40] ね。
[34:03:47] で、お金ないって言ってる横で、いや、一応今月は10万ぐらい入ってきたわーいだと。
[34:08:70] いや、本当に。
[34:09:56] おらおら。え、なんだ？会話、会話俺が入っちゃダメだったっけ？あん？
[34:15:37] あのタクミ君は特にあれだね、女の子に気をつけた方がいいかもしれないね。あの寄ってくるから。お金持って目立ってくるとか、マジで。
[34:21:99] あ、あの、いろんな人が来ますから。
[34:23:45] 多分金持ってるってなったら一気にモテるようになる。
[34:26:71] うんうんうんうん。
[34:27:42] モテちゃうから、気を付けて。
[34:28:13] いや、大丈夫です。でも、そう。あの、目立ちはしないんで。
[34:32:51] うんうんうんうん。
[34:33:46] いや、目立っちゃうん、目立っちゃうん、目立っちゃうん。
[34:36:03] 目立っちゃうんだよ、これ。
[34:36:99] なんか、いつのまにか歯が全部ダイヤになっちゃうかもしれない。
[34:39:99] あ。
[34:40:71] それはしたくないな。
[34:43:24] それはしたくないな。
[34:44:27] ほら、ほら、学生をさ、応援するっていうさ、そう、タグ付けがあるからさ。あ、そのさっきの割合のところもさ、何割かこう学生向けにこうね、回すみたいなそういうのを決めて。
[34:54:95] うんうんうんうん。
[34:55:65] だからその、そうそうですね。あの、僕、ま、ちょっとこれはあの、ま、個人的な要望になってしまうんですけど、その、ま、学生の、子供向けに。学生、そうですね。僕とか、え、ま、いっこ下とか、ま、いとこいっぱいいるんですけど、そいつらがAIのサブスクに困らないってのはやっぱり。
[35:01:23] うんうんうんうんうん。
[35:12:87] ね。
[35:13:00] だから積極的にさせたい。
[35:14:00] このメンバー増えるほどこの子供たちのAIの代金が、え、無料になっていって、子供たちがどんどんAIで幅大低いくみたいな。
[35:21:49] ああ、そうそうそう。
[35:22:20] しかもそれがなんかデコボコなね、不登校とか、そういうちょっと何ありな社会不適合の子供たちが天才性発揮できたらめっちゃいいよね。
[35:30:31] うんうんうんうん。
[35:32:66] じゃあ、ここの、あの、代金の一部をそこに使うせていただいてますみたいなこと。
[35:35:86] そうそうそう。
[35:36:20] それは言ってもいいですもんね、別に。
[35:37:22] それ言った方がいいですもん。
[35:38:15] うんうんうんうん。
[35:38:70] で、それで今回皆さんのおかげさまでこういう風にね、100人の子供たちのこのクローコード代が達成することができてこんな作品が生まれましたみたいな。
[35:46:25] そしたら子供たち向けのなんだろ、作曲コンテストとかAI動画、AIで絵画作ろうとか、なんかそんなんでてもいいよね。
[35:54:62] で、そな、そんなAIマスターの子供たちから習おうっていう子供から習う。
[35:59:04] ああ、でもあれですね。
[35:59:75] それで言ったら、最後塾やってます、そういう子たち受けとりますっていうのを最後に言ったら、それで困って相談してくる親もいますもんね。
[36:06:51] そうそうそう。
[36:07:92] だ、そしたらもう不登校の親御さんとかももうどんどん駆け込み寺のように、ここに来たらAI教えてくれるし。
[36:14:64] しかもここにくる人たちの子供ってなんか不登校率高いような気がするんすよ。僕、気のせいすか？
[36:18:61] 高いに決まってるよ。
[36:21:13] なんか、こう、だから、特にこういうコミュニティに来るその積極的に関たの子供ってなんかそういう学校合わないってパターン多くないすか？気のせいかもしれないですけど。
[36:29:94] うん。
[36:30:17] 学校。
[36:30:52] あ、あれですよね。親がそこまであの、学校が正しいっていう価値観を持ってないんだろうな。
[36:35:46] うんうんうんうん。
[36:37:46] 多分企業とかする人はみんなそういう感覚になりやすいから。
[36:41:40] 確かに。
[36:41:64] うんうん。
[36:41:96] 子供が学校行かないって言った時に、それでいいんじゃないかって言っちゃう。
[36:47:89] うんうんうんうん。
[36:48:47] なるほど。
[36:50:41] で、そうすると不登校、不登校肯定される環境の子が多いかもね。
[36:55:68] うんうんうんうん。
[36:56:56] ああ、なんかそこも相性良さそうすよね。
[36:58:65] うんうんうんうん。
[37:00:81] 我々の塾生が。
[37:02:80] そう。
[37:03:88] うんうんうん。
[37:04:47] だ、これってね、多分ね。そう。我々のこのイフ塾もこの、なんか、ビジネス的なサポートを力入れてくと、結果的に塾が潤うっていう。
[37:12:15] うんうんうんうん。
[37:15:39] 確かに。
[37:16:11] 形になってるととてもいいの。
[37:17:40] なんかおこさんの相談は塾でします。うん。
[37:19:64] ああ、いいですね。
[37:20:17] で、そうすればいいすよね。
[37:21:26] そう。で、ビジネスの相談は我々、あの、こっちでしますみたいな。
[37:24:26] うんうんうんうん。
[37:24:69] で、子供入れるんであればその、例えばわからないですけど、ちょっと不和なんかあれあれですけど、あの、例えばお子さんを入塾する時についでに個別相談もちょっとやりますよと、出れば。
[37:27:61] うんうんうんうん。
[37:34:10] 親は親で惜しいですよ、ね。
[37:35:68] うんうんうんうん。
[37:36:61] 子供の相談もできるし、あの、今困ってることもちょっと相談できるとかであれば。
[37:42:37] いいじゃないすか。なんか全部リンクしてきますね。
[37:45:90] うんうんうんうん。
[37:46:58] 過去のやつも出てくるし。
[37:48:32] うんうんうんうん。
[37:48:68] 一帯さ。
[37:49:15] や、それだ、それだ、ちょっと。
[37:50:35] あとはまあ、いつ定例でやるかとか、なんか決めて。
[37:54:99] はい。
[37:55:73] ね、来月に向けて。
[37:58:43] 希望とか候補とかって、ちょっと僕も見なくちゃいけないすけど、何曜日の何時頃がだいたいとか、ま、多分1回目は、あの、どっちかが夜でどっちかが昼みたいな方がなんかいいのかなと思いますね。
[38:12:35] 月2回やるうちに1回は昼、1回は夜ってことですか？
[38:14:48] あ、そうそうそう。
[38:15:23] ああ、なるほど。
[38:17:66] うんうんうんうん。
[38:18:61] 何曜日がこういうのっていいんすかね？
[38:21:55] うんうんうんうん。
[38:23:66] ま、大体、でも、ビジネスの人向けだから平日でいいんじゃないのか。
[38:27:78] ああ、そうですね。
[38:28:47] うんうん。
[38:29:43] でも、平日の夜って感じですかね、そうすると。
[38:32:00] うんうんうんうん。
[38:32:64] 平日夜と平日昼？
[38:35:28] なんか、逆に夜8時とかですかね。
[38:37:66] うんうんうんうん。
[38:39:69] 多分。
[38:40:03] みんなね、ちょっと人仕事終わった後、ね、大体2時間ぐらい、なんか20時22時終わりぐらい目指してセミナーとグルコンやるみたいな。ま、大体、いつも。
[38:49:50] 昼は、昼は大体どれぐらいですか？5時ですか？それとも午前中ですか？
[38:53:59] 大体午後の日中13時14時とかが多い。
[38:58:33] ああ、なるほど。
[38:59:04] うんうん。
[38:59:75] ま、あるいは午前中10時とかでもいいかもしれないし。ま、でも大体午前中みんな忙しいじゃん。なんか。
[39:05:43] うんうんうんうん。
[39:06:57] だから午後の。
[39:07:66] 2時、2時、2時、2時4時とかですか？
[39:10:81] 2時4時、2時4時か3時5時ぐらいな感じ。だから、よくセミナーとかもそんな感じでやってるじゃん。ビジネス向けはセミナーとか。
[39:17:65] うんうん。
[39:18:03] ああ、14時からいいかもね。
[39:19:64] 3時5時かな。
[39:20:70] じゃあ、3時5時。
[39:21:40] 3時5時がいいかな。
[39:22:15] 3時5時と8時10時。
[39:25:75] うんうんうんうん。
[39:26:50] いいっすね。
[39:28:44] なんか水曜、8時10時僕なんとなーく水曜かなって思った。
[39:33:63] ああ、いいっすね。はいはいはい。
[39:34:65] 水曜がいいっすね。
[39:35:54] 水曜を取ると。
[39:36:58] うんうん。
[39:37:32] あの、金曜とかだとね、ちょっとね、みんな、ひどい、ひどい、ひどいっすね。
[39:41:82] うんうんうんうん。
[39:42:36] 水曜がいいっすね。
[39:43:53] 水曜とる。
[39:44:03] 5月20日。
[39:47:64] ああ、いいっすよ。
[39:48:65] この夜のが。
[39:50:31] 20日。
[39:51:71] でも講義？
[39:53:39] いや、毎回その講義アンドグルコンは毎回1回のうちに、その前半と後半でやるってこと。
[39:58:44] うんうんうんうん。
[40:00:03] なんで感覚、1時間が講座、1時間がグルコンですよね。
[40:03:97] そうそうそう。
[40:04:45] イメージ的には。
[40:05:78] ざっくりと。
[40:07:37] うんうんうんうん。
[40:08:44] ま、日によって、グルコンだけ2時間やりますとか要望によって変えちゃってもいいし。
[40:11:79] いいですけど、まあ、基本構成のイメージ、イメージとしてはその2つですよね。
[40:15:39] そうそうそう。
[40:19:40] で、そしたら何だろう、第、え、1234。
[40:23:42] うんうん。
[40:23:59] えっ、5月20日の8時と。
[40:27:07] はい。
[40:28:22] なんだろ。じゃあ、その次の週かな？
[40:31:85] 昼。
[40:32:41] 次の週の。
[40:34:91] えーっと、水曜、これも、水曜にして見る？
[40:40:07] あの、いや、えっと、例えば3時5時でもいいんですか、慣れてく移動しなきゃいけないので。
[40:46:58] あ、そっか。
[40:47:11] 予想で、多分月2回だとすると。
[04:47:97] うんうんうんうん。
[40:50:24] 1週、もう1週飛ばした方が。
[40:53:50] ああ、ですもんね。
[40:54:38] だから5月は別に1回ね、今回初めてだから1回だけ。
[40:57:45] あ、そっか。
[40:58:20] うんうんうんうん。
[40:58:93] うんうんうんうん。
[40:59:75] じゃ、そうすると。
[41:00:27] じゃあ、逆に6月3と6月17みたいなことですね、多分。
[41:03:32] そうそうそう。
[41:03:77] じゃあ、えーっと、5月の、えーっと、20日が3週目だから。
[41:11:05] うんうんうんうん。
[41:12:12] うんうんうんうん。
[41:12:96] あ、3週目、これ。
[41:14:31] だから、はい、3週目、3週目。
[41:15:53] あ、そうか。
[41:16:47] 5月3週になればちょうどいいんじゃない？
[41:18:78] そうっすね。
[41:19:70] うんうんうんうん。
[41:20:25] そうすると6月の3日。
[41:24:93] はい。
[41:26:27] なんか、もうこれ昼と夜はもう決めちゃった方がいいから、と、思ってて。
[41:29:43] うんうんうんうん。
[41:30:17] 毎週。
[41:30:77] で、じゃあ15時17時でいいんじゃないかな？
[41:33:97] うんうんうんうん。
[41:35:86] うんうんうんうん。
[41:36:69] あの、僕、あるテック移動するでしょ、から。
[41:37:79] うんうんうんうん。
[41:38:32] だ、第1、第1水曜日は。
[41:39:79] うんうんうんうん。
[41:40:99] ええ、15時17時で。第3が20時22時と。
[41:46:75] あの、いや、えっと、僕、15時17時でいいんですか、慣れてく移動しなきゃいけないので。
[41:48:84] うんうんうんうん。
[41:51:79] ここに本田さんとかも、本田さんも。
[41:54:62] あ、確かね、確かね。
[41:56:49] あ、そっか。
[41:57:68] えっ、ちょっと待って。ただ、あ、いいんですけど、いや5時からイフ宿やることを考えたら、でも一応参加、僕個人的に口座とすぐに移動ってなんかあんまり良くない気がしてて、なんか慌てるんで。
[42:07:38] うんうんうんうん。
[42:09:18] なんか30分は開けたい。
[42:10:87] いつもね、冷たいんすよ。
[42:13:51] いや、なんか、なんか空気的に、ああ、ま、でも確かにそれでずるずる引きずることはなくなりますけどね。
[42:16:32] うんうんうんうん。
[42:20:80] なんか僕、僕はね、あの、間をあけたくないのね。
[42:24:60] うんうんうんうん。
[42:25:34] あけたくないから、え、じゃあ、
[42:29:16] たくみ大丈夫？その、えっと、10分ぐらい早く抜けて授業行ってもいい、授業逆に。
[42:36:26] うんうんうんうん。
[42:36:71] あ、そうそうそう。
[42:37:37] ああ、わかりました。あ、わかりました。あの、先生が大丈夫であれば。
[42:39:69] うんうんうんうん。
[42:40:34] 逆に、なんか、ここ水曜日はさ、あの、ちょっと僕は少し軽めにしたいからさ、授業とかを。
[42:47:06] うんうんうんうん。
[42:47:50] あ、はい。
[42:48:35] ああ、そうです。
[42:48:65] だから、あの、えーっと、たくみがここはちょっと先入ってて、僕が後から入ってくるみたいなすればいい。
[42:54:99] あ、確かに、それ授業あるんで、すいません、抜けますって言う方がなんかやってるんだなかわい、されませんよね。
[42:59:75] ああ、いいですね。
[43:00:23] うんうんうんうん。
[43:00:84] そうそうそう。
[43:01:21] だから、こうやって、なんかね、他の仕事ある予感をね、ちょっとね、出すの意外と良かったりします。
[43:08:95] あ、オッケーです。オッケーです。オッケーです。じゃあ、それ、あの、それで一応、あの、詰まってて許容できでなれば大丈夫です。いや、ちょっとその間が心配だっただけなので。
[43:14:81] うんうんうんうん。
[43:17:96] はい。
[43:18:72] ありがとうございます。
[43:19:43] えーと、1周目を昼にします？なんかここも決めちゃった方が多分なんか。
[43:23:66] うんうんうんうん。
[43:26:09] じゃあ、それ1回それでいってみようか。まあちょっともしなんかあったら変更は。
[43:31:73] 1週目を昼に、昼の分にして、3週目を夜にする。
[43:36:86] うんうんうんうん。
[43:37:58] ていうイメージですかね。
[43:38:20] いい。
[43:38:86] うんうんうんうん。
[43:41:04] で、えーっと、3時5時昼が。
[43:44:03] うんうんうんうん。
[43:44:48] ちょっとメモりましょうか。絶対忘れる自信があるんで。
[43:46:87] いや、てか普通にGoogleカレンダーにあの定期登録ですよ。これをやるのは。
[43:52:86] じゃあ、招待いただきますか？つって。
[43:55:54] ああ、いいよ。えっと。
[43:57:31] ちょっと待ってね。えーっと。
[44:01:32] 毎週にします。
[44:02:40] それこそサイト上にもなんかイベントカレンダーがあったら便利ですよね。
[44:06:55] そうですね。オッケーです。
[44:08:52] えーっと、要は実施日というか。そんな感じすよね。
[44:11:59] うんうんうんうん。
[44:12:87] 了解です。
[44:14:38] うんうんうんうん。
[44:15:68] アシュラ、アシュラ会。
[44:21:52] あ、いいっすね。
[44:25:01] ﾁﾘﾝﾁﾘﾝﾁﾘﾝﾁﾘﾝ
[44:34:60] そうですね。ちょっとできるだけ。
[44:36:47] 毎週、あ、しまった、毎週じゃない。
[44:39:62] 毎週だったえらいことになりますよ。
[44:42:55] えーっと、基本的にツールを提供しているので、その、そこはノータッチで僕らは基本もう講座に集中、講座とグルコンにメインは集中するっていうイメージができればいいってことですね、言ったら。
[44:54:78] うんうんうんうん。
[45:02:37] ちょっと待ってね。えーっと、5月20日とで、こうなって。
[45:15:98] で、えーっと、カス。あ、カスタムってか、これ毎月で、毎月があるやん。
[45:26:86] あ、ちょっと待って。毎週第1。
[45:30:16] なカレンダー。
[45:31:36] 意外とちょっと。
[45:33:57] こういうのね、結構ミスりがちなんで。
[45:36:85] ちょっと待ってくださいね。
[45:37:74] ああとかって言った後治す。あーめんどくさいとかあるってパターン。
[45:41:19] ないって。
[45:43:24] で、タクミを何紹介、招待すればいいのか？
[45:45:92] はい。
[45:46:27] そしたらもう一度で全部済むので。
[45:50:50] で、これリンクとかその、こういうなんだ、ミーティングツールは、えーっと、Zoomですか？それとも僕らのミートですか？
[46:02:64] うんうんうんうん。
[46:03:07] 何でもいいと思うけど。
[46:05:43] 人数がね、増えてきたらあれだけど。
[46:08:44] なんかでもね、あれ、多分自動でなんか通知とか行く、あの、リンクの通知とか相手に行く。
[46:17:15] ああ、そうそうそう。
[46:17:85] うんうんうんうん。
[46:18:78] あ、で、なんか固定でリンク作って、毎回それが行くようにするとかでいいかなと。
[46:24:26] あ、確かね、確かね。
[46:24:99] うんうんうんうん。
[46:25:70] もう僕らが。
[46:26:15] 手の方が便利だね。
[46:27:07] うんうんうんうん。
[46:27:54] ブレイク。
[46:28:38] ルームとか。
[46:29:56] なんか、わかんないですけど、Zoomの方がいいのかなって家庭もてしちゃってたんですが、その辺はどう意識します？
[46:35:69] あ、いや、別にあの。
[46:40:99] 僕がZoom派じゃないんで、Google Meet派なんで。
[46:45:15] あ、でもミート100人までしか行けなかったんですよね、あれ。
[46:47:49] ま、とりあえず100人行ければいい。
[46:49:05] まあいい、まあいい。
[46:51:75] 確かね。
[46:52:13] うんうんうんうん。
[46:52:68] まあ、そんだけ人増えたら逆に予算もできるし。
[46:54:40] 確か、確か、確か、確か。
[46:55:04] 上位版に行ける。
[46:56:59] そうですね、そうですね。
[46:57:33] ミートってそもそも上位版あるんでしたっけ？
[46:59:74] あると思う、多分。
[47:02:08] だ、聞くことないな。
[47:09:47] 最大100人。あ、最大500人から1000人もいける有料版ですね。あ、本当だ。
[47:15:37] うんうんうんうん。
[47:16:32] こうなって、ビジネス。
[47:19:10] ああ、ワークスペースって言いにしなきゃいけないんですね、その場合は。
[47:22:98] うんうんうんうん。
[47:24:48] ワークスペースだと、今普通のGmailの方のアカウント引き継げないからめんどくさいんだよな。
[47:30:16] ですよね。
[47:32:46] あれ。
[47:33:14] 何これ。
[47:34:49] Zoomは何個かありますよね。
[47:36:20] うんうんうんうん。
[47:38:62] あるね。
[47:39:26] なんか毎球で入。
[47:40:48] 毎月で入。
[47:41:40] 今て何人までのやつでやられてるんですか？
[47:46:00] 今100人。
[47:46:83] 100人。
[47:47:82] ああ。
[47:48:47] で、実践会は300人のプランでやってるから。
[47:51:30] ああ、はいはいはいはい。
[47:52:21] でも300人超えちゃった時あるから。
[47:55:76] もうエンタープライズでしか書いてないんですよ、その横。
[47:58:32] うんうんうんうん。
[47:58:93] そのYCSで使ってるのは2000人だったっけな。
[48:02:85] ああ。
[48:03:68] 次、次、うん。次900何1000ドルぐらいするらしい。
[48:08:70] 1000ドルですか？
[48:09:90] 1000ドルって言ったら。
[48:11:00] いくらだ？
[48:12:47] えーっと、あれ、何これ。
[48:15:47] 何で毎月登録されんのや。
[48:17:80] うんうんうんうん。
[48:18:23] 本当だ。すごい。
[48:21:82] いや、それは行きますよね。
[48:24:59] うんうんうんうん。
[48:26:15] あ、アシュラ超えるかもしれないからね、それはね。
[48:28:64] うんうんうんうん。
[48:30:63] あ、それを。
[48:31:26] だから、グルコンとかね、あの、セミナーもアシュラ君が出てきたらいいよね。Zoomとか、あの、ミートとか。
[48:36:31] うんうんうんうん。
[48:37:12] 確かね。
[48:37:61] ああ、確かね。
[48:38:40] リアルで喋る。
[48:39:07] あしら君、あしら君的にどうなの？みたいなね。
[48:42:07] それはなんとかじゃ。
[48:44:89] てめっちゃとんちんかんなこと言い出したら最後ですけど。
[48:48:18] お前、ちょっとDeepSeekじゃなくて、ちょっとGPTに換えてくれみたいなね、中身。
[48:51:75] ああ。
[48:52:37] ああ、脳味噌交換してくれみたいな。
[48:54:49] ああ、じゃ、クローリーみたいだ。
[48:56:56] うんうんうんうん。
[48:58:43] なんか毎月で登録がされな。
[49:00:03] い、なんだこれ。腹立つな。
[49:03:70] じゃあ、お昼は1回飲みましょう。
[49:06:54] いや、あ、あ、これ。
[49:08:58] これでいけんのか。
[49:10:97] ちょっと待って。
[49:13:58] ちょっと僕トイレ行ってきます。
[49:14:48] あ、はい。
[49:15:06] はい。
[49:16:47] すいません。
[49:17:34] あ、ちなみにミーティングまだ。
[49:18:96] あ、はい。
[49:19:69] 始めます。
[49:20:07] あ、もうでも大体、大体終わり、終わりです。終わりで良いです。
[49:22:83] あ、じゃあまた。
[49:25:21] はい。
[49:25:52] なんかあったらツインツインツネになんだメッセンジャーやり取りしつつ、必要なでZoomとかミーティングはいつでもできる感じなんで。
[49:32:00] うんうんうんうん。
[49:32:86] だってま、ゴールデンウィークでとかでなんとなーくその。
[49:37:37] うんうんうんうん。
[49:38:20] サイトとかのさっきの整備をしておきます。
[49:40:53] ああ、はい。
[49:41:22] はい。
[49:41:69] で、1回決めといた方がいいですか？次、一応。
[49:43:97] あ、決めときましょう。
[49:44:74] あ、えーっと、じゃあ、あの、多分、11の週とか、その20、1個前の週あたりがいいかなって。
[49:49:50] 確かね。
[49:51:41] 思ってたんですが。
[49:52:13] ま、ライブの、アフターミーティングじゃなくて、そのミーティングだけ欲しいもんね。ちょっとね。
[49:55:40] はい。
[49:56:29] 11の週でやりましょうか。
[49:57:42] 10、ちょ、14とかですか？
[49:59:75] 2週間後とかになると。
[50:02:04] うんうんうんうん。
[50:03:22] 14も空いてますよ。
[50:04:88] 14のなんか、これね、14よりできれば。
[50:09:44] ああ、俺15がありがたいんだけど。
[50:12:47] そうです、よ。
[50:13:35] 14からちょっと14から18がちょっと僕。
[50:18:67] ああ。
[50:18:94] あの、妻と旅行に行くっていう。
