[00:20:10] お疲れ様でした。
[26:23:60] あ、これ今画面共有で見て。
[26:25:40] あ、見えてます。
[26:28:44] ま、僕もほぼ同じやつ持ってて。
[26:31:07] ま、これ。
[26:32:00] MacBook Air。
[26:33:38] そうです。あの、今これ、あの、ゴールドになってるんですが、あの、他の色も今んとこ一応在庫は今まだあるっぽくて。
[26:39:53] 25万の6000。
[26:42:15] 20万5600。
[26:44:81] 間違いない。
[26:45:62] 間違いない。
[26:46:20] 予算内だね、うん。
[26:48:54] まあ、あの、全然、あの、まあ、何ですかね、ま、4年ぐらいは少なくとも、あの、ごっついに使えるものにはなるので。
[26:51:24] うん。
[26:55:18] うん。
[27:01:99] で、あの。
[27:03:22] うん。
[27:04:19] 箱とかを撮っといてまた新しいのが出た時にこの買ったのを下取りに出してってやると少し安くして永遠に回せるっていう感じ。
[27:11:40] ああ、ま。
[27:14:55] あとAppleのパソコンは比較的あの、売値も高く付きやすいイメージはあります。
[27:21:40] あと、なんか、ケースとか、なんか充電とか、その辺のなんかあの、アクセサリーっていうんですかね。
[27:27:54] そういうのも、ま、結構たくさん、やっぱメジャーなので、出回ってるイメージはありますね。
[27:35:54] はい。
[27:39:46] ま、Macだったら、ま、これになるかなって感じですね。
[27:42:99] うん。
[27:43:53] ただ、この機能使ったら結構。
[27:46:83] 非常にオススメでございます。
[27:49:47] 私仕事で書類作るのとかに使うくらいだったんですけどパソコン。
[27:57:33] はい。
[27:57:84] そういった使い方も大丈夫ですか？
[28:02:18] ワードとか使ってたんですけど。
[28:04:80] 使ってたっていうのは、あの、ん？使えるかって。
[28:08:44] あの、えーと、MacにはでもデフォルトでワードとかExcelは入ってないんですけど。
[28:13:98] はい。
[28:14:87] あの、Googleドライブを使いましょう。
[28:18:29] あの、Googleに、あの、ほぼ似たようなサービスがあるんですよ。あの、Excelとか、Wordとか、あの、が、まあ、ほぼ同じような感じで無料で使えるっていうのがあるんですよ。
[28:31:22] あ、じゃあ今までと同じように、お、同じっていうか、ま、似た感じで書類とかも作れるってこと？
[28:39:52] ああ、全然そこは、あの、心配はそんなにいらないかなと思います。
[28:42:74] 分かりました。
[28:43:40] 書類作れないパソコンないっす。
[28:47:66] あ、すいません。
[28:48:84] あの。
[28:49:85] もちろん、うん。
[28:51:27] 書類作りが一番パソコンの最低レベル作業なんで。
[28:56:56] はい。
[28:57:24] 大丈夫だと思います。
[28:57:42] ま、もちろん若干作るときの見た目とか違ったり。
[29:01:47] 作れないことはもちろんないからね。
[29:03:68] あ、分かりました。
[29:04:65] はい、分かりました。
[29:07:95] うん。
[29:09:56] まあ大丈夫だよ。
[29:11:15] もしそう、特にあれってことであれば一応このMacBook。
[29:15:37] しかも今出してるのがこのあの、認定整備済み品って言って、あのMacはあの、不具合があったものを回収して、あの、新品同様に直して、安く卸すっていうのをやってまして。
[29:21:00] ああ、そうなんだ。
[29:31:81] そこであるやつなので、通常買うより少し安くなってる。
[29:36:00] ああ、少し安い。
[29:36:99] 安く買えると思います。
[29:39:34] ま、公式が出してる、ま、整備もしてバッテリーも全部新品に替えて、あの、まあ、僕の今のiPad、iPhoneもどっちもこの整備済み品で買ってるので。
[29:49:57] うん。
[29:51:21] うん。
[29:52:84] あの、まあ、えーと、車で言うと、なんかトヨタの認定中古車とかっていうのが、あの、ま、公式がちゃんと修理とかも全部して。
[29:57:67] ああ、なるほどね。
[30:08:52] っていう、まあ、代物にはなるので。
[30:12:47] まあ、よっぽど嫌じゃな、よっぽどその嫌だとかない限りはこれでいいんじゃないかな。
[30:20:00] かなり良いよね。
[30:21:84] うん。
[30:23:44] 分かりました。ありがとうございます。
[30:25:75] はい。
[30:26:41] ありがとう。
[30:27:08] もうね。
[30:27:66] あの、全開できるかな。
[30:28:90] ありがとう、ございます。
[30:33:78] そうするとどうしたらいいかな？とりあえず。
[30:37:78] ありがとうございます。
[30:41:40] それで、あの、ちょっと、あの、こちらとしてはですね、あの、もしパソコン買って頂いたら、できればあの、AIとかもちょっと契約を頂いてですね、あの、どんどんAIを使った開発というところを、あの、楽しみながらやっていけたらなと思ってますので、ちょっとAIとかも別途、あの、契約して頂くとかをオススメしているというか、ちょっとお願いする感じになると思います。
[30:54:87] うん。
[31:09:77] 分かりました。
[31:10:76] 分かりました。
[31:12:50] でもそうするとあの、プログラミングを学ぶっていうところっていくつかハードルというか壁がつまづきポイントみたいなの結構あるんですけど、そういうところをAIを使ってどんどんクリアして、実際的に作る、作るとかそういう力を身につけてくってことが出来るかなと思います。
[31:33:14] うん。
[31:36:11] あれ？そしてクロードが動かないですね、今。
[31:40:41] あ、やっぱ障害になったんじゃないですか。
[31:42:36] 何だと！野球ゲームをじゃあできないじゃないか！今作ろうとしたのに。
[31:50:50] いや、逆にさっきのよく動いてましたね。って思ってたんですけど。
[31:54:02] 確かに。
[31:54:57] え、本当だね。
[31:56:49] 今障害ですね、完全に。
[32:00:23] じゃあパソコン用意してからの方が良いですかね？
[32:04:88] そうですね。
[32:05:32] 一応なんかま、今日も授業の雰囲気とかは見ていただくとかはできますけど。
[32:09:68] なんか、まあ、でもま、ちょっと、暇、暇かも。
[32:15:35] うん。
[32:16:32] パソコンが、いじれないでただ見てるだけとかになっちゃうと。
[32:20:25] 他の人がこうなんかセットアップしてる所にはなるけどね。
[32:24:62] うーん。
[32:26:22] 心配なことがあったら先生に聞いて。
[32:28:45] うん。
[32:30:27] なんか。
[32:31:01] こっちの。
[32:31:73] 小5の人の方が苦手。
[32:35:46] うん。
[32:36:50] えーとね、普段、あ、ここちょ、僕、あの、どこで話すのか知らないんですけど、月曜日の5時か水曜日の5時にやるので、普段。
[32:41:64] うん。
[32:46:75] あの、5時5時、あの、17時ね、時間で言うと。
[32:50:81] はい。
[32:51:30] で、えーと、水曜日の方が人は少ないですよね。
[32:54:19] うん。
[32:55:10] 月曜日の方がま、多いと言ってもそんなあの、学校のクラスほど何十人っているわけではないんだけど。
[33:01:31] ないね。
[33:03:52] だから、ま、どっちでも別に、ま、大丈夫かなとは思うんだけど。
[33:07:69] うん。
[33:08:46] あとオンラインだしな。
[33:11:00] うん。
[33:11:58] だね。
[33:11:93] オンラインでも。
[33:14:15] 顔合わせてあーだらこーだらぐちぐちとか、ま、ま、ないと思うんだけどね。
[33:21:65] 言っちゃってものが言うんだよ、こっちが。
[33:25:92] ん？
[33:26:65] なんか、どういうとこに心配ごとがある感じ？
[33:29:44] うん。
[33:33:97] なんか、なんか嫌なこと言ってきたりするかもしれないから。
[33:36:87] ああ。
[33:37:61] ああ、なんだ。
[33:40:48] どうですかな。
[33:42:25] どうだろうね。
[33:42:85] どっちかって言うと嫌なこと言われてきたやつが多いから嫌なこと言うやつはあんまいないかもな。
[33:49:50] そうだね。そんなな、うん。
[33:53:23] ま、僕の、イメージね。がそんな感じはするけど、そんな、そうだよな。
[33:56:88] それはそう。
[33:57:90] ね。IBU塾って嫌な、なんだった、過去にどういうことあったか分かんないからあれだけども。でもそんななんか、そうだよな。嫌なこと言われてきたやつとか。
[34:04:88] うん。
[34:07:95] 結構多いと、思うから。うん、そんな自分から言うような人はあんまり。
[34:13:00] あとね、僕らのところはみんな、あの、自分のやりたいことをみんなやってるからあんまり人に構わないかもしんない。
[34:22:90] そうだね。
[34:23:61] うん。
[34:23:94] なら大丈夫かもしれない。
[34:25:34] うん、そうだろう。
[34:26:07] まあ、一回見てみてからの方がま、安心ではあるから。
[34:28:90] うん。
[34:29:76] 見てみて、あの、ダメじゃねえかって言ったら、それはあれなんだけども。
[34:34:67] また例えばね、なんか、ま、もしそれで、あの、ま、見てみてここ、あ、なんかちょっとここはなんかガヤガヤしてるなあってなったらじゃあ別のところを見てみてとか、なんか色々そういうので、あの、気に入る場所とかを決めれてくれて構わないから大丈夫だよ。
[34:54:82] うん。
[34:55:50] あれ？
[34:56:49] 同じ時間で部屋分けるとかも多分やることできるはずだと思うから。
[34:58:62] うん。
[35:01:21] ま、あの、でもそんなね、言うようなイメージのある子は僕の見た感じだとあんまりはいないけど。
[35:07:07] 今のところいない。
[35:09:41] だから大丈夫そうだ。
[35:10:48] うん。
[35:11:58] そうです。
[35:11:80] もしやばい怪物みたいなのが入ってきたらそれはちょっとあれなんだけどね。ま、そうじゃない限りは。
[35:15:38] うん。
[35:18:61] あと人数も今まは、えーと、だいたい、それぞれがクラスが5人いないぐらいだもんね。
[35:25:54] そうですね。
[35:26:80] うん。
[35:27:54] 俺のクラスに、俺の日まわりぐらいかな。
[35:31:81] うん。
[35:32:86] うん。
[35:33:48] うん。
[35:34:34] うん。
[35:34:91] だから多分、で、そのそっちの学校の方でもなんかそのぐらいの人数少なかったら大丈夫だったりするわけだろう？
[35:44:69] うん。
[35:44:91] なんか普通のクラスじゃなくて特別支援学級が日まわり。
[35:51:56] そうそう。
[35:52:19] 日まわりって。
[35:52:72] あと5人しかいない。
[35:53:79] 昔、あの、僕が書いてた小学校のひまわりってありましたね。
[35:57:43] あれじゃあ、同じエリアなんじゃないの？
[36:00:23] いや、僕がそれ小学。
[36:02:18] いや、けどいろんな学校に日まわりあるよ。
[36:03:77] 日まわりはね、割とどこにでもありますよ。
[36:05:35] ああ、そうなんだ。
[36:06:05] なるほどね。
[36:07:37] あと僕もあの、えーと、小学校では行ってないけどね。中学校で支援級行ってたよ。
[36:11:79] うん。
[36:12:30] うん。
[36:13:40] だから大丈夫。支援級の話はよく知ってますよ。
[36:16:92] 大体支援級の先生ってね、なんか、つつ。
[36:21:63] うん。
[36:22:15] 大丈夫。一応そこもね、分かるよ。私は。
[36:25:28] 支援級に理解ある方だと思うんで。
[36:28:44] うん。
[36:30:80] あれ？
[36:39:62] うん。
[36:40:02] だから、まあ。
[36:42:36] 今思ってる心配事は多分大丈夫じゃないかなってのが。
[36:46:75] はい。
[36:47:67] 今の見立てだね。
[36:48:38] うん。
[36:49:55] うん。
[36:51:19] そんなとこでしょうか。
[36:52:43] うん。
[36:56:88] これ。
[36:57:48] クロード、あ、もうクロード動かない分にはいいか。授業はコーデックスが動けば何とかなるか。
[37:04:19] あ、そうそうそうそう。
[37:05:81] ま、僕ら止まるかもしれませんよ。
[37:08:42] うん。
[37:12:80] よいしょ。
[37:13:30] じゃあ、どうしよう？え、パソコン、パソコンはあそこから買える、買うで大丈夫そうですか？
[37:20:98] パソコンってどこですか？
[37:22:98] あの多分、あの整備済み、あの開いてたところが、あの整備済み品ってやつなので、ちょっとあれ多分、あの、えーと、数量限、数量限定の、え、現品限りみたいなページなんですよ。なので、あの、結構、あの、うかうかしてるとなくなってたりとか結構あるんで。
[37:24:97] ああ、そうか。
[37:42:49] ええと。
[37:45:03] えーとね、ちょっとあの。
[37:48:00] 今は、金か青か、えーと、なんか空色みたいなカラー選べる。で、あの、なんかメモリは、えーと、一応メモリは24GBっていう風に覚えていただければ。
[37:58:36] 24GB？
[38:04:13] メモリ24GB。
[38:05:07] メモリ24GB、えーと、ストレージ、ストレージ512と。
[38:10:97] 512。
[38:11:90] そうそう。
[38:12:47] その辺り、あの選択する項目があるんですよ。
[38:14:48] あ、いや、あの整備済みは選べない。
[38:17:14] ええ。
[38:18:25] あ、そうなんだ。
[38:20:64] じゃあさっきのリンクをそのまま貼ればいい。踏めばいいってこと。
[38:23:44] あ、そうです、そうです、そうです。
[38:26:00] でなんか、たま、同じ値段でストレージが1テラでメモリが16GBっていうのがあるんですが、でもあの、メモリが多い方がオススメなので。
[38:34:61] うん。
[38:36:13] 20、メモリは24。でストレージは512っていうやつを多分選んでいただければ大丈夫かなと思います。
[38:43:55] お、なんか動き。
[38:45:41] え、色多分金か青か、空色か。ま、僕は空色を使ってるんだけど。
[38:48:47] うん。
[38:52:62] うん。
[38:57:97] うん。
[38:59:43] これか。
[39:02:64] 僕、まあ、カラー付けてるから実質意味ないんだけど。
[39:07:38] うん。
[39:08:66] さっき送ったやつは、その金のやつだね。うん。
[39:19:93] かな。
[39:27:40] あの、ご紹介してもらったのって、あの、パソコンの館とか、コジマとかでは買えないですか？
[39:36:78] えーっと、そっちだと高くなると思います。
[39:39:00] 高くなります。
[39:40:99] あの、整備済み品っていうのはそもそもネットにしかないんですよ。
[39:44:00] え？
[39:44:89] 整備済み品は公式のAppleからしか買えないから。
[39:46:27] そうです。
[39:49:46] それや、そうですね。
[39:50:56] あと高いです。
[39:53:23] なので既にこのこの買い方の時点で少し裏技的な買い方をしてます。
[39:59:58] あ、そうなんですね。
[40:01:21] まあ、ただ公式が出してるものなので大丈夫かなとは思います。
[40:07:46] はい。
[40:08:52] うん。
[40:12:57] うん。
[40:13:21] しかもちょっと、あの、ボタンも探すの大変なんですよ。整備済み品って。ボタンちっちゃい。
[40:15:37] うん。
[40:22:42] 確かに。
[40:23:44] 13インチで。
[40:24:66] 13インチで、はい。13インチのメモリが24。で、えーと、ストレージ、SSDって書いてあると思うんですけど、500GBってのが。
[40:31:77] ああ、はい。
[40:34:44] はい。
[40:36:58] えーと。
[40:37:37] スムーズに開いてるの、いいな。
[40:40:39] えっ、メモリが24GBがいいんです。
[40:48:98] はい。
[40:49:60] メモリ24GBがいいです。
[40:51:79] ストレージが1TB。
[40:54:10] えーと、512です。
[40:55:92] あ、512でも大丈夫ですか？
[40:59:77] はい。
[41:00:19] あの、ま、多いのはいいんですけど、あの、ま、その分高くなってしまうっていうのと、あの、あの、ま、ストレージに関してはどうにかなるので、割と。
[41:09:59] はい。
[41:13:22] そうか、そっか。
[41:14:48] あと選ぶ欄で、10コアCPU、8コアGPU、16コアとかって書いて、10コアGPUって違いあるんですけど、それは。
[41:25:22] えーと、多分メモリが24GBになってれば勝手にいいやつになるはずなので。
[41:31:00] あ、そう、そういうことですか。
[41:33:43] なので、あの、メモリ24GBの512GBのSSDって書いてあるものを選んでいただければ、あの、そのココア系は勝手に良くなるので、そこは見なくて大丈夫だと思います。
[41:43:77] あ、はい、分かりました。
[41:48:54] えっ、パソコン。
[41:49:50] ちょっと今新品で見てるんですけど、ロジックプロってこれ何？
[41:59:36] あ、いらないです。
[42:01:00] いらないです。
[42:01:46] あの。
[42:02:18] 作曲しちゃいます。
[42:03:77] はい。
[42:04:47] 作曲しちゃいます。
[42:05:07] えーと、Final Cut Proは動画編集です。あの、YouTuberの方とかよく使われてるんですけど、ま、そうじゃなければ基本はいらないです。
[42:12:15] あと今AI使えば全部その手のツール作れるんで大丈夫です。
[42:17:34] あ、そうなんですね。
[42:19:68] で、そうやってなんかどんどんアプリとかゲームとかを作るってのが今AI使うと自在にできて、それがまた将来に役立つスキルになるかなって感じです。
[42:31:94] はい、分かりました。
[42:34:64] 整備済み品で買うと、おそらく2万円ぐらいは安いんじゃなかったかなと思います。
[42:38:64] はい。
[42:39:10] ま、今新品で見たら今の仕様で26万くらい。
[42:43:72] ですよね。
[42:44:31] 多分26万円だったらおそらくあの、整備済み品だと、あの、ストレージをワンランク良くできるぐらいになっちゃうので。
[42:51:50] ああ、そうなんですね。
[42:53:77] そっか。
[42:55:99] そっか。
[42:56:49] で、ちょっと今どの仕様で買えばいいのかも分かったので、ちょっとあとで、認定整備済みの方見て、はい、検討していきます。
[42:59:30] うん。
[43:03:68] ちょっとあの、整備済み品のところ、少しあの、ボタンがちっちゃいので、ちょっと探すの大変かもしれないんですが。
[43:10:48] はい。
[43:11:05] ここだけ間違えないようにしていただければ。
[43:14:48] 分かりました。
[43:15:20] うん。
[43:16:85] うん。
[43:17:49] うん。
[43:18:96] で、ぜひね。
[43:19:57] うん、そしたらじゃあ、い。
[43:24:62] うん。
[43:26:40] までやっぱ。
[43:28:15] 大丈夫かなっていう風には。
[43:31:67] ま、多分これでだめってことはまずないはず。
[43:37:37] 今までMac何人勧めてきた、4、5人ぐらい勧めてきたか。
[43:40:71] うん。
[43:44:59] そして今まで何人のAIを、何人にAIを契約させてきたんだ、僕たちは。
[43:52:43] うん。
[43:52:84] 10万円。
[43:53:50] だから。
[43:54:99] 最高の性能で。
[43:56:59] うん。
[44:00:46] 新しいの。
[44:00:84] うん。
[44:01:83] ああ。
[44:02:18] 5000円。
[44:04:18] パソコン。
[44:05:40] あ、そう。
[44:05:95] 整備済み品だったら5000円ぐらい。
[44:07:95] うん。
[44:11:43] こっちでも。
[44:12:96] え、僕もサブ機もっとくっつって。
[44:15:39] うん。
[44:17:34] パソコン壊れた時用にっつって。
[44:21:40] ぶっ壊れた時用のサブ機はいらんやろ。
[44:25:35] なんか、こうなんか怖いんですよね、最近。
[44:26:67] 壊れたら怖い。
[44:27:81] うん。
[44:28:44] なるほど。
[44:28:86] うん。
[44:29:43] おお。
[44:29:67] どうぞ。
[44:30:17] 壊れた時。
[44:30:60] うん。
[44:31:00] どうぞ。
[44:31:38] 壊れた時。
[44:31:89] どうぞ。
[44:32:06] どうぞ。
[44:32:20] どうぞ。
[44:32:32] どうぞ。
[44:32:89] どうぞ。
[44:33:43] どうぞ。
[44:33:63] どうぞ。
[44:34:25] これから値段下がらないとか言われるとちょっと怖くなっちゃう。
[44:39:69] うんうんうん。
[44:40:02] てこねえ。
[44:42:00] お、来た来たか。
[44:42:99] おお、繋がった。
[44:44:66] お、野球できる。
[44:47:64] あ、なんかこれで。
[44:49:57] あ、クロード復活したんですか？
[44:52:72] あ、復活した。
[44:53:77] あ、ちょっと待って。これでこうやってな。今、これちょっと文字ばっかりで荒いけど、AIを動かしてる画面なので。
[44:56:00] 見えるかな？
[45:01:76] はい。
[45:03:68] で、じゃあ、じゃあ、野球のゲームを作っていきたいです。
[45:10:91] うん。
[45:15:87] お願いします。
[45:19:42] まずはボールを打てるようにとか、こんな風に。
[45:26:17] ああ、動画なんだ。
[45:28:55] こんな風に指示を出す。
[45:29:85] どこ。
[45:31:40] そうそうそう。AIがニョキニョキニョキっと作業をし始める。そしてすでにAIはこのRobloxに繋いである。
[45:36:13] うん。
[45:40:99] さあ、どんなことが起こるんだろうか。
[45:44:53] ああ。
[45:44:72] 多分勝手に。
[45:46:42] 勝手に操作されますよね。多分。
[45:48:33] されるはず。
[45:49:74] あ、てかもうできてる。あ、準備は完了している。細かいな。
[45:54:02] え、野球ゲームできてるらしい。行きます。再生。
[45:58:91] 来るぞ。
[46:00:23] お！
[46:01:93] お！
[46:04:77] あ、バット。あ。
[46:07:54] え、どうやって振るんですか、これ？
[46:09:63] あ、あ。
[46:10:68] あ。
[46:11:21] お。
[46:12:96] なんか止まった。
[46:15:37] なんか。
[46:16:66] ああ、ああ、確かに。
[46:18:78] でもこれなんかめっちゃ跳ね返ってきてません？
[46:21:40] ジャストミート、ヒット。
[46:23:44] IBU塾塾の。
[46:25:28] ああ。
[46:26:40] どうだ。こうやって。
[46:31:22] こうやって、でもなんかバットを全然振ってない。てかなこれ。バット持ってんのかこいつは。
[46:35:54] いや、これ透明なバットしか持ってないっすね、こいつ。
[46:37:79] いや。
[46:39:56] なんか変なの持ってる。
[46:41:40] なんすか、これ。ハンマーみたいじゃないですか。
[46:45:00] ハンマーでボール打つとかめっちゃ難しいっすよ。
[46:48:15] あ、一応振れてんだ。
[46:49:99] はん？
[46:50:54] なんかこれがヘンテコなバットっぽいからじゃあこうやって。
[46:53:15] うん。
[46:56:56] バット短すぎ。
[47:02:00] あとえーと、なんか右に立ってんのに遠い方で持ってるよな。普通構え逆じゃねえか、これ。
[47:09:44] うん。
[47:11:42] そうっすね。
[47:13:28] ああ、でも、いやでも右手を注意。
[47:15:28] いや、違う、だっておかしいよ。あの外から振ってるよな、これ。
[47:17:09] ほら。
[47:24:00] こうやって振るもんな。
[47:25:21] アバウトストゥラッシュみたいな振り方してるよな。こうやって。
[47:28:98] うん。
[47:29:85] だから、ちょっとその辺をこうやってバット短すぎ。あと振る方向も逆だし、もっとバットを振ってるような、アニメーション、アニメーションにして。
[47:43:97] うん。
[47:46:45] これが野球場。
[47:48:29] アニメーションにして、みたいなことをこんな風に指示で振っていと。
[47:56:06] うん。
[47:56:70] 今度、おっしゃあ。
[47:58:62] うん。
[47:59:75] あの誰でもバッターボックスジャンプしないっすよ。
[48:02:18] うん。
[48:04:60] ちょっとやりにくいな。
[48:07:95] ほら。
[48:08:70] 全然ボールと。
[48:09:62] これ全部多分ボールとピッチャーの方向いてるんですよ。
[48:11:39] なにもないもんね。
[48:14:64] そっか。
[48:15:20] 全然、野球場、なんもない。
[48:16:79] うん。
[48:18:24] 多分。
[48:18:61] はい。
[48:19:14] ピッチャー向いてボール打った瞬間に叩くってしないと多分。
[48:23:64] ほら。
[48:24:25] あ、あれ？
[48:24:73] っていうかボール、全然ボールじゃない。
[48:25:88] みたいな感じ。
[48:27:03] あ、え、いちゃった。
[48:27:71] あ、いちゃった。
[48:27:97] 全然ボールじゃないってみたいな感じ。
[48:29:43] あ、いっちゃった。
[48:30:00] 全然ボールじゃない。
[48:31:85] あ、これホームランじゃないですか。
[48:34:64] ふー。
[48:36:99] ここは、ここはちゃんと動くんすね。
[48:39:46] ま、謎の、謎の空気の力に。
[48:42:33] 空気飛ばしちゃうな。
[48:43:24] 野球盤みたいに。
[48:44:20] 野球盤みたいに。
[48:44:75] 振ってるから面白そうだな。
[48:45:90] そうでしょ。
[48:46:79] ああ。
[48:47:04] 確かに。
[48:47:75] もっと野球版。
[48:48:58] うん。
[48:50:50] してみたいから面白そう。
[48:51:75] ああ、そっから。
[48:52:68] もっと、野球盤。
[48:56:07] あと。
[48:58:80] 野球盤。
[49:00:81] こうやって今、思い、思いついたことを。
[49:04:84] なんか日本野球場再現させてみたいとか面白そう。
[49:10:80] 日本の野球場。
[49:12:12] うん。
[49:15:32] 日本のなんか、どこにすればいいんだよ。東京ドームにしようかな、この前行ったし。
[49:19:93] あ、い。
[49:20:94] この前行ったんだ、東京ドーム。
[49:23:38] じゃあ、日本の東京ドームを再現した見た目にしたいでしよう。これ無茶振りもどんどん言ってくと野球盤みたいにしたいっていうのと東京ドームを再現した見た目にしたいって言うの言っとくと多分、そこそこそうなるんじゃないかな。
[49:42:07] じゃあ、振りかぶって投げました。打ちました。
[49:45:84] うん。
[49:48:57] うわあ。
[49:49:19] うわあ。
[49:49:57] うわあ。
[49:51:24] 今はこういうようなんだけどね。
[49:56:56] さあ、今AIが指示を、作業をしています。
[50:01:80] マウンド平べった。
[50:04:78] あ、ちょっと。
[50:05:43] ああ、そうか。
[50:07:37] ああ。
[50:09:85] ああ。
[50:11:32] どこ行ったんだ。
[50:13:30] ああ、そっか。
[50:14:78] なるほど。
[50:15:73] うん。
[50:16:85] うん。
[50:17:34] うん。
[50:18:60] うん。
[50:19:93] うん。
[50:20:64] うん。
[50:21:40] うん。
[50:24:62] なんか。
[50:26:48] うん。
[50:28:80] パソコンがね。
[50:30:70] うん、ずっと値上がりする、ま、あんまり下がることはないって聞いちゃうと、本当に怖くなりますよね。
[50:36:99] うんうんうん。
[50:38:62] 下がることはないって。
[50:40:24] ちょっとでも、あの、生田さんが最近言ってるけど、あの、NVIDIA若干欲しい。
[50:46:17] あ、ん？
[50:46:50] 何すか？NVIDIAなんかあります？
[50:47:89] あの、スーパーコンピューター。
[00:49:60] ああ、DDG、DG、DDGXですか。
[00:52:84] 分かります。
[00:53:50] あれ、100万ぐらいですよね。
[00:56:00] 何？
[00:57:04] 90万。
[00:58:19] え、100万ぐらいですよ、確かあれ。
[51:00:80] カートとかにあるんですよ。
[51:02:81] ああ、価格上昇します、これ。
[51:06:84] うん。
[51:07:66] なるほど。
[51:09:44] 何の価格なんだ。
[51:11:15] あ、パソコン工房だったら98万で買えますよ。
[51:14:87] パソコン工房。
[51:16:34] パソコン工房で買えますね。
[51:18:41] ああ、ネットですけどね。
[51:19:97] さようなら、ホームランです。勝利です。
[51:24:99] はい。
[51:26:81] こういうワールドがあるの？
[51:28:77] 自分。
[51:30:17] 自分なんか。
[51:33:63] あ、これ自分で作ったの？
[51:35:55] え、なんかこれ、他の人が作ったやつ、販売、無料で販売してたからそれ使って作った。
[51:43:45] ああ、なるほどね。野球場とかそういうのが配付されてんのか。
[51:48:47] うんうんうんうん。
[51:51:51] ああ。
[51:54:53] ホームラン。
[51:56:58] 確かに、確かにちょっとスパコンいいっすよね。ちょっと夢ありますよね、これ。
[51:58:80] うん。
[52:00:46] これ高くなるんですよね。これ待てば待つほど。
[52:04:78] ああ。
[52:04:88] これでやってたら今のそのMac mini置き型のMac miniでやってるようなことをもっとパワーアップさせれるってことだよな。
[52:13:30] あ、そうです、そうです、そうです。
[52:14:14] ローカル実行ってことだよな。
[52:15:37] はい、できますよ。
[52:18:78] ちょっと。
[52:19:77] 僕買ったら破産するな。
[52:24:26] どうだろう、これ、行くかな。
[52:27:64] うん。
[52:28:44] てかほぼストライクしか出ないじゃん。
[52:31:68] なんかアッシュラで経費で買えんかなってたまに思うんすけど。
[52:35:86] そのパソコン台を貯めてって。
[52:38:43] はい。
[52:39:79] それに使いましょうよじゃダメかな。
[52:41:40] え、僕良いと思うんですけど、ダメっすかね。
[52:43:95] うん。
[52:45:49] これでま、ローカルで置いとけばみんな。
[52:48:65] あれ？
[52:51:75] よいしょ。
[52:52:86] よいしょ。
[52:55:65] そう、なんかでも今先生が言ったみたいな感じで。
[52:59:75] あの野球ゲームは多分。
[53:02:45] まあ、まあ、これは初期の段階だけど。
[53:05:44] ちょっと見えなかったけど。
[53:07:99] うん。
[53:08:52] いや、でもやっぱ基本はこういう。
[53:11:00] ああ。
[53:11:92] こういうことね。
[53:14:26] でも野球盤みたいに。
[53:17:58] ているから。
[53:18:24] うん。
[53:18:67] 多分ちょっとできるんじゃないかな。
[53:20:12] またちょっと編集されるぞ、これ。
[53:22:96] 編集行きますか？
[53:26:40] うん、多分ね、これでね。しばらくはこうやって、作業して、ま、大体待ってばっかりなんだけど。
[53:32:82] なるほど。
[53:34:60] うん。
[53:35:36] 1回打って待って、なんかできたらまたやって、直して、あ、終わりましたよ。終わりました、終わりました、終わりました。
[53:39:69] ああ。
[53:41:73] できまし。
[53:42:30] お、木製バットに変えました。お、どうなったかな。でばだだだだーん。
[53:47:89] お！
[53:50:41] あ、どう、どうもしかしたら。
[53:51:50] うん。
[53:52:18] 野球場っぽいじゃん。お、バット。
[53:54:49] 東京ドームなのに何で人工芝じゃないの？
[53:58:70] そ、そっかよ。
[53:59:90] そこかよ。
[54:01:99] なんか、すげえな、東京ドーム。
[54:03:34] 全然人工芝じゃない。
[54:06:50] バット。
[54:09:56] おりゃ。
[54:12:15] てか振り方。
[54:12:75] 何？
[54:13:30] 東京ドームって言うと、やっぱドームだけじゃん。
[54:15:37] うん。
[54:17:39] どこいったんだよ。
[54:19:62] 確かに。
[54:20:49] 全然。
[54:20:94] フキフキ。
[54:21:73] てかバットの振り方おかしいよ、これ。
[54:24:97] うん。
[54:25:21] バット。
[54:25:92] うん。
[54:26:55] うん。
[54:26:93] うん。
[54:27:49] バット、バットをだって。
[54:28:90] バット。
[54:29:41] バットをだって、左、左打ちは打。
[54:31:70] 左打ち。
[54:32:46] 左打ち。
[54:33:04] うん。
[54:33:38] なのに、よくヒットにできてるな。
[54:34:88] うん。
[54:35:66] だってこのこの立ち方、この持ち方だったら左、左打席じゃないとおかしいよな。
[54:41:99] はい、左打席。
[54:43:08] え、え？
[54:43:72] 左打席。
[54:44:48] 俺左だけど。
[54:45:95] 左打席。
[54:47:39] 左打席ですね。
[54:48:86] あ、これ左打席。
[54:50:30] 右打席じゃないと、おかしい。
[54:51:99] いや、いや、俺は別に左でいい。
[54:56:56] バットの振り方おかしいよな。バットの振り方がおかしい。
[54:59:97] 打つ時に。
[55:01:21] あの、大谷の打ち方が左打ちです。
[55:04:80] 俺も左打ち。
[55:06:44] 大谷の打ち方も左打ち。
[55:09:59] うん。
[55:10:43] 打つ方、打ち方も左打ち。
[55:11:83] えーと、バットの打ち方が外側から内側に。向かっているので、逆にしてもっとバットを振ってるような、アニメーション、アニメーションにして。
[55:12:65] うん。
