[00:00:52] はい 、 おはようございます。
[00:00:54] おはようございます。よろしくお願いします。
[00:45:03] 本当だ。あ、そうだ。なんか、なんかポンポンポンって行くなと思って。そうですね。あ、本当だ、飛ばしました。ごめんなさい。めちゃごめんなさい。ありがとうございます。
[00:45:15] えーっと、それでですね。ちょっと脳みそ特性別の、関わりというところに戻していただいて。じゃあ実際に、ちょっと、えーと、小集団のミニゲームというところで負けそうになって怒って抜けてしまうB君がいます。さあ、じゃあこの子はどんな特性が考えられて、で、その、これに対してどんな関わりをするとよいでしょうか？ちょっとこちらをじゃあ5分ほど考えてみましょう。すいません。
[00:45:53] そうっすよね。なんか。
[00:45:55] ワークないなって思ってました。
[00:45:58] (笑)
[00:46:07] 岡本さんが答えくれるワーキング。
[00:46:15] あ、今日5時10分までかな。
[00:46:16] ああ。
[00:46:16] よいしょ。
[00:46:27] (聞き取り不明)
[00:46:27] (聞き取り不明)
[00:46:27] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:28] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
[00:46:29] (聞き取り不明)
D. [00:47:08] (聞き取り不明)
[00:48:08] (聞き取り不明)
[04:53:18] (聞き取り不明)
[04:53:18] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
[04:53:19] (聞き取り不明)
04:53:19] (聞き取り不明)
