[01:21] こんにちは。
[36:46] うん。
[36:47] うん。
[36:48] うん。
[36:49] うん。
[36:50] うん。
[36:51] うん。
[36:52] うん。
[36:53] うん。
[36:54] うん。
[36:55] うん。
[36:56] うん。
[36:57] うん。
[36:58] うん。
[36:59] うん。
[37:00] うん。
[37:01] うん。
[37:02] うん。
[37:03] うん。
[37:04] うん。
[37:05] うん。
[37:06] うん。
[37:07] うん。
[37:08] うん。
[37:09] うん。
[37:10] うん。
[37:11] うん。
[37:12] うん。
[37:13] うん。
[37:14] うん。
[37:15] うん。
[37:16] うん。
[37:17] うん。
[37:18] うん。
[37:19] うん。
[37:20] うん。
[37:21] うん。
[37:22] うん。
[37:23] うん。
[37:24] うん。
[37:25] うん。
[37:26] うん。
[37:27] うん。
[37:28] うん。
[37:29] うん。
[37:30] うん。
[37:31] うん。
[37:32] うん。
[37:33] うん。
[37:34] うん。
[37:35] うん。
[37:36] うん。
[37:37] うん。
[37:38] うん。
[37:39] うん。
[37:40] うん。
[37:41] うん。
[37:42] うん。
[37:43] うん。
[37:44] うん。
[37:45] うん。
[37:46] うん。
[37:47] うん。
[37:48] うん。
[37:49] うん。
[37:50] うん。
[37:51] うん。
[37:52] うん。
[37:53] うん。
[37:54] うん。
[37:55] うん。
[37:56] うん。
[37:57] うん。
[37:58] うん。
[37:59] うん。
[38:00] うん。
[38:01] うん。
[38:02] うん。
[38:03] うん。
[38:04] うん。
[38:05] うん。
[38:06] うん。
[38:07] うん。
[38:08] うん。
[38:09] うん。
[38:10] うん。
[38:11] うん。
[38:12] うん。
[38:13] うん。
[38:14] うん。
[38:15] うん。
[38:16] うん。
[38:17] うん。
[38:18] うん。
[38:19] うん。
[38:20] うん。
[38:21] うん。
[38:22] うん。
[38:23] うん。
[38:24] うん。
[38:25] うん。
[38:26] うん。
[38:27] うん。
[38:28] うん。
[38:29] うん。
[38:30] うん。
[38:31] うん。
[38:32] うん。
[38:33] うん。
[38:34] うん。
[38:35] うん。
[38:36] うん。
[38:37] うん。
[38:38] うん。
[38:39] うん。
[38:40] うん。
[38:41] うん。
[38:42] うん。
[38:43] うん。
[38:44] うん。
[38:45] うん。
[38:46] うん。
[38:47] うん。
[38:48] うん。
[38:49] うん。
[38:50] うん。
[38:51] うん。
[38:52] うん。
[38:53] うん。
[38:54] うん。
[38:55] うん。
[38:56] うん。
[38:57] うん。
[38:58] うん。
[38:59] うん。
[39:00] うん。
[39:01] うん。
[39:02] うん。
[39:03] うん。
[39:04] うん。
[39:05] うん。
[39:06] うん。
[39:07] うん。
[39:08] うん。
[39:09] うん。
[39:10] うん。
[39:11] うん。
[39:12] うん。
[39:13] うん。
[39:14] うん。
[39:15] うん。
[39:16] うん。
[39:17] うん。
[39:18] うん。
[39:19] うん。
[39:20] うん。
[39:21] うん。
[39:22] うん。
[39:23] うん。
[39:24] うん。
[39:25] うん。
[39:26] うん。
[39:27] うん。
[39:28] うん。
[39:29] うん。
[39:30] うん。
[39:31] うん。
[39:32] うん。
[39:33] うん。
[39:34] うん。
[39:35] うん。
[39:36] うん。
[39:37] うん。
[39:38] うん。
[39:39] うん。
[39:40] うん。
[39:41] うん。
[39:42] うん。
[39:43] うん。
[39:44] うん。
[39:45] うん。
[39:46] うん。
[39:47] うん。
[39:48] うん。
[39:49] うん。
[39:50] うん。
[39:51] うん。
[39:52] うん。
[39:53] うん。
[39:54] うん。
[39:55] うん。
[39:56] うん。
[39:57] うん。
[39:58] うん。
[39:59] うん。
[40:00] うん。
[40:01] うん。
[40:02] うん。
[49:00] うん。
[49:01] 僕がもう1個、あの、作りたいなと思ったのはエバーグリーンコンテンツクリエイターですね。
[49:08] エバーグリーン。
[49:09] 10年間腐らない、10年間腐らないような、要は例えば、例えば僕ダイエットレシピって言ったらレシピって100年間でも腐らないじゃないですか。
[49:18] うん。
[49:19] こう、ストック性の高いコンテンツを作っていくのが1つと、そうすると、ま、あとはフロートレンド情報組み入れてエバーグリーンのコンテンツにトレンド情報ミックスして、え、毎日ブログ書くSNS発信する、あるいはトレンドで束ねて2026年夏号とか8月号とかって言って勝手にえ、束ねて作っていくとかできると、ストックコンテンツ1個作っておくと無限に新しいコンテンツが生み出せるという。
[49:53] おお。
[49:53] そう。
[49:54] 元ネタは本物のガチの自分のストックコンテンツとか作っておけば、あとは今はこれがトレンドで流行ってるっていうのをくっつけてくと、え、無限にコンテンツが、なんだろう、切り口が作れるって感じですね。
[50:07] 例えば、えっと、余計な糖分が入ってないプレーンなヨーグルトとかを毎日食べ続けるっていうのは、えっと、揺るぎないぐらい健康にいいことじゃないですか、きっと。
[50:23] はいはい。
[50:24] そういうようなことってことですよね。
[50:26] はい。
[50:27] もうそうですね。
[50:27] はいはい。
[50:28] ずっと、ずっと変わらない復興圏の。
[50:31] うん。
[50:32] はい。
[50:33] はい。
[50:34] と、例えば今、じゃあ例えばMCTオイルっていうのが流行ってまして、そうトレンドなことが入ってきたら、じゃあMCTオイルって何なの？プラスそのヨーグルト、無糖のヨーグルトを、え、の作り方とかをミックスしてMCTオイルをかけたヨーグルトのレシピをの、え、発信とか。
[50:55] みたい。
[50:56] それでね、あの、それによって例えば、ま、なんかMCTオイルとヨーグルトかけ合わせると、なんかのある栄養素が膨らんでとかなるといいっすよね。ま、その逆もあるんすけどね。
[51:08] ああ、確かに。
[51:09] なんか意外とよ。
[51:11] うん。
[51:12] うん。
[51:12] 意外とヨーグルトとブルーベリーを合わせるとブルーベリーの栄養素が損なわれるとかなんかあったりするらしいんで。
[51:19] うん。
[51:20] なんか意外、意外なやつ。
[51:22] そうそうそう。
[51:23] よさそうなのに、みたいな結構あったりし、で、そういうので実際なんかもう食とかって結構正解までいける、正解までいってるんじゃないかなと思ってて。
[51:36] 論文とかもね、あの、エビデンスの信頼度が高いやつ持ってくる。
[51:41] うん。
[51:42] うん。
[51:42] ね、そういうのあったら結構いい感じに作れそうですよね。
[51:46] うん。
[51:47] で、健康系結構ちょっと怖いとこはね、薬事法とかいろいろあるんで。
[51:50] うん。
[51:51] うん。
[51:52] でもこれとこれとか。
[51:55] 食べとけば間違い。
[51:58] うん。
[51:59] があって、それでえっと、これとこれとか。
[52:01] うん。
[52:02] うん。
[52:03] うん。
[52:04] うん。
[52:05] うん。
[52:06] うん。
[52:07] うん。
[52:08] うん。
[52:09] うん。
[52:10] うん。
[52:11] うん。
[52:12] うん。
[52:13] うん。
[52:14] うん。
[52:15] うん。
[52:16] うん。
[52:17] うん。
[52:18] うん。
[52:19] うん。
[52:20] うん。
[52:21] うん。
[52:22] うん。
[52:23] うん。
[52:24] うん。
[52:25] うん。
[52:26] うん。
[52:27] うん。
[52:28] うん。
[52:29] うん。
[52:30] うん。
[52:31] うん。
[52:32] うん。
[52:33] うん。
[52:34] うん。
[52:35] うん。
[52:36] うん。
[52:37] うん。
[52:38] うん。
[52:39] うん。
[52:40] うん。
[52:41] うん。
[52:42] うん。
[52:43] うん。
[52:44] うん。
[52:45] うん。
[52:46] うん。
[52:47] うん。
[52:48] うん。
[52:49] うん。
[52:50] うん。
[52:51] うん。
[52:52] うん。
[52:53] うん。
[52:54] うん。
[52:55] うん。
[52:56] うん。
[52:57] うん。
[52:58] うん。
[52:59] うん。
[53:00] うん。
[53:01] うん。
[53:02] うん。
[53:03] うん。
[53:04] うん。
[53:05] うん。
[53:06] うん。
[53:07] うん。
[53:08] うん。
[53:09] うん。
[53:10] うん。
[53:11] うん。
[53:12] うん。
[53:13] うん。
[53:14] うん。
[53:15] うん。
[53:16] うん。
[53:17] うん。
[53:18] うん。
[53:19] うん。
[53:20] うん。
[53:21] うん。
[53:22] うん。
[53:23] うん。
[53:24] うん。
[53:25] うん。
[53:26] うん。
[53:27] うん。
[53:28] うん。
[53:29] うん。
[53:30] うん。
[53:31] うん。
[53:32] うん。
[53:33] うん。
[53:34] うん。
[53:35] うん。
[53:36] うん。
[53:37] うん。
[53:38] うん。
[53:39] うん。
[53:40] うん。
[53:41] うん。
[53:42] うん。
[53:43] うん。
[53:44] うん。
[53:45] うん。
[53:46] うん。
[53:47] うん。
[53:48] うん。
[53:49] うん。
[53:50] うん。
[53:51] うん。
[53:52] うん。
[53:53] うん。
[53:54] うん。
[53:55] うん。
[53:56] うん。
[53:57] うん。
[53:58] うん。
[53:59] うん。
[54:00] うん。
[54:01] うん。
[54:02] うん。
54:03] そう。高崎さんが今やってるように、え、AIかけるこのサイクリングっていうのをなんかエバーグリーンコンテンツにしてったら、結局要は、あの、AI使って、それでその分自転車に乗る健康法ですみたいな。で、ダイエットもできて、めちゃくちゃ今なんか健康的に躍動的ですみたいな話をベースにして、あとは今こういうね、自転車切り口だったら自転車のそういった新しい、新しい自転車が出ましたとか。そういう、え、マシン的な情報かもしれないし、で、AIの情報で、うん、中国のこういうAIが出てきた。で、それ、それによってますますAIに委ねられることができて、しかもコストも安くてって話と、その間自転車乗ってやれば健康になりますよって話もできるしっていう。うん。ね、なんかこういう発信ずっと続けてたら、ある日突然中国とかから中国のやばいAI電動自転車みたいな案件とか来ないすかね。
[53:01] そうっすね。
[53:02] でも、あれっすね。
[53:03] 僕あの、スタンディングデスク、電動昇降式のスタンディングデスクと、あの、その電動で上に上げた分、開いた隙間にスポッと入るエアロバイクを搭載して、立ちながらも仕事できるし、エアロバイクこぎながらも、え、仕事ができるというデスクをその中国のメーカーから、もう今、10台ぐらい通算もらってるのかな。
[53:31] え、マジっすか。
[53:33] そう、あの、僕にあの、実際に試してモニターになってもらって、で、それをブログ記事に書いてください。そしたらタダであげますっていう案件、あの、企業案件みたいなやつが。で、それを1回やったら、これも試してほしいんですけど、これも、この椅子も差し上げるんで座ってみてよかったら写真撮ってブログ書いてくれません。あ、いいですよつってやったらもう、通算、もううちエアロバイク何台もあって、壊れたら捨てたりするんですけど。
[53:58] え、えい、ちょ、ちょっと待ってくださ。
[54:00] すごい。
[54:01] まだね。
[54:02] まだだよね。
[54:03] うー、なるほど。
[54:04] いいかもね。
[54:05] うん。
[54:06] そう。なんか、もう無駄にいっぱいもらうくれるんで。
[54:09] いらないです。
[54:10] って断ったりしてるんすけど。
[54:13] さすがに転売したら可愛そうだから。
[54:16] うん。
[54:17] そうね。
[54:17] 天井。
[54:18] 自転車、自転車もいいすね。
[54:20] 事情でね。事情で。
[54:21] 面白い。
[54:21] あ、いいっすね。
[54:22] 論文も解説とか。
[54:25] 論文も。
[54:25] そう。
[54:25] で、そので、あの。
[54:25] うん。
[54:26] 開発のコツ。
[54:27] そう。
[54:27] いいすね。
[54:28] ああ。
[54:29] で、それで、あ。
[54:29] これでいいすね。
[54:30] あの。
[54:30] で、これ、ちょっと。
[54:30] うん。
[54:31] その辺で解説を。
[54:31] その辺を。
[54:32] ああ。
[54:32] はい。
[54:33] なんだ。
[54:33] ちょっとなんか。
[54:34] ええ。
[54:34] ええ。
[54:35] ちょっといいすね。
[54:35] ああ。
[54:35] はい。
[54:36] ちょっとそこも。
[54:36] ちょっとそこも。
[54:37] あ、で、そうっすね。
[54:37] いいすね。
[54:37] ちょっと、なんか。
[54:38] で、その中で。
[54:38] いいすね。
[54:39] なんだ。
[54:39] そうっすね。
[54:39] で。
[54:40] いいすね。
[54:40] ああ。
[54:40] ああ。
[54:41] で。
[54:41] いいすね。
[54:41] いいすね。
[54:42] で、その中で。
[54:42] で、そうっすね。
[54:42] うん。
[54:43] で。
[54:43] いいすね。
[54:43] うん。
[54:43] いいすね。
[54:44] うん。
[54:44] いいすね。
[54:45] うん。
[54:45] いいすね。
[54:46] うん。
[54:46] いいすね。
[54:47] うん。
[54:47] うん。
[54:48] うん。
[54:48] うん。
[54:49] うん。
[54:49] うん。
[54:50] うん。
[54:50] うん。
[54:51] うん。
[54:51] うん。
[54:52] うん。
[54:52] うん。
[54:53] うん。
[54:53] うん。
[54:54] うん。
[54:54] うん。
[54:55] うん。
[54:55] うん。
[54:56] うん。
[54:56] うん。
[54:57] うん。
[54:57] うん。
[54:58] うん。
[54:58] うん。
[54:59] うん。
[54:59] うん。
[55:00] うん。
[55:00] うん。
[55:01] うん。
[55:01] うん。
[55:02] うん。
[55:02] うん。
[55:03] うん。
[55:03] うん。
[55:04] うん。
[55:04] うん。
[55:05] うん。
[55:05] うん。
[55:06] うん。
[55:06] うん。
[55:07] うん。
[55:07] うん。
[55:08] うん。
[55:08] うん。
[55:09] うん。
[55:09] うん。
[55:10] うん。
[55:10] うん。
[55:11] うん。
[55:11] うん。
[55:12] うん。
[55:12] うん。
[55:13] うん。
[55:13] うん。
[55:14] うん。
[55:14] うん。
[55:15] うん。
[55:15] うん。
[55:16] うん。
[55:16] うん。
[55:17] うん。
[55:17] うん。
[55:18] うん。
[55:18] うん。
[55:19] うん。
[55:19] うん。
[55:20] うん。
[55:20] うん。
[55:21] うん。
[55:21] うん。
[55:22] うん。
[55:22] うん。
[55:23] うん。
[55:23] うん。
[55:24] うん。
[55:24] うん。
[55:25] うん。
[55:25] うん。
[55:26] うん。
[55:26] うん。
[55:27] うん。
[55:27] うん。
[55:28] うん。
[55:28] うん。
[55:29] うん。
[55:29] うん。
[55:30] うん。
[55:30] うん。
[55:31] うん。
[55:31] うん。
[55:32] うん。
[55:32] うん。
[55:33] うん。
[55:33] うん。
[55:34] うん。
[55:34] うん。
[55:35] うん。
[55:35] うん。
[55:36] うん。
[55:36] うん。
[55:37] うん。
[55:37] うん。
[55:38] うん。
[55:38] うん。
[55:39] うん。
[55:39] うん。
[55:40] うん。
[55:40] うん。
[55:41] うん。
[55:41] うん。
[55:42] うん。
[55:42] うん。
[55:43] うん。
[55:43] うん。
[55:44] うん。
[55:44] うん。
[55:45] うん。
[55:45] うん。
[55:46] うん。
[55:46] うん。
[55:47] うん。
[55:47] うん。
[55:48] うん。
[55:48] うん。
[55:49] うん。
[55:49] うん。
[55:50] うん。
[55:50] うん。
[55:51] うん。
[55:51] うん。
[55:52] うん。
[55:52] うん。
[55:53] うん。
[55:53] うん。
[55:54] うん。
[55:54] うん。
[55:55] うん。
[55:55] うん。
[55:56] うん。
[55:56] うん。
[55:57] うん。
[55:57] うん。
[55:58] うん。
[55:58] うん。
[55:59] うん。
[55:59] うん。
[56:00] うん。
[56:00] うん。
[56:01] うん。
[56:01] うん。
[56:02] うん。
[56:02] うん。
[56:03] うん。
[56:03] うん。
[56:04] うん。
[56:04] うん。
[56:05] うん。
[56:05] うん。
56:06] ストックコンテンツ系だから専門サイトもそうですね。だから、え、もう書き換わらない、え、ストックコンテンツの専門サイトを、ま、WordPressでもいいし別に何でもいいんですけど、なんかのホームページとして、え、例えばなんとかする方法みたいに、もう更新する必要すらないようなストックコンテンツを作っていくっていうのも、あの、いいかなと思いますね。
[56:30] うん。
[56:31] そこにSEOしていく。
[56:32] で、あとはさっきみたいに組み合わせしてブログとSNS出してて、あとはブログをAIに書かせていくっていう時にベースのエバーグリーンコンテンツのストックコンテンツサイトがあれば、ま、イコール本と一緒なんすけど。
[56:46] うん。
[56:46] 僕がやりたいのはストックコンテンツをウェブサイト、本とかって言う形で、え、切り口ごとの専門特化のパッケージのコンテンツを作っていくという、ま、オンライン講座にしてもいいんですけどね。
[56:59] うんうんうん。
[57:00] それとフロアの情報、ストックとフロアの情報組み合わせしていくと、え、もう無限にコンテンツ、集客発信、え、で、結局セルフベーシックインカムじゃないですけど、印税が入ってくる、収益入ってくるで価値提供できて喜ばれるみたいなものができると、あの、多くの人がかなり貢献できるんじゃないですかね。
[57:21] ですね。
[57:23] ええでもちょっと、なるほど。
[57:27] 非常に、出版、出版の持つ意味がでもよく理解できた1日となりました。
[57:34] そしてこのインプットにより、もうなぜか、あれ？秘奥義増えてるとか言って。
[57:40] ふふ。
[57:41] ま、ちなみにね、あの、僕なんかもこういうオンラインで喋る場を全部録音とかをしてまして、ま、今、これが終わったら勝手にその録音データがクラウド上に上がり、それをようやくしたものがもう1回僕に送られてきて、それが今度阿修羅を作られるとなるので、勝手にまた阿修羅ができるんじゃないかなと。
[58:11] いやあ、面白そう。
[58:14] え、でもちょっと出版、マジで、それで、そう、僕もね、前あのほらただっちの出版講座参加させてもらってなんか巧み君は出版するなってのを横目で見てたけど、僕自身はなんかちょっとしてないから、ちょっとその自分でキンドルのやつをちょっと作って、ついでに1冊出版はしてみてようかな、そしたら。
[58:40] あ、いいっすね。
[58:41] ですね。
[58:42] で、それで出版、出版してみると多分、見えてくるか。
[58:45] 見えてくる。
[58:46] なんか、それできちゃったらなんか、マジで1日1出版とかできちゃう気がしますけどね。
[58:53] できますね。
[58:54] あとこれ占いの方も8月26日の運勢本とか作れたらよくないですか。
[59:00] うん。
[59:01] ずっと置いとけるじゃないすか。
[59:02] うん。
[59:03] ああ、Amazonで。
[59:04] Amazonに。
[59:05] バンとかされないから。
[59:06] それはちょっと怖いです。
[59:07] うん、あるかもしれない。
[59:08] だからやりすぎちゃいけないんすけど、でも価値あるコンテンツ、例えばね、うん。
[59:13] 2026年の運勢とかって占いの方、ね、もちろん占い本業やってる人がやってるんすけど。
[59:18] はい。
[59:19] それがフロントエンドとして本として、ね、無料で、あの、読めますよとか、運勢が漫画で読めますよとか、ね、それを属性ごとに書いちゃったりとか、それだけだと全然いけちゃうと思うんで。
[59:32] うん。
[59:32] なんか占いって、あの、色々 と僕ちょっと最近AIでやって作ってますけど、あの、占いのその占いの部分、あの、数、色んな誕生日をから計算してなんちゃらとかの部分、あの部分はなんかもう全部プログラムで全て再現可能で瞬殺で計算ができるの正確にできるってとこまでいけると思うてて、プラス売れてる世の中の占い師の人達っていうのはなんとなそこに、えっと、自分の人生経験とか、自分のゴミとか、いい感じの言い回しとか、それを載せて占いの効果がさ、効果があるっぽく言っているっていうのが僕の占いへの理解なんですけど。
[60:28] うんうんうん。
[60:29] はいはい。
[60:30] それで言うと結構なんかそこの占いの攻略の数字の部分は完全にできるし、あとはそこのなんか説得力を持たせるのはそのキャラのブランディングなんです。
[60:41] うん。
[60:42] なんかそのキャラのブランディングをするAIも作れば誰でもめっちゃイケイケ占い師までいけるんじゃないかなって。
[60:52] イケイケかもしれない。
[60:52] だからAIのインフルエンサーみたいに育てながら占い師を育てながらそのね、ちゃんとストーリーとか背景もありながら、結局そろそろね、相手の方を導けばいいわけですもんね、本当にいい意味で。
[61:05] だからなんか僕とかもAIを研究していて、その流れから占いをAIを使って研究し始まって、それをしすぎちゃってアカシックレコードにアクセスできるようになって刑事を経たみたいなこと言えば。
[61:21] うんうんうん。
[61:22] なんかぽくなるじゃないですか。
[61:24] うんうん。
[61:24] ぽくなる。
[61:26] なんかそう。僕なんかAIやりすぎてもうアカシックレコードにもアクセスしてるんです。だから全てのことが分かるんですって言うのなんかずっと言い続けたからそれっぽくな、なりそうだし。
[61:42] うんうんうん。
[61:43] しかもこんだけ自転車こいでたら本当にガチで整って降りてくるかもしれない。
[61:48] あ、そうそう。もう今、昔から結構繋がっててそれで開発はしてんのかもってのありますけどね。
[61:57] 繋がりますもんね。ピンときたという感じでね。
[61:59] うんうんうん。
[62:00] でもそういう人たち、僕もさっきの、さっきも。
[62:03] うんうんうん。
[62:04] うん。
[62:04] 普段やってみたんすけど、この、あの、ね、食べたいけど痩せたいんですけどって相談したんですね。
[62:09] はい。
[62:10] 相談。
[62:10] はい。
[62:11] で、10枚、10枚引いてみたんですよ。で、こうやってガーってて。
[62:15] おお。
[62:15] 答えはすでに心の奥にありますとかこう出てきて、で、これちゃんとね、阿修羅のこのカードとか見てくださるんすかね、このデザインが。
[62:23] おしゃれ。
[62:23] ちゃんと。
[62:23] ええ。
[62:24] ええ。
[62:24] ええ。
[62:24] タロット。
[62:24] そう。
[62:25] 今日は。
[62:25] はい。
[62:25] 阿修羅タロットになってるっていう。
[62:28] 阿修羅タロットってこれいつ発売されるんすかって感じ。このタロットカード。
[62:32] そうだね。
[62:33] あ、ちょっと。
[62:33] リリース。
[62:33] 普通にリリース。
[62:34] うん。
[62:34] できるっすね。
[62:35] うん。
[62:36] で。
[62:36] うん。
[62:37] で、最後ね、この総合鑑定を受けるってやったら、ね、敵同士にしないことが鍵だとつけてます。
[62:45] うん。
[62:45] え、本当は自分に合う答えを薄々分かってること。
[62:48] なるほど。
[62:49] これ言われたら確かにって思っちゃう。
[62:50] ああ、そうなんだっけ。
[62:52] うん。
[62:53] そうそう。
[62:53] だから極端なダイエット自己嫌悪症終わらせるカード。食べたい気持ちを責めるのではなく、量時間、そいうことね。
[62:59] うん。
[63:00] 結局言われたことって当たり前のことだし、自分で知ってるんだけど、この占いで自分がカードを選んで、これを読んで、これを受けた瞬間にやっぱ自分、自分で引いてるから、なんだろう、刺さってくるわけっすよね。
[63:14] あ、やっぱそうしようって言う風に結局自分の中でね、いや食べたいけど痩せたいなってありえないこと言ってるわけじゃないんですけど。
[63:22] うんうん。
[63:22] あの、でも妙な説得性、納得性があって、やっぱそうなんだなっていう風になるのが結局人間なんだな、人間心理だなと思って。
[63:31] うんうんうん。
[63:32] そう。だからこれで結局行動編用できたら本当に痩せちゃうし、本になっちゃうと思うんですよね。っていうぐらいかなと思って。
[63:39] あ、そうですね。あの、ちゃんと信じてそれに向けで行動すれば、あの、ま、だいたい良いことしか言ってないんでそうなります。
[63:47] なるほどね。
[63:48] 結局行動を変えるきっかけほしいってね、言ってるすもんね、ほとんど9割はね。
[63:53] うん。
[63:54] ね、ちょっとぜひデイリー出版。
[63:56] はい。
[63:57] あ、そう。
[63:57] アシュラデイリー出版とかいう名前で毎日本当にデイリー出版しちゃったらやばいす。
[64:05] やばいっすね。
[64:06] あれ、あの、キンドルとかで出版する。
[64:07] 外でね。
[64:08] キンドルとかで出版する。
[64:09] キンドルとかで出版する。
[64:09] はい。
[64:10] 場合って出版とかって自分で勝手に決めたりとかしてもいいんですか。
[64:14] 大丈夫ですよ。
[64:16] 僕も1個出版者作りましたよ。その。
[64:18] そうなんすか。
[64:19] はあ。
[64:20] なんですか。
[64:21] 言葉。
[64:21] 言葉。
[64:22] 名乗るだけの出版。
[64:23] で。
[64:23] え、花子。
[64:24] 出版とかですか。
[64:25] うん。
[64:26] いや、え、なんだ、リブウェル出版とか。
[64:29] あ、でもそういう、あの、出版社を作ってちゃんとコードも取得してっていうのも頑張ればできる。
[64:37] ああ、なるほど。
[64:38] そうすると商業出版も一応できるようになるらしいす。本当に。
[64:42] ああ、なるほど。
[64:44] ただ本屋さんに並べる流通を結局東販とかそういう流通のボスにの流通を持つことがかなり難しいみたいです。
[64:53] なるほどなるほど。
[64:55] でも紙の本は本屋さんに並ぶというのを別にそんなにこだわんなかったら。
[64:59] 商業出版を、商業出版会社を作るのは別にできる。
[65:01] うんうんうん。
[65:02] ああ。
[65:03] うん。
[65:04] うん。
[65:05] あ、あと面白いのが、あの、キンドルの広告が日本でも解禁になったんですね。
[65:09] 去年からかな。
[65:10] 今までキンドルって広告できなかったんですよ。
[65:14] ほうほうほうほう。
[65:15] そうするとこの本を買ってる人、例えば釣りのこの道具を買った人にこの俺の釣りの本を広告出してってできるわけなんですね。
[65:25] 例えば。
[65:26] ああ、なるほど。
[65:27] Amazonで売ってる商品と連動ができるんで、タロットカードを買ってる人にタロット占いの広告出てくるとか。
[65:33] なるほどなるほど。
[65:34] あ、じゃあおすすめかもで類似本の宣伝が出るみたいなことができるんだ。
[65:39] そういうことですね。
[65:40] レコメンドしてくれるので。
[65:42] そう。
[65:43] そこが相当まだ穴場だと思いますね。
[65:45] うん。
[65:46] あ、自己出版とかもあるんだ。
[65:49] そうそう。
[65:49] あ、そうなんすね。
[65:50] あ、そして気がついたら7時半をもう。
[65:53] こっか。
[65:53] 1時間。
[65:54] いいね。
[65:54] うん。
[65:55] 今日大丈夫ですか？
[65:55] 阿修羅秘奥義の最新アップデート。
[65:58] ええと。
[65:59] ライブ、ね、予選変わってきましたけど。でもだいぶ。
[66:03] そう、ちょっと。
[66:03] 簡単にインストールができて。
[66:05] うん。
[66:06] で、簡単にこれでちょっとインストールができると思いますのでね。
[66:08] 会員の方は、あの、ぜひ試していただければと思います。まだだよっていう方はですね、あの、こちらの方の、えっと、阿修羅のサイトから。
[66:20] あれ。
[66:21] 動かないけど。
[66:23] 動かない。
[66:23] なんか動かない。
[66:23] フリーズしちゃった。
[66:26] ええと、あれっ、なんでだ？
[66:29] あ、ちょっと。
[66:32] うん。
[66:33] はい。
[66:34] あ、ちょっと。
[66:34] 動いた。
[66:35] ああ。
[66:36] ああ。
[66:36] 動いた、動いた。
[66:37] ああ。
[66:37] ああ、動いた動いた。
[66:38] はい。
[66:39] はい。
[66:39] ええと。
[66:40] 阿修羅秘奥義というページがあって、ここの一覧で、Mac、Windowsそれぞれでインストールして形になってますんで、よろしくお願いします。
[66:50] そう、さっきみたいなインストールもで、ね。
[66:51] はい。
[66:51] うん。
[66:52] そう。
[66:52] 使ってみて感想とかもぜひ聞かせてください。
[66:54] ありがとうございます。
[66:56] ありがとう。
[66:56] ございまーす。
[66:58] ありがとうございます。
[66:59] いや、ちょっと僕も早速あの、組み合わせ技を色々やってみたい。
[67:03] 組み合わせ技が非常におすすめですね。
[67:06] へえ、面白いっすね。
[67:07] なんでも。
[67:08] これでもなんでもできます。
[67:10] はい。
[67:12] なので、ぜひこちらので、非エンジニアのためのAI開発学習コミュニティ阿修羅の方に、え、まずは無料体験をしていただきたいなと思います。
[67:19] あの、また今度、あの、実践会体験会をですね、企画したいなと思ってますので。
[67:25] うん。
[67:25] ちょっと出版、出版会もちょっとやれそう。
[67:28] 出版会やりたい。
[67:29] なんか。
[67:30] だいぶ出版がなんかあれですね、熱い、熱いというか分かりましたんで。
[67:35] ちょっとすぐに、今日すぐにちょっとそれを開発には取り掛かろうと思います。
[67:40] おお。
[67:41] 楽しみにしています。
[67:43] はい。
[67:44] そして今日は、え、GPT's研究会コラボライブでお届けしておりますので、ぜひこちらの方の、え、もうすぐ、目指せ9000人という。
[67:52] お。
[67:52] 何。
[67:52] 9000人。
[67:52] 9000人。
[67:53] お。
[67:53] ああ。
[67:53] ああ。
[67:54] で。
[67:54] ええと、iPodの方でも今同時配信をしています。
[67:57] え、こちらの方でCCブースターというキットがね、無料でゲットできます。
[68:00] ええと、今コーデックス対応版の、もうに、ええと、無料版もアップデート、え、しましたので近日ダウンロードできるかなと思いますので、ぜひこちらをアクセスしてみて。
[68:11] そして今日のライブのね、面白かったなと思ったらぜひこちらの方もご登録いただきたいんですけども、アーカイブ見れたりとか解説記事が届きますので。
[68:19] はい。
[68:19] あの、ぜひこちらの方もご登録いただければと思います。
[68:22] あ、あと、え、前回体験会もね、あの、どっちかだ？
[68:25] こっちか。
[68:26] 前回の体験会の、え、こちらも、え、引き続きアーカイブ動画見れますので。
[68:31] はい。
[68:32] また新規の体験会もやりますけども、え、前回のやつで見たのが下よって方はぜひこちらの方早めにアクセスしていただいて、え、ご登録いただければと。
[68:39] はい。
[68:40] 思います。
[68:41] はい。
[68:42] ね、阿久さんもいつもありがとうございます。こちらこそです。
[68:45] しゅうさん、ありがとうございます。
[68:46] ありがとうございます。
[68:47] 阿修羅のアップデート更新しいます。
[68:49] ええ、お願いします。
[68:50] まだコミュニティの方にもいろいろ投稿してください。あと要望ね、今日も僕は、あの、電子書籍を作りたいとかストックコンテンツタイトル作ったりとか今話しながら思いついたことを高崎さんに伝えておくと秘奥義になって出てきます。
[69:04] うん。
[69:04] 思いついたら高崎さんにどんどん依頼しましょうってのをね、やっていただくと全員が潤いますので。
[69:10] 僕開発という形でコメントを返しますんで。
[69:13] うん。
[69:13] コメントがコメントが開発で返ってくる。
[69:16] はい。
[69:17] 素晴らしい。
[69:18] すごいでしょう。
[69:20] 高崎さんに無茶振り、無茶振りをね、ぜひ。
[69:25] 五藤さん、ありがとうございます。めちゃ楽しかったです。
[69:27] あ、そう。
