[00:00] ああ、聞こえる？
[29:01] あとですね、あ、いや、高崎さんいいや、水8じゃなくていいです。
[29:04] あの、木金の8時がミーティング入るかもしれないと思って。
[29:10] あ、なんか水8の方が嬉しいんですけど。
[29:12] 木金になりますか。
[29:14] だと、だとしたら、木金そのミーティング入れましょう。
[29:17] はい。
[29:17] 金曜にしましょう。
[29:18] じゃあ、金、金パチでいいですか？
[29:21] 金パチか木パチ、どっちがいい？
[29:25] え、どっち、えっと、じゃあ、どっちでもいいです。
[29:31] じゃ金パチ、響きで金パチで。
[29:33] 金パチしますか。
[29:34] そう。
[29:35] 金パチ俺若干、若干不安はあるんすよ、金パチ。
[29:37] はい。
[29:38] え、じゃあ木パチ、木パチにしますか。
[29:41] いや、こだわりがないなら木パチの方がありがたいです。
[29:43] じゃあ、木パチで、はい、分かりました。
[29:45] 高崎さんとの定例を木パチにして。
[29:48] はい。
[29:49] えっと、あっちの、えっと、会社の定例を水パチにする。
[29:55] うん、うん、うん。
[29:56] これ毎週ですか？
[29:57] 毎週。
[29:58] 毎週した方が良くない？
[29:59] そうですね。
[30:00] じゃあ、で、で、もう、それはもちろん。
[30:03] 僕もなんか寺田さんに、なんか結構定期的に、なんか色々確認しますよ、確認するみたいな、多分これからめっちゃ必要になると思ってて。
[30:12] はい、はい、はい。
[30:12] そういうの全部ちょっと、じゃあここで整理していく感じにして、していきましょう。
[30:17] お願いします。
[30:17] お願いします。
[30:18] で、ちなみに今もちょっと確認したいことが何点かあります。
[30:21] あ、どうぞ、どうぞ。
[30:23] あ、今でもいいんす。
[30:24] あの、えっと、みんなの体育館の八幡平の、えっと、そう。
[30:34] 名前変更？
[30:35] え？
[30:36] 名前変更？
[30:36] 名前変更ではなく、あの、みんなの体育館の公式アカウントの所在地が今不明になっていて。
[30:44] はい。
[30:44] あれ、なんかやる。
[30:45] 大崎市だろ、それまでやってないんだろ。
[30:47] あ、それで、えっと、多分寺田さんが、えっと、公式アカウント作った人ですよね、あれ。
[30:55] はい。
[30:56] で、あの後にディベロッパー登録をしましたよね。
[31:01] 多分俺がやってない気がする。
[31:02] あ、なんかディベロッパー登録しましたっていう画像が寺田さんから来てて。
[31:07] はい。
[31:08] はい。
[31:08] で、それ、でディベロッパーにもう1回ログインしてもらっていいですか？
[31:12] いや、なんかね、なんかごめんなさい、ディベロッパー登録の画面を。
[31:17] はい。
[31:18] えっ、に入ったんですよ、自分の。
[31:20] はい。
[31:21] 公式から。
[31:22] はい。
[31:22] そうすると、なんか、あの、それがいや、みんな体育館のやつがないんですよ。
[31:27] なるほど。
[31:28] はい。
[31:29] ええ、なんか、そうするとあれだな。
[31:33] そう、それがないとまずくて。
[31:35] そうっすよね。
[31:36] で、要は、ありがとうございます。
[31:39] ありがとうございます。
[31:39] はいります。
[31:41] 要はちょっとどういう状態なのかっていうと、あの、色々予約したりした時にLINEに通知に行かせる仕組みじゃないですか。
[31:48] 仕組みになってるんですけど。
[31:50] はい、はい。
[31:50] その、えっと、それがその親アカウントからじゃないと、あの、そこに行かないんですよ、要は。
[31:58] ああ。
[32:00] なんか、あの、他の社名も来たと思うんですけど。
[32:03] はい。
[32:04] えっと、普通にみんなの体育館八幡平のやつには入れるんですよ。
[32:08] みんなの体育館八幡平の公式アカウントは入れますよね。
[32:12] 公式アカウントは入れるんですよ。
[32:13] はい。
[32:14] それじゃなくてディベロッパー登録とか。
[32:15] そうです。
[32:16] ああ、はい、はい。
[32:17] で、要は、え、ちょっとAIちゃんに喋り打ちしながらちょっとやってみます。
[32:22] ちょっとただですね、あの、もう、あの、絶対でもどっかのやつには紐づく仕組みにはなってるらしくて。
[32:30] そうっすよね。
[32:31] なのでちょっとそれを探していただきたいというところです。
[32:35] あ、これがないと実はもう進められないです。
[32:38] わかりました。
[32:39] あの、最悪の場合高崎先生とかに俺お伺いして一緒にやらせてください。
[32:43] あ、なんかそっち、それがはっきり言って一番早いです。
[32:47] あ、承知しました。
[32:48] で、で、ついでにちょっとこちらの体育館の方はもうこういう形で、えっと、請求書っていうので出させて、あの、生産しちゃってもよろしいですか？
[32:57] ああ、はい、はい、大丈夫です。
[32:58] で、ちょっと7月からそれでまた新しく始めてくような感じなんで。
[33:02] うん、うん、うん。
[33:03] お願いします。
[33:04] うん、うん。
[33:04] 6月末請求にしといてください。
[33:05] はい、あ、分かりました。
[33:06] ありがとうございます。
[33:07] あれ、今ってさ、どういうステータスなんでしたっけ？あのなんか最終の確認をしてとかってミーティングってまだ入ってないですよね？
[33:14] えっと、体育館ですか？
[33:15] はい。
[33:16] 体育館はそう、あの最終の、えっとちゃんと動いてるかみたいなのがまだできてないっていうところになってます。
[33:23] うん、うん、うん。
[33:23] わかりました。
[33:24] ただ、まあ、一応それは、えっと遠隔で例えば僕が予約をして。
[33:29] うん。
[33:29] それを実際体育館に誰かに行って貰ってロックがそれ番号で解けるかとかを試してもらえれば。
[33:36] 確かめられる。
[33:37] はい、はい、わかりました。
[33:38] あ、えっと、要件定義とか全部終わったんだっけ？
[33:39] 要件定義みたいなのはなんかちょっと、あ、えっと。
[33:45] あの、こないだ頂いた直しとかは全部直してあります。
[33:50] はい。
[33:52] ああ、ありがとうございます。
[33:53] はい。
[33:53] 了解です。
[33:53] じゃあ、なので、それでじゃあ。
[33:55] あとはもうじゃあ動くかどうかの確認です。
[33:57] そうですね。
[33:57] あの、例えばなのでアプリがほら予約する時にカレンダーが出なくて分かりにくいとかそんなことおっしゃってたじゃないですか。
[34:05] はい、はい。
[34:06] そういうのが全部実装されて、あの、予約がしやすくなってます。
[34:10] わかりました。
[34:11] はい。
[34:11] で、高崎さん次に、えっと、それの、無人施設の運営のミニアプリの型を作っといた方がいいと思ってて。
[34:19] 無人施設の運営のミニアプリの型。
[34:24] 要は行政とかが施設がめっちゃ来てんすよ、今日もう国土交通省の偉い人が視察来るんですけど。
[34:31] はい。
[34:32] その時に、あの、こんなん作れますぜみたいなのが、あるとすごい良いなと思ってて。
[34:38] はい、はい、はい。
[34:38] 要は、えっと、廃校利用体育館とか。
[34:42] うん。
[34:45] あれの鍵の受け渡しとかめっちゃみんな困ってるわけですよ。
[34:47] はい。
[34:48] え、鍵はあのスマートロックを使う前提でいいんですか？
[34:53] もちろん、もちろん、もちろん。
[34:54] はい、はい、はい。
[34:55] わかりました。
[34:56] あ、だったら別に、えっと、普通に転用で大丈夫だと思いますけど。
[35:04] はい、はい、はい。
[35:05] あ、そう、そう、そう思ってるんですけど。
[35:06] はい。
[35:07] みんなの体育館って、なんかそんなのを見せられるやつがあるとありがたい。
[35:09] ああ、じゃあ、えっと、みんなの体育館ってところ、なんかサンプル施設みたいな名前に変えときますよ。
[35:14] そうです、そうです、そうです。
[35:15] はい。
[35:16] わかりました。
[35:17] じゃあちょっとそれ版も作っておきますね、ついでに。
[35:19] はい。
[35:20] お願いいたします。
[35:21] はい。
[35:22] ありがとうございます。
[35:23] で、あとは、えっと、本社のやつも、えっと、一応作り進めてはいますが。
[35:29] ありがとうございます。
[35:30] 大体こんな感じでしょうかっていうのでまとまったら、ちょっとまたそれも共有する形でいいですかね。
[35:36] 承知しました。
[35:37] はい。
[35:37] すいません、ありがとうございます。
[35:39] はい。
[35:42] どうすか、高崎さん、何か言うことありますか？大丈夫ですか？
[35:44] うん。
[35:46] 大丈夫だそうです。
[35:47] あ、大丈夫すか？
[35:48] なんかチャットとかなんかやり取りした方が便利なの。
[35:50] Googleチャットでもいいすか？
[35:52] はい。
[35:53] 大丈夫すか？
[35:53] あ、はい。
[35:54] じゃあ、後でGoogleのアカウントだけ教えていただいて。
[35:56] はい。
[35:57] はい。
[35:57] あと、えっと、その契約書も電子契約になるんですけど、そのアカウントもGoogleでいいすか？
[36:06] はい。
[36:06] Gmailでいいすか？
[36:07] はい。
[36:07] ま、Gmailじゃなくてもいい、ま、Googleアカウントで。
[36:10] はい。
[36:11] それをじゃあ後でグループに送ってください。
[36:14] はい。
[36:15] じゃあ、そんなこんなでよろしいでしょうか。
[36:19] はい。
[36:20] 了解。
[36:22] じゃあ、えっと、そうですね。
[36:25] また、えっと、連絡します、僕も。
[36:27] はい。
[36:27] あ、あと、1日1時間半のうち、グー、えっと、LINEの方に割いていただくのと、メディカルDXの方に割いてもらうの、どえらいの割合にしますか？
[36:42] あ、それはホンダさんすよね？
[36:44] いや、高崎先生、あ、まあそうっす。
[36:46] ホンダ、どっちか、どっちか興味あるか。
[36:48] いや、どっちもちょっと難しいです。
[36:50] で、仕事の量。
[36:51] 仕事の量。
[36:53] そうっす。
[36:53] まあ、そこは自分にコントロールしていただいて、ちょっと多いぜってときは、ちょっとすぐに行っていただいて。
[36:59] はい。
[37:01] って感じでじゃあ、はい、行きます。
[37:03] はい。
[37:04] ありがとうございます。
[37:05] あ、メディカルは僕はやんなくて大丈夫すよね？
[37:07] やります？
[37:08] やるならやります。
[37:09] あ、今は今のところ大丈夫です。
[37:10] はい。
[37:11] やっぱ、あの、人には向き不向きっていうものがあるので。
[37:14] あ、なるほど、なるほど。
[37:16] その辺り理解してるつもりなんです。
[37:18] あ、わかりました。
[37:19] そうっすね。
[37:20] どっちかっていうと、あの、ポップよりな案件は僕の方が。
[37:23] そうっすよね、そうっすよね。
[37:24] そうっすね。
[37:27] 全然余談なんすけど。
[37:29] LINEに続いて今デルコンも引っ張ってきてます、秋田に。
[37:32] デルコンって何でしたっけ？
[37:33] デル、デル、デル。
[37:34] あ、パソコンの？
[37:36] はい。
[37:37] おお、良いですね。
[37:38] あそこが、えっと、実はデータセンターとか作りたかった。
[37:42] へえ。
[37:43] フィジカルAIを彼らは狙ってるんで。
[37:46] おお、すごい。
[37:47] それの、あの、拠点に秋田を引っ張ってみたいんで。
[37:49] この前デルコンの役員の方に会ってきた。
[37:51] じゃあ、クマ撃退ロボ作りましょうよ。
[37:53] そう、そんな話です。
[37:54] そんな、まあ、それはちょっとあれですけど。
[37:56] 金の匂いが全くしないですけど。
[38:00] ああ、でもすごいな。
[38:03] フィジカルAIめっちゃ、めっちゃ興味あるんすよね、僕。
[38:07] めっちゃフィジカルAIのなんか最新拠点みたいなの見せてもらいました。
[38:11] うーん。
[38:12] そう。
[38:14] いや、ロボットもな、作りたいんすよね。
[38:18] 向いてそう。
[38:20] はい。
[38:20] 3Dとか作、僕結構やるんで。
[38:23] はい、はい、はい、はい。
[38:24] 3Dプリンターとかで、あの、パーツ作れれば、結構ロボットは作れると思ってたんで。
[38:29] ああ。
[38:31] かちゃかちゃ。
[38:34] 木材でよければ、ショップボットを使いますよ。
[38:36] 木材。
[38:38] 木材で、それ、生徒に、生徒にノコギリでギコギコやってもらって。
[38:45] 僕が中の組み込みを考えれば。
[38:49] いやいや、ノコギリでギコギコやんなくても、ショップボットっていう木材の3Dプリンターみたいなのが使えるんで。
[38:55] ああ、なるほど、なるほど。
[38:56] ああ、はいはいはいはい。
[38:57] 森山ビレッヂってそれ作ったんですよ。
[39:00] あ、そうなんすか。
[39:01] はい。
[39:01] へえ、すご。
[39:03] 延べ1000人の、あの、組み立てに延べ1000人をかけて。
[39:07] へえ、そんなことできるんだ。
[39:10] うん。
[39:11] そん時に、は、あの、あれですよ、あのLINEヤフーの社長とかも来た。
[39:14] はい。
[39:15] すご。
[39:16] すご。
[39:19] すご。
[39:20] え、組むの、組んだのもじゃあ素人でやるみたい、やったってこと。
[39:23] やるんすか。
[39:24] あの、いわゆる土台のところだけはちゃんとやんないと危険なので、土台ちゃんとやった上で、あの、組むのは素人で組む。
[39:33] すご。
[39:34] うん。
[39:35] 面白いな。
[39:36] 地域産材を使うっていうのもコンセプトだったんで。
[39:39] うん、うん。
[39:40] 関係30キロ以内の木だけを使って。
[39:43] なるほど、すご。
[39:45] いいな、それ夢ありますね。
[39:48] 森山ビレッヂ遊びに来たことないすか？
[39:50] ないですね。
[39:51] 今度が月やりますよ。
[39:52] あ、良いですね。
[39:53] 呼んでください。
[39:54] はい。
[39:55] あの、呼ぶのだった、連れてく足だけお願いしますっていうところです。
[40:02] うちの息子チャリで来てましたよ。
[40:04] あ、マジすか？
[40:05] 行け、あ、だったら行けなくもないのかな。
[40:07] いやいや、やめた方がいいよ、マジで。
[40:09] すっげえ後悔してたよ。
[40:11] いや、僕結構でもあのチャリ強い、チャリは結構強いんすよ。
[40:18] あの、あれ？
[40:19] チャリそんなにいいチャリでしたっけ？
[40:21] いや、全然。
[40:22] しかもこないだタイヤ死にましたしね。
[40:25] でも直ったんでしょ？
[40:27] あ、直りました。
[40:28] でもなんか前の車輪も爆弾を抱えてるねって言われました。
[40:36] うん。
[40:36] だめかもしれないです。
[40:38] 免許取ってください、諦めと。
[40:39] あ、そう。
[40:40] こないだね、寺田さんのとこに行ったら、途中でチャリパンクしたんすよ、僕。
[40:46] それで、パンクして。
[40:48] めっちゃ遠いのに歩いて押して帰るって。
[40:51] 助けてあげられなかった。
[40:54] そう。
[40:54] 車、車も、ちょうど出払っているという。
[40:59] クルプクリプが。
[41:01] って感じでしたね。
[41:03] はい。
[41:04] ありがとうございます。
[41:06] はい。
[41:09] じゃあ、えっと、そんな感じで。
[41:13] はい。
[41:15] あ、ちょっと待って。
[41:16] じゃあ、えっと、一旦、あれですね、木曜の8時に。
[41:20] うん。
[41:21] ミーティングをちょこちょこやっていくって感じで。
[41:24] はい。
[41:24] ちょっと直近のところ私空いてるかどうかって怪しいところもあるんでちょっと確認して。
[41:28] わかりました。
[41:29] あ、高崎先生もGoogleのアカウントを送っといてもらっていいですか？
[41:31] そしたらカレンダーで全部。
[41:33] ああ、了解です。
[41:34] グループ作れるんで。
[41:35] じゃあ、はい、えっと。
[41:40] あれかな。
[41:43] Facebookでいいかな。
[41:47] 最初RPAの研修から始まるかもしれないです。
[41:50] あ、わかりました。
[41:58] あ、宮戸送っておきました。
[42:01] うっす。
[42:04] って感じですかね。
[42:08] はい。
[42:13] あ、ありがとうございます。
[42:16] 追分け。
[42:19] 追分け。
[42:20] PTIを感じる。
[42:21] リプレゼン追分け。
[42:23] 638はなんすか？
[42:24] あ、3月8日生まれ。
[42:26] いや、違います。
[42:27] 親の誕生日。
[42:28] そう。
[42:29] 終わってけ。
[42:30] そうっすね。
[42:31] 追分け。
[42:32] うん。
[42:33] 素晴らしい。
[42:36] ちなみに当社は追分けにも結構近いす。
[42:37] あの、八幡平なんで。
[42:39] そう。
[42:40] ほぼ寺内の八幡平。
[42:41] そう。
[42:43] ああ、はい。
[42:44] よいしょ。
[42:47] あの、新国道のもっととかまっくとかある。
[42:49] あの近くです。
[42:50] あ、そう。
[42:51] はい。
[42:52] そう、モスを左折って覚えてます。
[42:55] モスを左折。
[42:56] うん。
[42:58] なんか嫌な思い出ないって言われたんで、大丈夫です。
[43:02] 大丈夫です。
[43:04] 辛い思い出じゃない。
[43:05] あの、あの道は長いなーは思ってます。
[43:08] ですよね。
[43:09] すいません。
[43:12] いやいや、でも。
[43:13] いや、大丈夫です。
[43:14] あの、じゃあ。
[43:15] お願いします。
[43:15] どうもありがとうございました。
[43:17] じゃあ、ホンダさんもまた。
[43:19] はい。
[43:20] ました。
[43:20] どうも。
[43:22] はい。
[43:23] よいしょ。
