[00:00:00] （背景ノイズ）
[00:34:03] （タイピング音）
[00:55:07] （タイピング音）
[01:05:07] （タイピング音）
[02:00:10] （タイピング音）
[02:30:26] （タイピング音）
[02:56:06] （タイピング音）
[28:31:37] 話者A: なので、はい、ええ。
[28:32:44] 高崎さん: 他の県のやつとかも、いろいろ特食っぽかったですもんね、こないだも。
[28:36:99] 話者A: はい。
[28:38:77] 話者A: そうなんです。なので、一応これが、えーと、ま、座組としては高崎市と高崎経済大学がこれ公立なので、高崎経済大学って高崎市の職員なんですよ、先生方って。
[28:52:62] 高崎さん: なるほど、なるほど。
[28:53:72] 話者A: そうなんすよ。なので、高崎市と高崎経済大学とNTT東日本の、一応、その、事業連携みたいなものをさせてもらってて、その一環で今回生まれたのがD-CROSS高崎っていうプログラムになってます。ごめんなさい、高崎さんのなんか呼び捨てみたいな感じ。
[29:09:59] 高崎さん: 高崎高崎高崎。頭おかしくなりそう。
[29:12:49] 話者A: すいません。で、高崎さんに高崎経済大学と高崎市の話をしたいんですけど、はい、すいません。
[29:19:98] 高崎さん: ちなみにDっていうのは何のだ。
[29:24:60] 話者A: えーとですね、ダルマのDですね。
[29:26:54] 話者A: 高崎ってダルマの。
[29:27:72] 高崎さん: ああ、知ってます知ってます。ダルマ弁当とかありますもんね。
[29:31:37] 話者A: そうなんすよ。ダルマ、ダルマの、はい、そうなんすよ。だからダルマなんすよ、起き上がり。
[29:37:79] 高崎さん: あ。
[29:40:34] 高崎さん: なるほど、なるほど。
[29:41:69] 話者A: はいはい。で、最初ダルマもあったんすよ、画像。でもダサすぎて、あの、GPTの2.0が出る前のやつでダサすぎてやめました。なので、ちょっと企画的になってるんですけど、DはダルマのDです。
[29:50:87] 高崎さん: はい。
[29:58:79] 高崎さん: 今ね、2.0やばいっすからね、GPT。
[30:01:80] 話者A: らしいっすね。あ、そうそう、それもね、ちょっとなんかお話聞きたかったんすよ。でもちょっとこれだけ話させてもらっていいっすか。ごめんなさいね。ごめんなさいね。これだけ説明しちゃいますね。
[30:07:95] 高崎さん: はい。
[30:10:97] 話者A: そうなんすよ。なので、混ざりは文系と理系を混ざれっていう。
[30:14:55] 高崎さん: そうそうそう。そういう感じです。
[30:15:75] 話者A: はい。で、まあ、ただ、高崎さんのやりたいことは多分こっちのほうが近くて。
[30:17:84] 高崎さん: はい。
[30:21:78] 高崎さん: うん、そうですね。
[30:23:94] 話者A: もうぶっちゃけ、僕らのこのD-CROSSでやりたいことって土文系で未踏に受かってほしいんすよ。
[30:30:60] 高崎さん: はいはいはい。
[30:31:70] 高崎さん: はい。
[30:32:47] 話者A: はい。で、高崎経済大学ってマスタークラスっていう、ま、起業家アントレプレナーに特化したプログラムみたいなのがあって。
[30:39:99] 高崎さん: ああ、あるんだ。
[30:40:99] 話者A: で、もうすでに、ま、そのアイデアとかも活動してる学生プロジェクトが何個かあるんすって。だからそういったこと方々が、ただIT要素とか今までゼロで、多分委託外注するしかなかったんだけども、今そういう時代じゃなくなってきてるから、はい。で、かつ、実は文系のほうが強いんじゃないかみたいな。そういう、あの、要は文章力とか結構大事じゃないですか、バイブコーディングとかも。
[31:06:50] 高崎さん: まあ、あと自分で営業できてシステムも作れたら言うことないってことですよね。
[31:10:85] 話者A: そうっすよね。っていう観点から、あの、ちょっとチャレンジャングなんですけど、理系人材はほぼ入ってこない可能性がちょっとあり。はい。
[31:21:65] 話者A: ま、あの、AIとのテクノロジーを、AIのテクノロジーを活用しながらプロトタイプまでやってもらうっていうようなところは足音と一緒なんですけど、はい。な感じです。で、まあ、この辺も、あ、そう、足音の丸パクリって言われないようにっていうのをちょっとやって若干変えてるんですけど。
[31:29:79] 高崎さん: うん。
[31:38:90] 話者A: はい。ま、やってることは一緒っすね。なんか未踏スーパークリエイターとかの配置がちょっと秋田とは違うので、高崎さんも多分今まで出会ってなかった人と出会えるかもしれないなと思ってます。未踏アドバンストクリアした人とかもいるんで。
[31:52:50] 高崎さん: へー。
[31:53:71] 話者A: そうなんすよ。今までなんか、あの、要は山添さんとか本田さん系だったんすけど。きゅうりとトマトなすびっていう会社の、あの、2024年に未踏アドバンストを終了したばかりの、はい。
[32:06:65] 高崎さん: へー。
[32:07:98] 話者A: はい。人とかが、はい、ちょうどいたりとか。で、そうですね。はい。あとは、あの、本田邦彦さん。
[32:14:98] 高崎さん: あー、はいはいはいはい。
[32:16:85] 話者A: はい。そうなんすよ。秋田のメンバーをこっちにちょっと寄せてまして。
[32:19:93] 高崎さん: なるほど。
[32:20:98] 話者A: そうなんすよ。で、あと青田プロジェクトってご存知ですか？あの、暁で、実は他にも、そうなんす、もう1個、はい、あって。青竹でメンターやった人に、あの、こっち入ってもらって、そうなんすよ。
[32:22:98] 高崎さん: ああ、はいはいはいはい。
[32:28:90] 高崎さん: うん。
[32:34:65] 話者A: その方も2008年の未踏スーパークリエイターで、はい。
[32:38:88] 高崎さん: へえ。
[32:39:78] 話者A: そうなんすよ。だから未踏はこの2人に入ってもらいつつ、あと、あの、鈴木琢也って、あの、あの、講師の人。
[32:45:90] 高崎さん: はい、分かりました分かりました。
[32:47:49] 話者A: とか、あとNTTデータ出身のメンバーと。まあ、あと高経大の先生なんですけど、どっちかというと主役はもうこの5人っすね。ほぼほぼこの5人と、えーと、あ、あと、あれだ、えーと、長谷川さん覚えてます？あの、ライドオン担当してた。
[32:56:80] 高崎さん: うん。
[33:02:86] 高崎さん: あー、はいはいはい。
[33:03:68] 話者A: あの、Amazon Japanの初代社長です。
[33:06:84] 高崎さん: なんとなく、多分、はい。
[33:07:95] 話者A: はい。あの、坊主の、はい、メガネの方なんですけど、あの、その方も入ってもらうことになりました。
[33:13:96] 高崎さん: へー。
[33:15:68] 話者A: だから秋田のちょっとメンバーをこっちに寄せたっていう感じですね。はい。まあ、東京住んでるメンバーなんで、ほとんど。そうなんすよ。
[33:18:78] 高崎さん: うんうん。
[33:25:72] 高崎さん: まあ、そうですね。
[33:26:69] 話者A: はい。なので、一応この5人プラスAmazon社長の、えーと、長谷川さんの、ま、6名がメインの伴奏支援者としてたち。ここの高経大の先生たちは、まあ、高経大の学生が結構メインになってくるから、あの、現地でフォローしてねっていう。要は離脱とか困った時とかにフォローしてくれるっていう役割で一応載せてるんで。もしかしたら公開時にはこの方々のなんかプロフィールは載ってないかもしれない。
[33:49:85] 高崎さん: なるほど。
[33:55:92] 話者A: ですけど、一応高経大の先生もバックアップで入ってもらうっていう感じです。
[33:59:75] 高崎さん: 分かりました。
[34:00:86] 話者A: はい。ま、メンターに近いです。
[34:02:59] 高崎さん: うんうん。
[34:03:77] 話者A: で、ま、この辺は、あの、多分公開時には消すんですけど。一応高経大と高崎市が主軸なんですが、えーと、群馬工業高専とかも一応声かけてやろうとしてるんですけど。ま、これもですね、もう深く突っ込まないでいただきたいんですけど、群馬大学がないんすよ。はい。
[34:07:79] 高崎さん: はい。
[34:22:92] 高崎さん: 本当だ。
[34:23:66] 話者A: はい。そうなんすよ。
[34:25:99] 話者A: まあ、それ以上はさ、あの、察していただきたいなと思うんすけど。
[34:30:54] 高崎さん: 察しにくいけど。
[34:34:00] 高崎さん: なんでだろ。
[34:34:86] 話者A: ま、そうですね。
[34:35:59] 高崎さん: 一番の、一番メインなんじゃないですか、だって。
[34:38:62] 話者A: いや、そんなこともう絶対に口が裂けても言わないでくださいね。高崎経済大学の前で。もうメインは高崎経済大学なんすから。今回、あの、高崎市なんでね。
[34:47:39] 高崎さん: ああ、あ、群馬大学って高崎市じゃないんだ。
[34:50:57] 話者A: はい、前橋だと思います。
[34:51:71] 高崎さん: あ、なるほど、なるほど。
[34:53:77] 話者A: はい。ま、でもこの辺の学校は、高崎、僕がで、も、あの、身も心も完全なる高崎派ですのね、ご安心ください。
[34:56:88] 高崎さん: はい。
[35:02:35] 高崎さん: ありがとうございます。
[35:03:32] 話者A: 高崎さんて高崎出身でしたっけ。
[35:04:84] 高崎さん: 違います。
[35:06:17] 話者A: そうっすよね。ややこしいっすよ。ややこしい。
[35:08:92] 高崎さん: 僕、あの、高崎なんすけど、埼玉出身なんすよ。
[35:12:96] 話者A: ややこしい。ややこしい。
[35:15:68] 話者A: 埼玉、そうっすね。はい。はい、すいません。まあ、そんな感じです。はい。
[35:21:99] 話者A: で、ま、ちょっとこのエントリーとかは適当なんでわかんないんすけど。ま、同じように一次採択で停員足したら二次募集は実施しないっていう形ですね。はい。
[35:32:95] 話者A: で、これ面白いのが、高崎さん、これ面白いんすよ、実は。そう、実施場所なんすけど、えーと、実はキックオフが東京でやる予定でして。
[35:39:87] 高崎さん: ほう。
[35:44:48] 話者A: はい。これ、NTT E-CITYラボって言うんですね、施設があるんすよ、うちが持って。
[35:49:75] 高崎さん: うん。
[35:50:55] 話者A: あれどこ行った。ちょっ待ってて。あれ。あ、ちょっとAIに消されちゃいました。あ、あったあった。
[35:58:39] 高崎さん: あ、なんか、今、今でも地図あったんじゃないですか。
[36:00:72] 話者A: あ、あ、そうですね。これがね、高経大の地図なんすよ。すいません。はい、ごめんなさい。これまだね、全然ランディングページ3割ぐらいの完成度です。これ、NTT E-CITYラボっていうのがあって。東京都調布市に、はい。
[36:04:77] 高崎さん: あ、そっか、なるほど。
[36:10:81] 高崎さん: へえ。
[36:11:81] 高崎さん: へえ。
[36:15:37] 高崎さん: へえ。
[36:16:37] 高崎さん: あ、そう。
[36:21:60] 話者A: 音って出てます今？
[36:22:92] 高崎さん: 音出てないっすけど、なんとなく雰囲気は分かります。
[36:26:55] 話者A: ありがとうございます。
[36:29:84] 話者A: そうなんすよ。なんかね、調布に、昔の、調布にですね、なんか、あの、NTTのなんか研修センターみたいなものがあって。それを、要は、ま、大学みたいな感じなんすよ。キャンパスになってて。
[36:44:75] 高崎さん: へえ。
[36:45:64] 話者A: で、えーと、それを、あの、改造してE-CITYラボっていう、ま、こういう僕らの通信とか、こう、ドローンとか、色々こう、やって地域課題の取り組みみたいなものを展示してる施設があって。
[36:58:80] 高崎さん: なるほど。
[36:59:08] 話者A: で、そこで、なんか、どういう風に社会実装されているのかみたいなものをキックオフで一応ですね、あの、体感していただけるっていうコンテンツを。
[37:09:56] 高崎さん: ほうほうほうほう。
[37:10:48] 高崎さん: なるほど、なるほど。
[37:11:36] 話者A: そうなんすよ。なので、1日目は多分これがメインになりますと。
[37:14:48] 高崎さん: うんうんうん。
[37:16:32] 話者A: なので、えーと、初日は東京でやって、それ以降は、ずっと、高経大でやると思ってくれたらと。
[37:22:15] 高崎さん: なるほど。
[37:23:42] 話者A: はい。
[37:24:43] 高崎さん: 了解です。
[37:25:52] 話者A: はい。
[37:28:44] 話者A: で、はい。で、あと、あれですね。あの、前見積もりというか出してくれたのって秋田のみだったじゃないですか。
[37:37:94] 高崎さん: はい。
[37:38:88] 話者A: 今回これって、一応、ま、2エリアやってもらうっていうで。
[37:43:75] 高崎さん: はい。
[37:44:98] 話者A: なんかあれっすかね、2つ、なんか、プラス旅費実費支給みたいな形でお願いできたらなと思ってるんですけど、よろしいですか、こんな感じで。
[37:53:57] 高崎さん: めっちゃ嬉しいです。
[37:56:58] 話者A: ありがとうございます。
[37:58:54] 話者A: 秋田はちょっと、あの、片道50km以上の制限が確かあったので、ごめんなさいなんですけど、えーと、なんだっけ。えーと、ちょっ待ってくださいね。ごめんなさいね。うちの娘が泣いてて、ごめんなさい。
[38:08:92] 高崎さん: はい。
[38:16:90] 高崎さん: はい。
[38:17:80] 高崎さん: 大丈夫です。
[38:20:94] 高崎さん: えーと、あ、えーと、交通費。
[38:23:76] 話者A: あ、そうです、そうです。あの、群馬に関しては東京までの交通費と、あと、高経大までの交通費、ちょっと新幹線なんですけど、ちょっと支給させてもらおうかなと思ってるので、そそれ、はい、お願いします。
[38:32:86] 高崎さん: やった。
[38:35:60] 高崎さん: ありがたいです。あ、じゃあ高崎にも行けるんです。僕高崎って行ったことなくて。
[38:41:40] 話者A: 高崎にも行けます。
[38:43:24] 高崎さん: はい。ずっと高崎だから行ってみたいは行って見たかったんすよ。やった。嬉しい。
[38:49:57] 話者A: そうっすね。だから、初日は、だから、初回はだか、ま、てか、あの、講座は、メインって高崎じゃないですか。あ、高崎じゃない。
[38:55:92] 高崎さん: はい。
[38:56:88] 話者A: えーと、この、NTT E-CITYラボでやってもらうので、えーと、最後のデモデイは高経大でやるので、それ、それ以外のフォローはなんか、あの、オンライン上でやってもらえたらと。
[39:03:97] 高崎さん: はい。
[39:10:48] 高崎さん: 分かりました。
[39:11:46] 話者A: はい。
[39:12:87] 話者A: お願いします。
[39:13:58] 高崎さん: 大丈夫です。大丈夫だと思います。
[39:14:86] 話者A: 初回と最後は出させていただけたらなと思ってます。
[39:17:82] 高崎さん: やった。ありがとうございます。
[39:18:72] 話者A: はい。
[39:21:49] 話者A: で、えーと、同じくなので秋田と群馬で、なんか、あの、ま、ほぼ同じ内容でやってもらっていいですけど、先ほど申し上げた通り、若干文系なので、なんか、こう、デプロイとか、ああいう、だから専門用語的なものをちょっとこう乱立させると。
[39:36:99] 高崎さん: うん。
[39:37:89] 話者A: あの、生徒たちがちょっと苦しいかもしれないっていう大学側のちょっと個別要望があったりするので、その辺のなんか、こう、言い回しみたいなところだけ、どっちかというと、なんか、高崎基準で、作ってもらったほうがいいかもしれないです。秋田も合わせて。うん。
[39:53:77] 高崎さん: 結構、実は、その、バイブコーディングを教えるときに、つまずきやすくなるポインとって、なんか、そもそもAIの使いかたっていうとこじゃなくて、Git-Hubにやっぱりデータをプッシュして、そのプッシュファイルをバーセルでデプロイして公開状態に持っていくとか、こういったWeb周りの一連の作業っていうところが結構みんなのつまずきポイントになるんすよ。
[40:20:64] 話者A: うんうん。
[40:21:47] 高崎さん: で、そういったところを実はもう全部、あの、最近マニュアルを作ってて。それを、そのマニュアルを、もはやPDFにしてあるんで、それをクロードコードに読ませると、設定も全部やっちゃう。
[40:35:54] 話者A: へー、すごい。
[40:36:58] 高崎さん: なんで、そういう風にして、ちょっとその、こっちでも、あの、よくつまずきやすいポイントっていうのは、あの、ある程度洗い出してあって、もうすでに、それを対処する教え方をやって試して、あ、大丈夫そうって小中学生とかにやってるんで大丈夫だと思います。
[40:54:65] 話者A: 了解しました。ありがとうございます。ちょっとじゃあ、まあ、あの、そういった形で2拠点やってもらえたらなと思って、いるんですけど、一応時期としては秋田が8月15,16で、高崎が平日なんすよ。
[41:00:86] 高崎さん: うん。
[41:07:73] 高崎さん: はい。
[41:09:59] 高崎さん: 多分火曜日とかじゃなければ大丈夫だと思います。
[41:14:48] 話者A: あ、ありがとうございます。8月のですね、えーと、2日、20日と21日が20日。
[41:21:73] 高崎さん: はい。
[41:22:64] 高崎さん: はい。
[41:22:87] 話者A: 20日大丈夫そうですね。
[41:24:59] 話者A: はい。一応ここがターゲットになってて。デモデイとかはまだ日程決まってないんですけど。
[41:29:94] 話者A: 一応、15,16は結構ハードなんですけど、15,16で足音やって。
[41:34:94] 高崎さん: ちょっと待ってくださいね。えーと、15,16が、えーと、足音ですね。
[41:40:47] 話者A: はい。
[41:41:61] 高崎さん: ちょっと待ってくださいね。全部登録しとこう。
[41:45:84] 高崎さん: これ、これ、これも大体割と確定ですか。
[41:47:94] 話者A: 秋田はもう15,16で動かないですね。
[41:49:73] 高崎さん: あ、了解です。
[41:50:66] 話者A: はい。
[41:52:43] 話者A: で、D-CROSSに関しても、まあ20日、21でもほぼ確です。
[41:56:59] 高崎さん: はい。
[41:58:63] 話者A: そうなんすよ。ま、夏休みだから大丈夫だろうということで、一旦中央、このNTTのセンターが平日のみだったのね、すいません。ちょっと。
[42:05:75] 高崎さん: はい。
[42:06:84] 話者A: はい。そんな感じになってます。
[42:08:35] 高崎さん: 分かりました。D-CROSSがじゃあ20と21。
[42:11:49] 話者A: はい。
[42:13:84] 高崎さん: 20日が、えーと、調布。
[42:16:92] 話者A: 調布です。
[42:19:64] 話者A: 21日も調布です。
[42:21:60] 高崎さん: あ、了解です。
[42:22:83] 話者A: はい。
[42:31:85] 高崎さん: 了解しました。ありがとうございます。
[42:35:86] 話者A: で、ええ。
[42:37:62] 高崎さん: 1個、えーと、未踏で今メンバー、未踏結構なんかメンバーはいっぱい入れられて。
[42:46:83] 話者A: うんうんうん。
[42:47:89] 高崎さん: えーと、なので、えーと、今回僕と、えーと、琢磨くんとハルト、ハルトとあと今度高校に入学した正宗っていうやつで4人で出してんすよ。
[43:00:88] 高崎さん: なんか正宗は、えーと、足音に出させようとしてるやつらの主力なやつなんすよ。
[43:09:20] 高崎さん: 一緒にいても大丈夫ですか。
[43:12:96] 話者A: ああ、えーとね、採択されてたらダメって感じなんすよね。
[43:15:93] 高崎さん: まあ、でもそうだな。でも採択されたら未踏でガンガン作らせれば時給出るからいっか。そうっすね。未踏って、未踏と足音って、えーと、逆ルートじゃダメってことで。足音から未踏に行くのはいいけど、未踏から足音に行っちゃダメってことです。
[43:35:80] 話者A: そう。えーと、足音というよりは暁全体です。だから、あの、足音もダメだし、これD-CROSSもダメだし、青田もダメって感じ。
[43:44:98] 高崎さん: なるほど、なるほど。
[43:46:33] 話者A: そうなんすよ。これね、ちょっと裏ルールなんすけど。そう。えーとね、今年から追加された2点があって。
[43:52:95] 高崎さん: はい。
[43:53:99] 話者A: まず、アップデートとしては、いいアップデートとして、なんか、これまでの暁終了生ももう1回採択していいよだったんすよ。
[44:02:64] 高崎さん: ほう。
[44:03:49] 話者A: 内容がピボットしてるんだったら。
[44:04:78] 高崎さん: ほうほうほうほうほう。
[44:06:50] 高崎さん: あ。
[44:06:84] 話者A: 逆論、うん。
[44:07:95] 高崎さん: 例えば、えーと、たくみくんとかが別のプログラムで出すの。
[44:12:43] 話者A: オッケー。
[44:13:30] 高崎さん: オッケー。
[44:14:26] 話者A: オッケーなんですけど、うん。めっちゃ本質的じゃないかもしれないっすけど、山形大学なんでちょっとハードルがあるかもしれない。在住じゃない、山形在住だったらちょっと厳しいかもしれない。
[44:28:90] 高崎さん: ああ、そっか。
[44:29:83] 話者A: そう、そこなんすよ。なるほど。で、これが、そう、これちょっと、僕たちが、だからもうバレてるから素性が。そう、そうなんすよ。
[44:39:87] 高崎さん: なるほど。
[44:40:59] 高崎さん: 分かりました。
[44:41:69] 話者A: まあでも、あの、結局そう言うことです。だから、えーと、採択、去年のだとできる。だから、例えば大家さんとか大学戻ってきて、もうライドオンは、あの、ライドオンとか、あの、ベアベルは、もう、あの、なんか、服部くんいるじゃないですか、あの、よく労働省何回もしてると。あれも、あの、MI東北っていう別の暁でもやってた子なんですけど。
[44:59:74] 高崎さん: ああ、なるほど、なるほど。
[45:02:72] 話者A: もう、あの、子に任せて、自分は違うことなんかチャレンジするみたいなこと言っても、一応採択はできるんす。
[45:08:70] 高崎さん: うんうん。
[45:10:14] 話者A: できるけど、できるけどなんすよ。
[45:11:92] 高崎さん: ちょっとそう言うなんか、えーと、前に出してるっていう前提条件は加わった上で審査はされるってことですよね。
[45:21:92] 話者A: もちろんっす。うん。まあでも、うん。挑戦はさせ、なんか、特にね、ちょっとその、えー、感覚としてちょっと僕は、あの、たくみとかハルトとかユウマとか、あの辺をちょっと無駄遣いしたかったんすよ。そう、なんか彼らをちょっとメインで出して通してってことをちょっとしたかったなってのちょっと、あの、思ってて。
[45:47:89] 高崎さん: うんうん。
[45:48:65] 高崎さん: なんか、その方がやっぱり彼らにとってのキャリアになるじゃないですか。
[45:52:84] 話者A: そうっすね。
[45:54:67] 話者A: だから、カガヤくんは、要はだから高崎さんとカガヤくんがメインでプロジェクトのリーダーとして採択してるんで。
[46:05:43] 高崎さん: はいはい。
[46:06:55] 話者A: そこのハードルは結構高いかもしれない。
[46:08:81] 高崎さん: うん。
[46:08:99] 話者A: うん。でも、たくみくんとかはプロジェクトメンバー扱いだったはずなんすよね、高崎さんのサブみたいな感じだったんで。
[46:15:37] 高崎さん: あれ？どっちだっけ？あ、そっか。えーと、そっか、ゲームの方は実はユーマメインになったのか。
[46:23:71] 高崎さん: それも、そっすね。イフ塾のあの、マイクラのやつが僕メインっていう建付けだったのか。
[46:29:95] 高崎さん: そっか。
[46:30:74] 高崎さん: あ、だからハルトとタクミはその時サブメンバーだった。
[46:35:84] 話者A: サブメンバー。
[46:36:78] 高崎さん: ああ。
[46:38:62] 高崎さん: で、ハルトは今秋田大学にいる。
[46:42:74] 高崎さん: ほー。
[46:43:72] 話者A: ハルトくんは、そうっすね。だからハルトくんはもう多分完璧だと思いますね。めちゃ理想。うん。
[46:48:98] 高崎さん: うんうん。
[46:49:50] 話者A: 全然出してもらっていいと思います。
[46:52:95] 話者A: で、たくみくんはちょっと微妙かも正直。
[46:55:50] 高崎さん: 分かりました。
[46:55:92] 高崎さん: まあでも、うん。
[46:56:88] 話者A: はい。
[46:57:48] 高崎さん: あの、結構、クラークから出せそうな子たちが何人かいる。
[47:05:65] 話者A: また大変じゃないですか。もう先行、もう勘弁してください。もう何人も多いんすよ。そうなんすよ。
[47:12:93] 高崎さん: 今回でもちょっと実際に、あの、多分、あれですね、あの、生徒たちがもっとクロードコードを全員使えるようになってるんで、かなり底上げされたものが届くと思います。
[47:28:90] 話者A: そうっすよね。いや、もう本当この1年で変わっちゃいましたよね、世界情勢ね。
[47:33:93] 高崎さん: はいはい。
[47:35:57] 高崎さん: あとはだいぶ、それをやってるやってないでの差がえぐいっていうところです。
[47:39:78] 話者A: えぐいっすよね。
[47:41:52] 話者A: だってなんかもううちの会社でももう二分化してますもんね。やっぱクロード、ま、最低限、ま、クロードコードまで使えなくていいけど、コワーは使わないと。
[47:50:56] 高崎さん: はいはいはい。
[47:51:39] 話者A: 無理だよねっていう温度感でやって、やらさせていただいてます。
[47:55:92] 高崎さん: そうだと思います。
[47:57:42] 高崎さん: もうなんか、もうそう言うのでバババババって勝手にオートメーションみたいな感じで書類とかが作れちゃうって自分がなってて、目の前でちまちま書類作ってたらもうぶっ飛ばしたくなってくるじゃないですか。
[48:13:91] 話者A: そうっすよね。なんか、価値の置き方がやっぱりそのアイデア、なんでそれやりたいのとか、熱量とか、やっぱそういうところがより重要になってくるかなって思います。
[48:24:87] 高崎さん: 確かに、確かに。
[48:25:70] 話者A: はい。その点大事にしてほしいっすね。だからそういう観点で、やっぱゆづきくんの強かったのはプロの原体験っすよね。だからその部分がやっぱハルトくんとか、その、例えばその、コードネーム正宗くん、にあるかどうかあが結構鍵になるかもしれない。うん。なんか正直なとこ多分、なんか、田中くんとかからも聞いてんすけど、秋田大学とかでもやっぱそんな感じっぽいんすよね、一部のコアは。だからなんかやっぱバイブコード、これだから僕が結構先行、ね、無駄なくみんな、ね、そうなんすよ。だから、ね、20日から、やっぱ秋田までもところがあと、やっぱその、アイデアとかね。で、ね、今回の、メンバー、なんか、ね、高崎さんは、ね、毎日、ね、いらっしゃるんでずっと。
[49:10:48] 高崎さん: あ、はい。
[49:11:47] 話者A: だからやっぱそのね、プロの先生方にもちょっとお話もね、伺えればなと思って。で、なんか、明確に、ね、僕、ね、もうこれね、ごめんなさいね。はい。なんか、ね、あの、高崎さんも、ね、はい、あの、プロの先生、ね、あの、高崎さん、今回ちょっと出させていただくんですけど、ま、高崎さん、今回ちょっとメンバーとして、えーと、高崎さん、今回ちょっとリーダーで出してもらって、あと、あの、高崎市の、ね、先生方とか、はい。そういうところでも、ね、お願いしつつ、ね、その代わり、ね、あの、他のところは、ね、ごめんなさい。あの、そうなんすよ。だから、やっぱ、ね、秋田は、秋田で、ね、頑張ってもらって、高崎は高崎で、ね、頑張ってもらって、秋田のメンバーも、ね、巻き込みつつ、ね、というところです。はい。
[49:37:64] 高崎さん: そうですね。はい。
[49:38:65] 話者A: あと、そうですね。えーと、タスクとしては、これ、マイルストーンを、マイルストーン管理っていうのをちょっと書類で送らさせていただきますね。はい、それぐらいでちょっと確認して、いただけたらと。あと、もう、そうっすね。ごめんなさい。僕、実は文系なんで、やっぱ秋田大学とかの紹介入れないといけなくて。そこだけちょっとやっぱかかっちゃいそうだなと思うので。あの、できればちょっと事前に、なんか、あの、ある程度やっていきたいなと思うので、先ほどのマイルストーンでいくと、7月の上旬、ターゲットで、なんか、あの、資料ができてて。だから6月、中ぐらいで、講師、こんな感じで考えてますっていうようなところをちょっと出してほしいなと思ってます。で。
[50:11:34] 高崎さん: 分かりました。
[50:12:29] 話者A: 多分、高崎さんのなかでもう頭のなかで決まってて、あの、多分すぐ出せる状態だと思うんですけど。
[50:18:74] 高崎さん: はい。スライドとかも、自動でつくれるようにとはなってます。
[50:23:44] 話者A: そうですよね。あと、このミーティングを全部、あの、文字起こしして自動でスライドがつくれるようにとはなってます。
[50:31:79] 話者A: ありがとうございます。できれば、はい、あの、また2ヶ月後の状況に合わせたいんすよ。
[50:39:69] 高崎さん: あ、分かります。僕もそう。はい。
[50:42:30] 高崎さん: はい。
[50:43:21] 高崎さん: なので、結構作るのギリギリ前でいいかなと思ってます。
[50:45:67] 話者A: あっ、そのほうがいいと思ってます。はい。
[50:48:44] 話者A: そうなんすよ。結構そうなんすよね。なんか、あの、今から準備しちゃうとレガシーシステムになってる可能性、これ半端じゃないので。
[50:54:99] 高崎さん: あ、ほんとそうっすね。
[50:56:49] 高崎さん: はい。
[50:57:42] 高崎さん: で、なんかもうこのご時世、あの、スライド資料、良作でつくれるんで。
[51:03:99] 話者A: なので、ちょっと、まあ、どちらかというと資料でつまずくポイントとしては、なんか、その、コンソーシアム内、ま、要は、あれっすよね。統括PMたちの、ちょっと紹介を、ちょっと、入れさせていただけないといけないので、ちょっとそこかなっていうところでっす。で。
[51:20:94] 話者A: えーと、秋田の方は割と多分緩いと思うんですけど、群馬の方がちょっと硬いかもしれないので。
[51:27:72] 高崎さん: 分かりました。
[51:28:65] 話者A: はい。その点いっしといてもらえたら助かります。すいません。プロなのでごめんなさい、ちょっと。
[51:32:82] 高崎さん: はい。大丈夫です。
[51:36:58] 高崎さん: 大丈夫です。
[51:38:64] 話者A: ありがとうございます。なので、10万×2プラス旅費実費支給というような形で考えてますけど。
[51:44:66] 高崎さん: バッチリです。ごい嬉しいです。
