もちろん、音声ファイルの文字起こしを承ります。

[00:14] （聞き取り不明）
[00:25] （聞き取り不明）
[00:43] （聞き取り不明）
[00:54] （聞き取り不明）
[01:06] （聞き取り不明）
[01:14] （聞き取り不明）
[01:21] （聞き取り不明）
[01:31] （聞き取り不明）
[01:40] （聞き取り不明）
[33:24] 話者B: うんうん。
[33:27] 話者A: これはでも多分うまくいくと思うんすけど。
[33:30] 話者A: これももう全然、えっと、ちょっと待ってくださいね。
[33:36] 話者A: えっと。
[33:42] 話者A: どれだ。
[33:44] 話者A: スライド、あ、これはさっき閉じたやつだから。ちょっと待ってください。えっと。ま、いっか。これでもう1回。
[33:54] 話者A: ドン。
[33:56] 話者A: なんか、Shopifyって。
[34:00] 話者A: あの、zipファイルを読み込むと見た目ガラッとテーマ丸ごと変えられるんですよ。
[34:06] 話者B: うんうんうん。
[34:07] 話者A: なんでそのzipファイルを決まった形に、え、出力できればECサイトが自在に作れる。
[34:16] 話者B: あ、そういうことか。
[34:18] 話者A: なので、えっと、それを作るやつを作ったって感じです。で、これはこないだあの。
[34:29] 話者A: えっと、僕が佐渡ヶ島に旅行行った時に、まあ、ちょっといい感じのお店があって。
[34:39] 話者A: あの、そこの売ってるものがちょっと欲しかったんで。
[34:45] 話者B: うんうん。
[34:46] 話者A: ECサイト欲しくないっすか？って言って。
[34:51] 話者A: 物々交換して、そのついでにあの、ECサイトを作る作り方も体系化しときますた、って感じです。
[35:00] 話者B: すごい。
[35:01] 話者A: これがもう、一応ここにアップロード手順だけここにざっと書いてあって、まあ、あとはショップのなんか、えっと、基本情報とヒーローイメージのやつと、ヒーローイメージの画像とっていうのをポチポチポチッと入力したりしていけば。
[35:21] 話者B: うんうん。
[35:23] 話者A: zipができるっていう。
[35:25] 話者B: これで自分の好きなイメージを
[35:27] 話者A: ECサイトとかも、まあ、作れると思います。
[35:32] 話者B: なるほどね。だからね、ECやってる人もこれがあるだと、自分ので、ね、デザインとかオリジナルのやつってなかなか、ね、面倒くさいとか大変だったりしますよね。これでzip作ってドコッと入れたら一気に反映されちゃうんですよね。
[35:46] 話者A: あと結構ECサイトはあの、決済のシステムとかの紐付けが結構エラーでやすいんで。あの、あんまり自信ない人は多分Shopifyとかを使うのがかなり安定すると思うので。
[36:00] 話者B: 確かにな、確かにな。
[36:02] 話者B: あの辺の決済周りとかね、自分てやりきっつやるのがなかなか大変ですからね。
[36:07] 話者A: そうなんすよね。
[36:08] 話者A: で、ECサイトのデザインはオシャレにしたいっていう人は多いので、多分これが一番いろんな人のニーズに答えやすいかなと思いますね。
[36:19] 話者B: うんうん。
[36:19] 話者A: その店もなんかShopifyのショップだけはあったけど、ページがしょぼかったんで。
[36:25] 話者B: うんうん。
[36:26] 話者A: それをなんか直せるようにしましたね。
[36:29] 話者B: ほー。
[36:31] 話者A: でも、これで。
[36:32] 話者B: でも本当にね、お店って見た目大事なんで、ね、それを整えてね、あと。
[36:39] 話者B: そういうなんだろう。これ、実際こんなのができたっていう、そういう事例はまだ今ないんですかね？これは。
[36:45] 話者A: あ、そうですね。これまだちょっと、あの、そのお店にはもうショップは納品したんですけど、ページは納品したんですけど、それを元にこのシステムを作ったんで、まだこのシステムを試してはなくて。
[36:59] 話者B: うん。
[37:00] 話者A: ま、なのでどなたか試して報告してくれると嬉しかったりします。
[37:05] 話者A: で、これとかもこうやって実行すると、こうやってあの、デスクトップにフォルダーができるようにしました。今ま、でちょっとフォルダーができなかったんですよね、実はこれ。
[37:15] 話者B: うんうん。
[37:15] 話者A: できるようにちょっと修正しましたんでね。是非。
[37:19] 話者B: うんうん。
[37:20] 話者A: これをさらにAIに読み込んで修正してっていうことをやって、自分なりのいいショップサイトが作れるとか、そういう自分のスライドが作れるとか、そういう風に全部自分なりにカスタムをしていって欲しいなと思ってますね。
[37:35] 話者B: うんうん。
[37:37] 話者B: そう。こういうツール、アプリすらも自分たちで、なんなら作れちゃうっていうのが。
[37:43] 話者A: はい。
[37:44] 話者A: クロドコードできてしまうので。
[37:45] 話者B: ね。あの、高崎さんのこのシステムをもちろん使ってやるのも良しだし、その使いながら自分使用にまたね、あの、いや、こういう風にしたいんだけどって言ったら作ってくれると思うし、うん。
[37:58] 話者A: あと。
[37:59] 話者B: それを何しろ。
[38:00] 話者A: システムとシステム繋げるのもできるんでね。
[38:02] 話者B: あ、繋げるもできるんですか？
[38:04] 話者A: うん。
[38:06] 話者B: 連動させてくみたいなね、こととか、うん。
[38:10] 話者B: だから、このなんだろう、うーん、あと逆に行った、こういうアプリが欲しいよって言ってくれたらね、逆にアプリを作るのは別に実はそんなに難しくなくできてしまうので。アイデアベース、叩き台のプロトタイプがどんどんできるからどんどんね、こんな風なアプリができたらいいなとか。で、逆にそれを、え、もうその、まま思いついたやつを言っちゃうってのもありですね。Codex App Server作ってくれって言えばね。それこそ最新の5だったらもっとできるかもしんないし。
[38:28] 話者A: うん。
[38:39] 話者A: なるほど。
[38:40] 話者A: も思すね。なんか最後まで実行するって言ってるし。
[38:44] 話者B: ね。
[38:44] 話者A: うんうん。
[38:46] 話者A: あと、なんならさっきのポケモン、ポケモン作ってくれないかな、ポケモンゲームをね。
[38:51] 話者B: うん。
[38:53] 話者A: 結構でもあの。
[38:57] 話者A: Codex App Serverとかがそもそも、えっと、考え方として新しすぎたんで、なかなかAI自体がそのCodex App Serverを知らなくて。えっと、あ、じゃあAPI使いますねとかって言い出すしたりしてたんですけど。
[39:17] 話者B: うんうん。
[39:18] 話者A: もしかしたらモデルが、モデルが変わったことによってベース知識がちょっと新しくなったから。
[39:25] 話者A: なんか、なるから、なる。ちょっとその辺も通りやすくなるかもしんないですね。
[39:31] 話者B: そうですね。前提の知識がね。
[39:34] 話者B: うん。もちろんリサーチさせれば最新情報持ってくるとは思うんですけど。リサーチした方がいいかもしんないですね。公式のドキュメントをね。あ、それさんが、え、修正感謝です。ね。
[39:36] 話者A: うん。
[39:43] 話者A: そう、なんか、多分、何度かコメントいただいてましたよね、きっと。あの、LINEとかの。
[39:49] 話者B: はい。
[39:50] 話者B: そう、それでもちろん、ま、途中、途中で止まってるみたいな報告を受けたので。
[39:56] 話者B: あの、全部その、ダウン、もうなんか、でも修正して、みんなが動くようにして配布はちょっとできなかったんで。あの、みんなが修正できるようにしました。
[40:09] 話者A: うんうん。
[40:11] 話者B: いや、いいですね。で、本当。
[40:14] 話者B: あとはまたバグとかね、まあ、全部100%皆さんの環境に合うかとか色々あると思うんで。で、それの都度またそのAIに聞きながらフィットさせていけば、皆さんの環境とか自分の事業にフィットしたね、あの、ビタビタにあったAIツールが、え、使えるし作れるようになりますんでね。はい。
[40:24] 話者A: うんうん。
[40:35] 話者B: あ、木村さん、おはようございます。木村さんもおはようございます。
[40:38] 話者A: ね、すごい、ね、あの、もうそういう時代なので、あの、
[40:46] 話者B: このなんだろう、AIを、え、使うというよりはAIを作る感じで、自分たちの事業とかやりたいこととか課題とかと理想のゴールを与えて、え、そこにに必要な材料、分かんないことは全部ヒアリングしてもらった上で、え、このゴールを決めて、これをできるまでやりきってくれ、手を尽くしてくれって言えば、大体やってくれると思います。
[41:09] 話者B: はい。
[41:11] 話者B: あ、ウルトラコードがまだ走ってる。すごいな。
[41:14] 話者A: あはははは。
[41:15] 話者A: すごいっすね。え、結構実行、え、何してるんですか、今？
[41:23] 話者B: 今、あの、今のシステム全部を、あの、チェックして直す、フックとか、セッティングとか、ルールとか全部、あの、フェイブル5にチェックさせていて。で、検索で8体と、え、ベリファイで29体。で、今、もう少して終わりますけど。はい。
[41:44] 話者B: ま、でもトークンどうなんだろう？使ってるのかな？あ、もう58%。さっき4%とかだったのに。
[41:50] 話者A: うわあ。
[41:51] 話者B: 50%ぐらい使っちゃってんの。
[41:52] 話者A: えぐ。
[41:52] 話者B: あ、でも他にもいっぱい動かしてるんであれかもしんないですけど。あ、でも相当燃えますね、これ。あの、トークンは。
[41:59] 話者A: そうなんだ。やだな。
[42:02] 話者B: はい。これAPIになったらいくら掛かるんだって感じすよね。
[42:06] 話者A: なんかやっぱやっかいですもんね。
[42:07] 話者B: おはようございます。あ、是非、そう。
[42:10] 話者B: あの、Ashraのね、ヒーヨー業どんどん試していただければと思います。はい。
[42:15] 話者A: ヒーヨー業。なんか、こう、ヒーヨー業全部使い続ければ、それだけで仕事成立するはず、じゃ、成立するはずって思ってますけどね、僕は。
[42:28] 話者A: ん？
[42:29] 話者A: あ、そのヒーヨー業全部使いこなせば、それだけで仕事成立するんじゃねえって思ってます。
[42:36] 話者B: あー、本当にね。うん。
[42:38] 話者B: で、ヒーヨー業のようなアプリも皆さんが作り始めると、自分たちの事業に合った自社専用のアプリも作れるし、Codex App Serverで作ればそれをクライアントさんに提供して、クライアントさんの自分でOpenAIログインしてやってもらえばいいだけの話なんで。
[42:57] 話者B: ね、あの、API代課金とか、API、ね、APIここに来たらブロックするとか、いちいち禁止せずにどんどん自由に使いこなせていうので。で、見つけてきたら、じゃあ、あの、チャットGPTのプラン上にしたらいいんじゃないですか、っていうだけなんで、あの、非常に精神的にも。
[43:14] 話者A: そうなんすね。
[43:14] 話者B: 何だろう？
[43:15] 話者A: うん。
[43:16] 話者B: 心配しなくていいんでね。
[43:17] 話者A: 結構なんか、やっぱAPI課金とかあると、あ、じゃあこれマネタイズするために毎月費用業いくらにしてとか、なんか、そういうことを結構こちゃこちゃこちゃって。
[43:29] 話者A: いっぱい余計なことを考えなきゃいけなくなるので。
[43:33] 話者B: うんうん。
[43:35] 話者B: なんかこんなスライドとかこんなLPとか、ヒーヨー業でできた、できた、こんなの出来るよ系をちょっと見せたいなと思うんですけど。
[43:44] 話者A: こないだ、あれです。ちょうど僕、あの、PTAの。
[43:51] 話者B: ああ、なんか投稿されてましたね。
[43:53] 話者A: PTAの総会で、あの、あれですね、えっと、お話をしてきた時のスライドとかはまさしく一発ポン出しとかでちょっと作ってるんで、ちょっとお見せしますね。
[04:07] 話者B: はい。
[04:13] 話者A: 結構ね、やっぱ結局このスライド資料はあれすね。めっちゃ便利。
[04:21] 話者B: うんうん。
[04:25] 話者A: あれ、どれだっけ？ちょっと待って、あ、えっとね。今、画面共有。
[04:30] 話者A: こんだけ作ってるぞも店れるから、画面共有をGoogleドライブからしましょうか。
[04:40] 話者A: 1個1個のフォルダが全部スライドなん。今まで作ったスライドなんですけど。
[04:45] 話者B: あー。
[04:46] 話者A: ちょっと待ってくださいね。こないだ、あ、どうだっけ？あ、AIは子供の学びをどう変えるか、あ、これかな？
[04:54] 話者B: おお。
[04:55] 話者A: ま、こうやって画像がばーっと出て、えっと、Googleスライドに勝手にアップするまでやってくれます、ちなみに。
[05:04] 話者B: あ、進化してるんだ。
[05:05] 話者A: はい。
[05:08] 話者A: すごい。
[05:11] 話者A: あれ、これらがなんか、ま、僕の自己紹介込みで、あ、これはこないだ僕が佐渡ヶ島に行った時に写真をうまく使って自己紹介作ってって言ったらこんなんできました。
[05:24] 話者B: なるほど。
[05:25] 話者A: うん。
[05:26] 話者A: 佐渡キンさんがキラキラしてる。はい。めっちゃゴールドらしい。ゴールドらしい。
[05:31] 話者B: ゴールドらしい。
[05:33] 話者B: あははは。
[05:36] 話者A: で、ま、で今回ちょっとあの、僕が作ってるゲームのキャラを言えるように。たまにね、やっぱりちょっと変な顔になっちゃったりするんすけど。
[05:43] 話者A: これが1枚1枚本当は作り直しますね。
[05:51] 話者B: うんうん。
[05:53] 話者A: で、ま、こんな感じで。
[05:55] 話者A: で、ま、ポイントはキャラの画像は1枚ずつしか入れてないのに、こんな風にポーズを合わせてうまく作ってくれるってところです。
[06:04] 話者B: うーん、うん。
[06:07] 話者B: 本当だ。ちゃんとね、動いてくれますね。顔は若干変わるけど。
[06:12] 話者A: はい。これ一発ポン出しで、あの20枚ぐらいのスライドで、このぐらいの変化で済んでるんで、結構再現度は維持できてる気がします。
[06:24] 話者B: 確かに。この辺とかめっちゃ維持できてる。
[06:28] 話者B: このクロドの、初代がたまにワープロみたいになんだろ、え、システムフォントみたいになるじゃないですか。あれが、これかなんか調整しにくいんですよね、いつもね。
[06:36] 話者A: あー。
[06:40] 話者A: ああ、あれ、あれってなんか、多分、えっと、Codexってこういう文字がいっぱい入るやつは、文字、テキスト情報別で作ってるんですよ。
[06:55] 話者B: あー、そっかそっか。
[06:56] 話者A: で、それで貼るからなんか、付箋のメモ帳みたいなのかどんどん残っちゃったりするんすね。
[07:03] 話者B: 合成してるみたいな感じ。
[07:05] 話者A: あ、そうそうそうそう。なるほどね。
[07:06] 話者B: うん。
[07:07] 話者A: なので、この付箋のメモ張りが残るから消してっていうのを明確に、あの、指示とあの、残してますね。
[07:17] 話者B: うんうん。
[07:18] 話者B: なるほど。だから、初体の問題じゃなくって、その合成して作るっていうとここの問題があるんです、これ。
[07:25] 話者A: そうなんすね。
[07:25] 話者A: それでその作る工程があって、それ、それがなんかえっと、画像としても残っちゃってるってことなんだと思いますね。
[07:37] 話者B: うんうん。うん。
[07:40] 話者A: でもそう、このスライド作成は、でもちょっとどうなんだろう？僕が、僕がね、この、僕が元々自分が作るスライドがガチャガチャうるさいスライドを作るんで結構、絵が多い。
[07:49] 話者B: うんうん。
[07:52] 話者B: うんうん。
[07:53] 話者A: なのでこういう風なスライドにしてるんですけど。
[07:57] 話者A: ちょっとあの、もっとすっきりな人、すっきりがい、いいなみたいな人とかは、えっと、ここのところとかで、あ、次の画面に、ちょっと。
[08:08] 話者A: ま、いっか。とりあえず抽象的。
[08:15] 話者B: うんうん。
[08:18] 話者A: なんか、シンプルがいいなとか、こうミニマルが、ミニマルとか、こういうのでテイストを選んだりとかもできるようにしてますね、僕は。
[08:26] 話者B: うんうん。
[08:29] 話者A: で、ま、こういう風に。
[08:31] 話者B: この辺のね。
[08:32] 話者B: これでだいぶ変わりますね。
[08:34] 話者A: そうですね。
[08:35] 話者A: App上でもいろんな、えっと、設定とかを変えるみたいなこととかも、えっと、Codex App Serverだとゆえば作ることができるってとこですね。
[08:44] 話者B: うんうん。
[08:46] 話者A: こうやって画像ポチポチとアシュラくんとか選ぶとかもできますね。
[08:51] 話者B: うんうん。
[08:53] 話者A: こうやってキャラ選んで、もっとこうしてとかって色々言って、どんどんやるとスライドがさっきみたいにこうやってできちゃうってやつです。
[09:02] 話者B: すごい。
[09:05] 話者B: あ、弁天さん。
[09:06] 話者B: あとLPもね、結構きれいにできますもんね。
[09:10] 話者A: LPとかもそうですよね。なんか、えっと、何があったかな？GitHubでいいかな？
[09:20] 話者B: しかも公開してね。公開まででもやってくれちゃうって。
[09:24] 話者A: 僕に。
[09:27] 話者A: ホームページ作ってくださいよなんて軽く言っちゃうと勝手に公開までしますからね。勝手に作って勝手に公開までして、作ったこと言い忘れるとかめっちゃありますからね。
[09:39] 話者B: うんうんうん。
[09:40] 話者A: あれ？これ、あ、ノート、あ、違う、これじゃない。僕ちょっと待ってください。僕が勝手に作って勝手に作ったコーヒー屋さんのホームページがどっかにあはず。ちょっと待ってください。
[09:59] 話者A: これか。
[10:12] 話者A: あら、おしゃれ。
[10:15] 話者B: すごいね、もう。これがポン出しで。
[10:18] 話者A: そうっすね。
[10:18] 話者B: ですよね。で、ちゃんとね、あの、ポイントは、このGoogleマップとか、こういう、ちゃんと、本当の本当の情報だったり、画像生成も全部同時にやるみたいな。
[10:20] 話者A: うん。
[10:31] 話者B: 感じですね。
[10:32] 話者B: うんうん。
[10:34] 話者B: いやー、これ叩き台でこれが出てきたらもう十分すぎますよね。あとね、微調整とか修正してけば、画像変えるとかね。で、zipもダウンロードできるし。
[10:45] 話者A: あと、なんかこの予約とか、配送とか、そういう仕組みとかも自在に入れれるってのとか、LINE公式アカウントとか、SNSとかとの連携とかももう自由自在とか、そんな感じです。
[10:59] 話者B: うんうんうん。
[11:00] 話者A: その辺りの。要は、この辺もっと繋げて欲しいんだよね、みたいな、そのいろんなえっと、かゆいところに手を届かすみたいなところも自在に合わせれるっていうのがポイントだと思います。
[11:15] 話者B: うんうん。
[11:17] 話者B: あ、なんかアクセス解析もクロドにしてもらってます。いいですね。
[11:21] 話者B: 連携がまだ。
[11:22] 話者A: ああ、そうですね。なんかアクセス解析とかもなんか。
[11:26] 話者A: 意外と全然スタイリッシュじゃないやり方とかもあって、例えばなんかもう全部、あの、Googleアナリティクスそ画面とかをスクショでパチパチ撮って、それでクロドコードに共有してどんな感じとかって言うだけでいいと思うんですよ、ね。
[11:43] 話者B: うんうん。
[11:51] 話者B: もうそういうので画像解析の時点でかなりいろんな精度が高いし、もうかなりいろんなこと言ってくれるんで、僕は結構大体分析系はもうスクショ貼って、ペーンで結構色々やっちゃいます。
[12:06] 話者B: うんうん。
[12:07] 話者A: それをなんかいろんなシステムとかに組み込むとかそんな感じになるかな。
[12:13] 話者B: いや、でも本当これてできると、ま、LPとかスライド作って実際やってみてとか、さっきみたいにアクセス解析分析結果も繋いでいって、そのアクセス解析分析結果に基づいて改善をするとかっていうのもできるので。本当に自分たちの事業の実態に合わせたものをAIが作ってくれるし、その実態に合ったAI、AIツールそのものも作ってくれるっていう。え、そんな時代に、もう入ってるんで。皆さん自身がアプリを作れる、もうね、その、え、ツールはもう道具は揃ってるわけなので、あとは日本語でやり取りするだけ。ね。あとは判断できる、っていうことができればいいので。ま、そう言ってくると、あの、Ashraのね、あのサービスってのは、その辺の判断ができないちょっと、え、エンジニアじゃないと分からないのが出てきちゃったんだけど、どうしたらいいのみたいなところは高崎さんに聞けるし、え、マーケティング的にこれ、なんかマネタイズしたいんだけどとか言ったら僕がいろんなアイデアも提供できるっていうので。なんか皆さんが本当に自分たちの課題解決しながらビジネスうまくね、自分の本業を活性化させながら新しい収益ラインを作ってく、新しいAI時代に新しい仕事ができてくみたいなそんな感じをなんかAshraに見つけそうな気がして楽しみだなと思ってます。
[12:28] 話者A: うんうん。
[12:50] 話者A: うんうん。
[13:29] 話者A: そうなんす。
[13:30] 話者A: うん。
[13:31] 話者A: うん。
[13:32] 話者A: うんうん。
[13:33] 話3: 連携がまだうまくいってない。ぜひね、なんかどんなあの、うまくいってない連携とかもぜひあの、えっと、Facebookのコミュニティとかに投げてくれれば、あの、お答えしますんでね。そういう、え、こんなん聞いていいの？みたいなことも、とりあえず聞いてくれれば多分答えますんで。あの、聞いてください。
[13:46] 話者B: うんうん。
[13:56] 話者B: そう、まずね、聞いてもらうのが大事だし。まあAIに聞いてもらっても分からないところは、あの、もうどんどん、あの、投げてもらって、それが逆に言うと他の人が実は分かんなかった問題に繋がってたりするので。はい。皆さんが悩み課題を掘り込んでもらうほど、え、実は、え、我々にとっても、え、ま、逆にとコンテンツにもなるので。うん。
[14:18] 話者B: うん。
[14:21] 話者B: あ、やっと、なんか、ウルトラコード、ダイナミックワークフローが終わりましけど。え、50%ぐらい消費しましたね、あの。
[14:30] 話者A: うーん。
[14:31] 話者A: お時間。
[14:31] 話者B: うんうん。
[14:33] 話者B: すごい。
[14:35] 話者B: うん。
[14:35] 話者A: なんか違い、違いは感じましたか？どうですか？ま、でも、
[14:38] 話者A: うん。
[14:39] 話者B: 違い、
[14:40] 話者B: この時間をもりっと作業をまずしてたっていう時点で結構、すごい。
[14:46] 話者B: うん。
[14:47] 話者B: うん。
[14:49] 話者B: ただなんか相当制度高そうな、なんだろう、うん、品質が高そうな動き方をしてますね。
[14:57] 話者A: うんうん。
[14:59] 話者A: 仕事、仕事できムーブではありましたか？
[05:05] 話者B: 仕事できムーブ。
[05:06] 話者B: なんか4.8若干エラーが多かった気がするんですけど。なんかバグがあるというか。うん。
[05:09] 話者A: うんうん。
[05:11] 話者B: なんかそういう、挙動、挙動の安定性は割と良さそうな感じ、触った感じは。
[05:17] 話者A: はーはーはーはー。
[05:18] 話者B: なんか丁寧にやってる感じがしますね。
[05:20] 話者A: なるほど。
[05:22] 話者A: うん。
[05:23] 話者B: だからまだね、どうなるか分かんないんで、実際にやって、今日、あの800本ぐらいブログ記事リライトさせるっていうタスクがあったので。
[05:30] 話者A: うんうん。
[05:31] 話者A: うんうん。
[05:32] 話者B: あの、この5にやらせてみようかなと思うんですけど。
[05:35] 話者A: うんうん。
[05:36] 話者A: うんうん。
[05:37] 話者B: そう。4.8がバグってるで、溜まってたんで。あの、トークンめちゃくちゃ余ってるんで、今。
[05:43] 話者A: なるほど。
[05:45] 話者B: そう。それを全部やらせて、無駄にやらせてやろうかなと思ってんですけど。
[05:49] 話者A: うんうん。
[05:51] 話者A: 相変わらずブラック企業ですね。
[05:54] 話者B: ブラック企業。
[05:55] 話者B: 相当ね、あの、相当仕事、あの、なんだろう、やらせてますね。
[06:03] 話者A: うんうん。
[06:04] 話者A: 800本。
[06:06] 話者B: あと最近は、ヘルベスも入れて、はい。あの、ただヘルベスも結局6月15日過ぎちゃうとAPI課金にね、クロドコードになっちゃうから。うん。うん。あとだからジェマ4も入れたりとか、え、え、あとグロックか。グロックのサブスクで動かすとか。うん。あとCodexのサブスクでやるとか、サブスク系をどんどん設定入れてやってますけどね。
[06:12] 話者A: うんうん。
[06:20] 話者A: うんうん。
[06:36] 話者A: そうすよね。なんかちょっと高、クロドコードがでも、そのクレジット性になったらちょっと厳しいかもしんないな。どうなんだろうな？
[06:47] 話者B: ねえ。うん。
[06:49] 話者A: うん。
[06:50] 話者B: 5だけがね、あれなのかもしれないけど。
[06:52] 話者A: うーん。多分そういうことなんでしょうかね。
[06:55] 話者B: うんうんうん。
[06:58] 話者B: あと画像生成系もCodexでずっと回してたら、なんかリミットが最近早く切る感じがしますね。
[07:05] 話者A: あ、そうなんすか？
[07:07] 話者B: うん。なんかやりすぎてるのか。
[07:08] 話者A: うん。
[07:09] 話者A: 平屋げですかね、また。
[07:11] 話者B: 分かんないんですけど。で、どうなってるか分かんないんで、その管理画面みたいなのを作ったんですけど。
[07:15] 話者A: はい。
[07:16] 話者B: Codex画像生成9、はいはい。うん。で、作ってるやつをこのね、あの、優先度高と並べ変えれるようにとか。あと、順番待ちが何個あるかとか。今順番待ち9個だ。なんかリミット検知でクールダウン中。あ、リミットがやっぱ。
[07:29] 話者A: うん。
[07:30] 話者B: 出ちゃってる。
[07:31] 話者A: あ、本当だ。
[07:32] 話者B: うんうんうん。
[07:35] 話者B: そう。前はこんな止まんなかったんですけど、114個作って全然そんなへこたれなかったんですよね。あと並列でもガンガン動いてたのがなんか。うん。3つぐらいやるともう動かないし。すぐリミット。
[07:44] 話者A: うん。
[07:46] 話者A: うん。
[07:48] 話者A: うん。
[07:49] 話者A: うん。
[07:50] 話者B: うん。なので。
[07:53] 話者A: あれなのかな？あと世の中の人がいっぱい使ってるとかですかね。
[08:02] 話者B: ですかね。うん。
[08:04] 話者A: うん。
[08:05] 話者A: でなんか。
[08:07] 話者B: うん。普通にやる分には全然大丈夫です。あの僕みたいにアホみたいに。
[08:09] 話者A: うんうん。
[08:11] 話者B: あの800記事を画像生成を。
[08:15] 話者A: うんうん。
[08:16] 話者B: でも順番待ちが何十人、何百人ってなってんで、それは多分、それは詰まるよね、みたいな。
[08:20] 話者A: うんうん。
[08:21] 話者B: 異常なことしなきゃ大丈夫だと思います。
[08:24] 話者A: うんうん。
[08:29] 話者B: ってことでね。じゃあ、ちょっとAshraの最後じゃあ、おしらせとか、え、告知というか宣伝というか。
[08:35] 話者A: はい。
[08:36] 話者B: できればなと。はい。
[08:38] 話者A: そうですね、ぜひぜひ。ちょっと待ってくださいね。よいしょ、よいしょ。
[08:41] 話者A: えーっと、画面共有も。
[08:51] 話者A: はい、えっと、僕とひろくんと、あとたくみくんがやっております。この非エンジニアのためのAI開発学習コミュニティAshraというところでございます。えっと、このAshraのように顔や手を増やしてバババッと仕事を一気に終わらせていこうというところからAshraという名前になっております。で、えっと、こう普段こうライブでやってるようなですね、僕のマニアックな知識であるとか知見といったところとかを、こういう、えっと、ヒーヨー業という形にまとめて配布をしていたり。皆さんが実際に、あの、エンジニアじゃなくてもAI使いこなして実際に作れるようにってところで、講座とか、あとは、えーっと、グルコンとかやって何でも質問とかしたりとか、あの、実際に手動かしたりとかして実際に作っていけるってとこを目指していけます。あとはそういもの作、考えるの作っていきやすいようなビルダーとか、そういう独特のツールとかも使い放題となっておりますので、こういう、えっと、チャット、AIの相談、AIの相談とかもこうやってね。
[09:50] 話者A: うんうん。
[10:07] 話者A: おお。
[10:11] 話者A: おお。
[10:18] 話者A: うんうん。
[10:23] 話者A: うんうん。
[10:28] 話者A: うんうん。
[10:33] 話者A: うんうん。
[10:39] 話者A: うんうん。
[10:44] 話者A: うんうん。
[10:49] 話者A: うんうん。
[10:54] 話者A: うんうん。
[10:59] 話者A: うんうん。
[11:03] 話者A: うんうん。
[11:07] 話者A: うんうん。
[11:12] 話者A: うんうん。
[11:17] 話者A: うんうん。
[11:21] 話者A: うんうん。
[11:26] 話者A: うんうん。
[11:31] 話者A: うんうん。
[11:35] 話者A: うんうん。
[11:40] 話者A: うんうん。
[11:44] 話者A: うんうん。
[11:48] 話者A: うんうん。
[11:53] 話者A: うんうん。
[11:57] 話者A: うんうん。
[12:01] 話者A: うんうん。
[12:05] 話者A: うんうん。
[12:10] 話者A: うんうん。
[12:15] 話者A: うんうん。
[12:20] 話者A: うんうん。
[12:25] 話者A: うんうん。
[12:30] 話者A: うんうん。
[12:35] 話者A: うんうん。
[12:40] 話者A: うんうん。
[12:44] 話者A: うんうん。
[12:48] 話者A: うんうん。
[12:52] 話者A: うんうん。
[12:56] 話者A: うんうん。
13:00] 話者A: うんうん。
[13:04] 話者A: うんうん。
[13:07] 話者A: うんうん。
[13:11] 話者A: うんうん。
[13:15] 話者A: うんうん。
[13:19] 話者A: うんうん。
[13:23] 話者A: うんうん。
[13:28] 話者A: うんうん。
[13:32] 話者A: うんうん。
[13:36] 話者A: うんうん。
[13:39] 話者A: うんうん。
[13:43] 話者A: うんうん。
[13:47] 話者A: うんうん。
[13:52] 話者A: うんうん。
[13:56] 話者A: うんうん。
[14:01] 話者A: うんうん。
[14:05] 話者A: うんうん。
[14:10] 話者A: うんうん。
14:13] 話者A: うんうん。
[14:16] 話者A: うんうん。
[14:21] 話者A: うんうん。
[14:25] 話者A: うんうん。
[14:30] 話者A: うんうん。
[14:34] 話者A: うんうん。
[14:37] 話者A: うんうん。
[14:41] 話者A: うんうん。
[14:45] 話者A: うんうん。
[14:49] 話者A: うんうん。
[14:53] 話者A: うんうん。
[14:58] 話者A: うんうん。
[15:02] 話者A: うんうん。
[15:06] 話者A: うんうん。
[15:11] 話者A: うんうん。
15:15] 話者A: うんうん。
[15:20] 話者A: はい。ってことでですね、あの、はい、僕もちょっと喋り切ったんで、はい。最後、告知をして終わりたいと思います。このAIで人生を攻略するビジネススキルを爆上げする学習コミュニティAshraっていうのをやっております。えっと、今僕とひろさんと、あとはたくみくんがやってるっていうこの3人の人たちがやっているっていうところで、はい、えっと、非エンジニアがAI開発ができることを目指す学習コミュニティということでやっております。え、毎日朝7時からですね、こんな風にYouTubeライブをしております。えっと、毎週木曜日はあの、ひろさんとのあの、GPTs研究会ですね。はい、あの、この前もあの、僕が作ったApp ServerのこのAppの話をしてきました。えっと、あとですね、えっと、毎週水曜日は僕と高崎さんのAI活用、あの、この前もあの、App Serverの話をしております。え、そして金曜日はあの、僕とたくみくんのChatGPT開発部っていうところで、あの、この前もあの、ChatGPTを開発して遊ぶっていうところをやっております。
