[00:00] （ノイズ）
[06:17] 話者A: あの、なんだろう、反響があったっていうのが、ちょっと。
[06:21] 話者A: あっただけなんですけど。
[06:23] 話者A: この辺も。
[06:24] 話者A: 1回叩き台作ってみたいなって思ってる時に、えー。
[06:29] 話者A: ま、こんな風に作れますよっていう紹介も1つあってもいいかなっていうだけなんですけどね。
[06:33] 話者A: あとはコミュニティの方で、えっと、この新しいメンバー歓迎しようみたいな機能があるので、この辺を定期的に。
[06:40] 話者A: 入ってきたら投稿する。
[06:42] 話者A: その時に自己紹介ここでしましょうとか。
[06:44] 話者A: なるほど。
[06:45] 話者A: 会員サイトのページのURL貼って、こっからまずはこのツール、ワークフロービルダー使ってみようとか。
[06:51] 話者A: うん。
[06:51] 話者A: ね。
[06:52] 話者A: ま、まずは自己紹介でいいと思うんすけど。
[06:52] 話者A: 自己紹介こちらに投稿してねってのを自動で、毎週1回出すとか。
[06:56] 話者B: 赤ちゃんか。
[06:57] 話者B: あ、やべえ。
[06:59] 話者A: うん。
[07:00] 話者B: うぷる。
[07:02] 子供: これ見える？
[07:03] 話者A: あ、届いたんすか？
[07:04] 話者B: これ。
[07:05] 話者B: 今、不在票だね。
[07:07] 子供: これ見える？
[07:08] 話者A: それは。
[07:09] 話者B: 今すぐ持ってこいっつって。
[07:10] 話者A: 今すぐ持ってこいっつって。
[07:12] 話者A: マック大事っすよ。
[07:14] 話者B: あ、じゃあね、戻ったんだ。
[07:17] 子供: マナちゃん映ってない。
[07:19] 話者B: マナちゃん。
[07:21] 話者A: こんにちは。
[07:22] 話者A: 明日は会えないか。
[07:24] 話者B: 明日はそっかね、どうかな。
[07:29] 話者B: お、これ、お父さんが作ってるツールだよ。
[07:33] 話者A: かわいい。
[07:34] 話者A: 天才だね。
[07:35] 話者B: うん。
[07:36] 話者A: はい、今、今何歳なの？
[07:38] 子供: 4歳。
[07:40] 話者A: え、4？
[07:41] 子供: まだ4歳。
[07:42] 話者A: 4歳。
[07:42] 話者A: 4歳か。
[07:44] 話者A: じゃあ、いいね。
[07:45] 話者A: で、もうすぐあっという間に小学生になっちゃうからね。
[07:47] 話者B: やばい、まだ、まだその頃僕喋ってなかった可能性が。
[07:50] 話者A: すごい。
[07:51] 話者A: いや、やばい。
[07:52] 話者A: すごい。
[07:53] 話者A: すごい。
[07:54] 話者B: AI炸裂してる。
[07:56] 話者A: AI炸裂してる。
[07:57] 話者A: へえ、すごい。
[07:59] 子供: わかんない。
[08:00] 子供: わかんない。
[08:01] 子供: わかんない。
[08:02] 話者B: ペンギン？
[08:04] 子供: あ、で。
[08:05] 話者B: ペンギン。
[08:06] 話者B: あ、マスクだね。
[08:06] 子供: え、誰の？
[08:07] 話者B: え、お父さんの。
[08:08] 話者B: なんか。
[08:09] 話者A: あ、決める。
[08:10] 話者A: 利用規約とかまだ作ってなかった気がするんですけどね。
[08:12] 話者A: 利用規約。
[08:13] 話者B: ああ、確かに。
[08:14] 話者A: うん。
[08:14] 話者A: あの辺もちょっとやっぱやっとかないとなと思って。
[08:17] 話者B: なんとなく、一応塾のやつとかあったりするんで、それベースでオンラインの。
[08:23] 話者B: やつでなんちゃらっての作ってみますか。
[08:25] 話者A: あ、確かに。
[08:26] 話者A: それでいいかもしれないっすね。
[08:28] 話者A: うん。
[08:30] 話者A: なるほどっすね。
[08:31] 話者A: これでなんか、例えば。
[08:35] 話者A: チャットGPT使ってる人はチャットGPTのメモリからこの指示引っ張ってきて、ぶん投げたら。
[08:39] 話者A: なんか自分の意図するページが、比較的簡単にできそうな気がしたんで。
[08:43] 話者B: うん、うん。
[08:44] 話者A: なんか。
[08:45] 話者A: なんだろう。
[08:46] 話者A: 入ってきてLPを作るって時に、LPメーカー使って。
[08:51] 話者A: あの、何作っていいか分かんない時はAI使って、一旦叩き台作ってもらうと、少し感動するからと思って。
[08:56] 話者B: うん、うん、うん。
[08:58] 話者A: こんなページできましたつってね。
[08:59] 話者A: うん。
[09:01] 話者B: いや、結構。
[09:02] 話者A: みたいな感じで、あの。
[09:04] 話者A: だから、コミュニティはまず、自己紹介してもらって。
[09:08] 話者A: で、そこで自己紹介。
[09:10] 話者B: だいたい、あの、ひろくんがそのLPメーカー開いてってやったら、普通に動きます？
[09:18] 話者A: 動きます。
[09:19] 話者A: で、動かなかったのが、なんだっけな。
[09:21] 話者A: し、えー、アニメメーカーとかはなんかエラーが出て。
[09:25] 話者B: アニメメーカーちょっとまだ、アニメメーカーと、えっと、株のやつはちょっと今まだ。
[09:34] 話者B: えっと。
[09:35] 話者A: 調整中。
[09:36] 話者B: 未修正です。
[09:38] 話者A: なるほど。
[09:39] 話者A: ノートもそうすね。
[09:41] 話者B: ノートも動きました。
[09:43] 話者B: ました。
[09:45] 話者A: なんかローカル。
[09:47] 話者B: ノート、ノート動いたんですけど、どうでしょう？
[09:50] 話者B: っていうとこなんすけど。
[09:52] 話者B: ログインとかも最初に、ログインとかも最初にしとく、あのしとくみたいな感じにしたんですけど。
[10:00] 話者A: なんか。
[10:02] 話者A: こんな、こんなエラーが出ましたね、ノート。
[10:04] 話者B: ノートは。
[10:05] 話者A: うん。
[10:05] 話者A: ローカルプロジェクトのページメーカー。
[10:07] 話者A: ま、まさにでも、これこそこの環境が多分入ってないから。
[10:12] 話者A: えー。
[10:13] 話者A: Node.jsパッケージHTML。
[10:14] 話者B: ああ、ああ、ああ。
[10:15] 話者A: これ。
[10:16] 話者A: この辺がだからこれ、これ。
[10:18] 話者A: これをだから、あの、クロードコードに投げればいい。
[10:21] 話者B: 多分それ、で、それでやったら。
[10:25] 話者B: あれってなんかコマンド打つとデスクトップとかにフォルダーって作られますか？
[10:32] 話者A: この時点でですか？
[10:33] 話者B: はい。
[10:35] 話者A: デスクトップには入、何も入ってない。
[10:37] 話者B: ここれってコマンド入力したら、どこの何が立ち上がってるのかよく分かってなくて。
[10:44] 話者A: でもこれNodeがダメって言われたら、なんかそもそもクロードも立ち上がんのそそうですけど。
[10:48] 話者A: うん。
[10:49] 話者A: 勝手な腹感。
[10:50] 話者B: なんか読み込みが変な感じになってるって感じ、あの。
[10:54] 話者A: あ、でも、これ今エラー出てるから、ちょうどいいんじゃないですか。
[10:56] 話者A: だから僕だとほら、エラー出た時に、こうやって直しますっていうのを録画しといて。
[11:02] 話者B: はい。
[11:03] 話者A: 動画にしとけば。
[11:05] 話者A: なんだろう。
[11:05] 話者A: まず初めこれやります。
[11:06] 話者A: で、こういうエラー出たら、こういう風にやります。
[11:07] 話者A: で、こうやったら治りましたを撮っといた方がいいっすよね、直す前に。
[11:12] 話者B: あ、なんか撮っといてくれると嬉しいです。
[11:15] 話者A: うん。
[11:15] 話者A: で、その辺どんどん一旦撮って、Facebookとかに上げとくとか、YouTubeに上げとくとか一旦しといて、後で会員サイトに。
[11:22] 話者A: えー、整えるみたいな。
[11:24] 話者B: うん。
[11:24] 話者A: そんな感じでいいかなと思った。
[11:26] 話者B: うん。
[11:27] 話者B: なんか結構多分。
[11:29] 話者B: エラー来た、エラー出てます、動きませんって連絡来る。
[11:34] 話者B: それ1個1個対応、っていう風になるのが結構目に見えている、という。
[11:40] 話者A: うん。
[11:40] 話者A: ありますね。
[11:41] 話者B: 逆に1ヶ月無料ってやった、やってんのが仇となってる感があって。
[11:47] 話者A: うん。
[11:48] 話者B: やばい、1ヶ月以内に、なんか使えるようにしないと、みたいな感じになるか、なんか使えねえなら登録するのやめとこうみたいになるかみたいな感じになりそうで。
[12:00] 話者A: なんかこのエラーの対応だけで1ヶ月終わっちゃったみたいな。
[12:03] 話者B: そう、そう、そう。
[12:04] 話者A: だ、まずワークフロービルダー使ってもらうとかでいいっすよね、普通にね。
[12:07] 話者B: ですね。
[12:08] 話者A: から、順番的には、まずワークフロービルダーで、自分の業務を棚卸ししてから、ここで自分でやりたいことやって、それをコピペして。
[12:17] 話者A: クロードコードにやってもらいましょう。
[12:20] 話者A: で。
[12:22] 話者A: そこであの、出てきたものをこういう風に、え、クロードコードにまたエラーはキャプチャを貼って直すをやってみてくださいねっていうので。
[12:30] 話者A: でも参考に、じゃあノート自動投稿を作りましょうとか、なんとか作りましょうとかっていうのを。
[12:35] 話者A: なんかよくありそうな欲しそうなやつを、ね。
[12:39] 話者A: デモ、デモの動画を作ってくれる。
[12:42] 話者A: うん。
[12:43] 話者A: なんかすごいいっぱい。
[12:44] 話者A: え、なんだ、毎日ニュース自動集めるとか、なんかこのボタンがまた増えました。
[12:47] 話者A: これ前かいましたっけ？
[12:48] 話者A: 左のこの辺の。
[12:51] 話者B: あ、これは結構、あ、どんどん増殖していくと思います。
[12:55] 話者A: あ、あとLINEとか好きな人もね、LINEで。
[12:58] 話者A: うん。
[12:58] 話者A: LINEをなんか友達情報。
[13:02] 話者A: ね。
[13:02] 話者A: なんかそれこそ。
[13:03] 話者B: でも。
[13:04] 話者A: うん。
[13:05] 話者B: ワークフロービルダーもちょっと精度がまだ微妙な気がするんで。
[13:09] 話者B: ね。
[13:11] 話者B: 使えねえじゃねえかって言われたら、それまで。
[13:14] 話者A: あとはやっぱ3日の日の、その第1回目っていうかのね、えっと、セミナーグルコン？
[13:20] 話者A: あそこで一旦なんだろう、皆さんの状況を聞きたいですよね、色々ね。
[13:25] 話者B: うん。
[13:26] 話者A: だからその時に、この使い方をざっとおさらい、ワークフロービルダーこうやって使って、実際こうやってこうやって、こうやって動くんだよ。
[13:35] 話者A: あとは。
[13:37] 話者A: えっと、LPメーカーとか、その使えるツールを、えー改めて紹介する。
[13:42] 話者A: その上でグルコンをするみたいな。
[13:45] 話者B: どうしましょう？
[13:45] 話者B: なんか結構。
[13:50] 話者B: 特に今回、集客みたいなのは特に無くって感じでいいんすかね？
[13:57] 話者A: うん？
[13:58] 話者A: 何の？
[13:58] 話者B: 新規集客みたいなのは特に無くみたいないいんですかね。
[14:03] 話者B: あの、そうですね。
[14:04] 話者B: ぶちこんでもらった人をにやるって感じでいいんすかね？
[14:08] 話者A: まずは。
[14:09] 話者B: うん。
[14:09] 話者B: オッケーです。
[14:10] 話者A: じゃあないと多分、なんか。
[14:11] 話者B: わけわかんないずっと無料じゃねえかってなっちゃうから。
[14:15] 話者A: はい。
[14:16] 話者A: で、それで、なんだろう。
[14:17] 話者A: 新規が入る、もう少したから来月とかでも全然いいのかなと思うんで、来月ってかその2回ぐらいやった後とか。
[14:24] 話者A: うん。
[14:24] 話者A: 実際、ね、もうちょっとこなれてからでもいいのかなと。
[14:27] 話者B: そうですね。
[14:28] 話者B: オッケーです。
[14:31] 話者A: なんで、まあ、規約追加して、あとグループどんどん、あの、僕の方で盛り上げていきながらやってくのと、さっきの動画をどんどん、えー撮って、アップしていく。
[14:41] 話者B: うん、うん、うん。
[14:42] 話者A: うん。
[14:43] 話者A: で、えっと。
[14:44] 話者A: まず3日の日にできる限り多くの人に参加してもらえるような形にして、そこで。
[14:51] 話者A: えー。
[14:52] 話者A: まだ暑い内にね、その人たちがやりたいこととか色々聞いて、それをどんどん作ってあげちゃうとか。
[14:58] 話者A: やってくと、多分それこそ。
[15:01] 話者A: 1人1。
[15:02] 話者A: 要望に応えられれば、なんか一旦は。
[15:05] 話者A: あの、参加した価値はあるのかなと思う。
[15:07] 話者B: そうですね。
[15:08] 話者A: うん、うん。
[15:09] 話者A: 様子見とか、とりあえず無料だから入りましたみたいな人も、ま、聞いてもいいんですけど。
[15:14] 話者A: うん。
[15:15] 話者A: でもね、もったいないからね。
[15:16] 話者A: だ、ワークフロービルダーとか使えるやつはちょっと是非使ってみて欲しいんすよね。
[15:20] 話者B: そうですね。
[15:21] 話者B: ちょっとでもワークフロービルダーも、もうちょ、もうちょっと、なんか、結構なんか何回か、うーんって思うことが多かったんで。
[15:31] 話者A: ディープシークV4 Proにしましょう。
[15:32] 話者A: 中身は。
[15:34] 話者B: 今、何だったっけかな？
[15:35] 話者A: 多分先生のとこは多分古いやつが使われてると、僕は予想してます。
[15:38] 話者A: うん、うん。
[15:39] 話者B: なんか結構でもいじってない気がするんだよな、ワーク。
[15:42] 話者B: 確かに。
[15:43] 話者B: ワークフロービルダーは確かに中身もなんか忘れてるぐらいいじってないな。
[15:49] 話者A: 先生のば、勝手に、AIが進めてきた古いAPIとか勝手に使われてるってパターン割とあると思ってるんで。
[15:55] 話者B: オッケー。
[15:56] 話者B: じゃちょっと、そのワークフロービルダーの見直しも必要だな。
[16:01] 話者B: オッケー。
[16:03] 話者B: だい、うん、なんとなくでも。
[16:06] 話者B: いい感じかな。
[16:08] 話者B: えっと、なんだっけ？
[16:10] 話者B: だいたい。
[16:12] 話者B: まあ、あとは。
[16:14] 話者B: 録音したAIが。
[16:17] 話者B: きっと何をやるかを教えてくれる。
[16:22] 話者A: あと、あの、ディープシークは安い、あの、なんか、しばらくキャンペーンで割引されてましたけど、それ永続化されるらしいので。
[16:28] 話者B: へえ。
[16:29] 話者A: まあ、全然使っちゃっていいかなと思って。
[16:30] 話者B: 素晴らしい。
[16:31] 話者B: いいね。
[16:32] 話者A: 多分、多分そこそこ性能がいいので。
[16:34] 話者B: うん。
[16:35] 話者A: まあ、多分、ワークフロービルダーゴリゴリやられても、そんなに破綻することはないと、思われるので。
[16:40] 話者A: うん。
[16:41] 話者A: 別に。
[16:42] 話者A: そこは性能ががいいんだったら、いいかなっていう。
[16:45] 話者B: オッケー。
[16:46] 話者B: あ、そうだな。
[16:47] 話者B: で、僕はあれだね。
[16:48] 話者B: アシュラのページのリンクとかを整理して。
[16:53] 話者B: えっと。
[16:56] 話者B: アシュラリンク整理、アシュラメール整理、などなど。
[17:02] 話者B: あと、そのワークフロービルダーのブラッシュアップちょっとやっときますって感じですね。
[17:09] 話者B: でもなんかだいぶ、うん、繋がりは綺麗になってきました。
[17:14] 話者A: ね。
[17:15] 話者A: うん。
[17:16] 話者A: で、前に、そう、スタート前にまとめたこの図解のやつも改めて見てたんですけど。
[17:21] 話者A: まあ、やっぱ困り事、何か、ね、困り事をそれを持ってきてもらって、それを解決していくっていうコミュニティだから、課題を出してそれを。
[17:31] 話者A: コミュニティとかに投稿してもらって。
[17:33] 話者A: それをこちらの方AIツール化して提供していく。
[17:36] 話者A: あるいはノウハウ化して提供する。
[17:38] 話者A: グルコンとセミナーで解決していくみたいな。
[17:42] 話者B: だんだん、うん。
[17:43] 話者B: これやって欲しいリクエストみたいなスレッドもぜひ立てていただきたいって感じですね。
[17:53] 話者A: で、どんな、もう思いついたら投稿しといてもらってもいいですけど。
[17:57] 話者B: うん、あ、そうですね。
[17:58] 話者B: オッケーです。
[17:58] 話者B: ま、そんな感じで、そうですね。
[18:02] 話者A: で、昨日もリアル会だったんですけど。
[18:03] 話者A: あの。
[18:06] 話者A: アシュラ、アシュラ入ってる人がいて。
[18:08] 話者B: はい。
[18:08] 話者A: で、なんか知んないけど、もう、その人が2、3人勧誘して、あの、アシュラを宣伝してくれて。
[18:13] 話者B: 素晴らしい。
[18:14] 話者A: 多分もう、勧誘して。
[18:15] 話者B: 勧誘して。
[18:16] 話者A: 勧誘して。
[18:17] 話者A: だから、そう。
[18:18] 話者A: で、まだね、使ってないけど、すごい良いから。
[18:20] 話者A: 高崎さんすごい天才だからとか言って。
[18:22] 話者A: いや、マジやばいっすよって話してて。
[18:24] 話者A: じゃあ、入る、無料だったら入るっつって入って。
[18:26] 話者A: ね。
[18:27] 話者A: 酔っ払った勢いでみんな入ってたんで。
[18:29] 話者A: うん。
[18:30] 話者B: ああ、そりゃいいっすね。
[18:31] 話者A: でもそういう人たちがちゃんとね、あの。
[18:33] 話者A: で、クロードコードは一応触ってて、AI表情が入ってるけど、やっぱあの。
[18:38] 話者A: なんだろ？
[18:38] 話者A: え、そんなの出来るの？って、やっぱ知らない、知らないことが多いので。
[18:42] 話者A: うん。
[18:42] 話者A: で、も、昨日も聞いたのは、なんか、えっと、アクセス解析をスプレッドシートに、え、見に行って、その数字をコピーして、スプレッドシートに貼っていくみたいな作業を手でやってるんです。
[18:53] 話者B: うーん。
[18:54] 話者A: で、そういうのはこうやってやったらできるよっていうのを言って、こういう風にクロードコード言ったらやってくれますよっていうのを。
[19:00] 話者A: 言って、で、それ動かしてたんですけど。
[19:02] 話者A: うん、うん。
[19:03] 話者A: 生、ほんと、その、そういう目の前の、毎日コピペをするとか。
[19:08] 話者A: えー。
[19:08] 話者A: Geminiでね、出てきたものをコピーして、こっちのチャットGPTで画像生成をするとか、やっぱみんな、みんなそのレベルにいるんすよ。
[19:16] 話者B: うーん、うーん。
[19:16] 話者A: うん。
[19:17] 話者A: ってことをこのクロードコードだったら、いや、そんなもの、クロードコードにコーデックス動かせば、画像生成できますよ。
[19:22] 話者B: その、そのなんか、一歩、一歩、一歩、一歩のやってるタスクを全部繋げるっていう発想がいまいちまだない、ないのと、周りでもやってる人いないから、イメージわかんないんでしょうね。
[19:34] 話者A: そう。
[19:35] 話者A: で、チャットGPTも同じみたいに、こうやってやりたいよ、こうやったらできますよっていうのを鵜呑みにして、自分でやっちゃってるんすよ。
[19:42] 話者A: だから、そうじゃなくて、いや、お前できるじゃんっていう。
[19:44] 話者A: え、AIエージェントがこれができるんだっていうのを知らないので。
[19:47] 話者B: 結局確かにそうなんですよね。
[19:49] 話者B: AIがここまでできる、ここからはできないをみんなが知らないから、AIがここまで作業を任せられるかみたいなの言えない人多いんですよね。
[19:59] 話者A: あとちょっとあるのは、ま、これはちょっと難しいんですけど、あのセキュリティですね。
[20:03] 話者A: あの、AIに情報抜き取られんじゃねえかとかだけを鵜呑みにして、あの、何も、あの、結局自分でやんないと全部抜かれちゃう、みたいな。
[20:11] 話者B: あの、なんかやっていいですかって言われたら、いや、いや、許可出せなくて進まなくなるみたいなな。
[20:18] 話者A: とか、全部抜かれる心配して何にもできないとか、結局。
[20:23] 話者A: うん、うん。
[20:24] 話者A: うん。
[20:26] 話者A: とかですね。
[20:27] 話者B: うん、うん。
[20:29] 話者B: オッケーです。
[20:30] 話者B: じゃあ、とりあえず今の感じでそれぞれやりつつ。
[20:34] 話者B: ね。
[20:35] 話者B: えっと、まずは3日の日の、ね。
[20:38] 話者B: 動員をちょっと集めて。
[20:39] 話者B: えー、ま、今の既存メンバーからでいいと思うんですけど。
[20:42] 話者A: はい。
[20:43] 話者B: うん。
[20:44] 話者B: そんな感じで、じゃあ、やっていきましょうか。
[20:46] 話者A: はい、分かりました。
[20:48] 話者B: はい。
[20:49] 話者B: LINEと。
[20:50] 話者B: またあと更新したらなんだろう。
[20:53] 話者A: うん。
[20:53] 話者B: あ、オープンチャットとかもなんか言うんですかね、あれ。
[20:58] 話者A: うん、うん。
[20:59] 話者A: あ、そういえば、オープンチャット。
[21:00] 話者A: オープンチャットにもでも、こんなアップデートありましたよとか流していったら。
[21:04] 話者B: まあ、それね、なんか、えっと。
[21:09] 話者B: こちらから、こちらのフォームからまだまだ登録できますで、もうちょっとリマインドぐらいは。
[21:15] 話者B: ちょい6月1日ぐらいにしてもいいのかなって。
[21:19] 話者A: うん、うん、うん、うん。
[21:20] 話者B: なので。
[21:20] 話者B: うん。
[21:21] 話者B: それをちょっとやってみましょうかね。
[21:23] 話者B: せっかくあの。
[21:24] 話者A: そうです。
[21:24] 話者B: サインアップページ新しく作ったし。
[21:27] 話者A: 確か、確か。
[21:28] 話者A: これで、これでも確定の流れ込んできては。
[21:29] 話者A: 進捗のちょっと重要そうなアップデートとかは、オプチャにも流していって。
[21:35] 話者A: で、新規、あの、会員さんのはログインして使ってね。
[21:38] 話者A: 新規の人は新規でモニターやれば、無料でを試しできますよ。
[21:41] 話者A: で、3日の日はこんなのやりますよとか。
[21:44] 話者A: をまた宣伝して、ね。
[21:46] 話者A: お楽しみくださいっつって。
[21:47] 話者A: お楽しみにっつって、新規の人また入ってくるみたいな。
[21:51] 話者B: あと、なんか、あ、なんでか400人ぐらい増えてましたもんね。
[21:53] 話者A: それ。
[21:54] 話者B: そうですね。
[21:55] 話者B: で、あと、今回も、あ、今回もなんかちょっと意外と申し込みとかも仕組みうまく作んの難しいんすね、みたいなんでやって。
[22:03] 話者B: だから今回ちゃんと改めて作ってみました、ばばんって言ってサインアップページをリリース。
[22:10] 話者A: うん、うん、うん。
[22:11] 話者B: それで何人か増える、増えたら嬉しいな、みたいな感じですね。
[22:15] 話者A: 確かに、確か。
[22:17] 話者A: いや、いいと思います。
[22:17] 話者A: で、さっきみたいに、えっと、LPメーカーをAIが、AIを動かすとこんな風にAIが、AI動かしてくれますよ、みたいなやつを、ね、送ってあげて。
[22:26] 話者A: すげえ、みたいなところから興味で入ってくる人もいるかもしれないし。
[22:29] 話者A: とりあえず一旦Facebookグループにどんどん入れていきつつ。
[22:33] 話者A: えー、ちょっと重要そうなやつは、オプチャにも入れてってみたいな。
[22:38] 話者A: うん。
[22:38] 話者A: そんな感じにしましょうか。
[22:39] 話者B: 分かりました。
[22:40] 話者A: はい。
[22:42] 話者A: じゃあまたそんな感じで。
[22:43] 話者B: はい。
[22:44] 話者B: ちょっとあと色々、えっと、随時送ります。
[22:48] 話者A: はい、お願いします。
[22:49] 話者B: はい。
[22:50] 話者A: はい、お疲れ様でした。
[22:51] 話者B: お疲れ様でした。
[22:52] 話者A: はい、お疲れ様でした。
[22:53] 話者B: はい、また明日。
[22:54] 話者B: はい。
[22:54] 話者A: はい。
[22:55] 話者A: 大学の友達は結局来んの？
[22:57] 話者B: あ、来ます、来ます。
[22:58] 話者B: えっと、何時に集合？
[22:59] 話者B: すいません、それだけ。
[23:01] 話者B: ちょっと、でも結構ね、なんかこっちを出るのが11時半ぐらいらしくて。
[23:07] 話者A: えっ、となったら3時間なので、4時に現地でいいですか？
[23:10] 話者B: ああ、そんな感じだと思う。
[23:12] 話者A: わかりました。
[23:13] 話者B: はい。
[23:14] 話者B: あれ、夜のご飯も行くのかな？
[23:16] 話者A: 行くで、はい、大丈夫です。
[23:17] 話者B: オッケー。
[23:18] 話者B: はい。
[23:19] 話者B: はい、じゃあね。
[23:20] 話者A: はい。
[23:21] 話者A: お疲れ様でした。
[23:21] 話者B: お疲れ様でした。
[23:22] 話者B: で、はまた、はい、連絡します。
[23:24] 話者B: どうも。
[23:25] 話者A: はい。
[23:26] 話者B: 失礼します。
[23:27] （ノイズ）
